# Energy(MeV) Fluence_Planar_Median(cm^-2*MeV^-1)
8.861704e-01 3.784953e+09
8.949991e-01 3.700773e+09
9.039157e-01 3.619680e+09
9.129211e-01 3.549325e+09
9.220163e-01 3.480294e+09
9.312021e-01 3.407346e+09
9.404793e-01 3.332757e+09
9.498491e-01 3.260500e+09
9.593121e-01 3.184139e+09
9.688695e-01 3.123908e+09
9.785220e-01 3.049549e+09
9.882707e-01 2.981016e+09
9.981166e-01 2.916335e+09
1.008061e+00 2.851812e+09
1.018104e+00 2.788288e+09
1.028247e+00 2.722006e+09
1.038491e+00 2.663142e+09
1.048837e+00 2.606203e+09
1.059286e+00 2.547589e+09
1.069839e+00 2.489468e+09
1.080498e+00 2.438434e+09
1.091263e+00 2.386640e+09
1.102135e+00 2.334039e+09
1.113115e+00 2.279802e+09
1.124204e+00 2.233845e+09
1.135405e+00 2.186826e+09
1.146716e+00 2.129999e+09
1.158141e+00 2.081225e+09
1.169679e+00 2.038726e+09
1.181332e+00 1.998020e+09
1.193101e+00 1.952668e+09
1.204988e+00 1.912324e+09
1.216993e+00 1.872378e+09
1.229117e+00 1.830633e+09
1.241363e+00 1.791272e+09
1.253730e+00 1.753336e+09
1.266220e+00 1.712433e+09
1.278835e+00 1.674563e+09
1.291576e+00 1.639687e+09
1.304444e+00 1.605058e+09
1.317439e+00 1.569342e+09
1.330565e+00 1.533103e+09
1.343821e+00 1.498626e+09
1.357209e+00 1.464995e+09
1.370730e+00 1.429944e+09
1.384386e+00 1.397174e+09
1.398179e+00 1.365454e+09
1.412108e+00 1.335895e+09
1.426177e+00 1.305253e+09
1.440385e+00 1.276310e+09
1.454735e+00 1.247880e+09
1.469229e+00 1.220825e+09
1.483866e+00 1.192750e+09
1.498649e+00 1.167169e+09
1.513580e+00 1.142272e+09
1.528659e+00 1.117032e+09
1.543889e+00 1.090128e+09
1.559270e+00 1.063377e+09
1.574805e+00 1.038485e+09
1.590494e+00 1.015719e+09
1.606340e+00 9.934578e+08
1.622343e+00 9.675674e+08
1.638506e+00 9.448368e+08
1.654830e+00 9.230275e+08
1.671317e+00 9.016048e+08
1.687967e+00 8.791883e+08
1.704784e+00 8.599442e+08
1.721768e+00 8.405403e+08
1.738922e+00 8.200120e+08
1.756246e+00 8.017235e+08
1.773743e+00 7.830456e+08
1.791414e+00 7.652159e+08
1.809262e+00 7.488779e+08
1.827287e+00 7.319339e+08
1.845492e+00 7.149886e+08
1.863878e+00 6.991623e+08
1.882447e+00 6.826357e+08
1.901201e+00 6.669097e+08
1.920142e+00 6.500820e+08
1.939272e+00 6.339796e+08
1.958592e+00 6.189195e+08
1.978105e+00 6.044737e+08
1.997813e+00 5.905827e+08
2.017716e+00 5.773661e+08
2.037818e+00 5.630353e+08
2.058120e+00 5.503211e+08
2.078625e+00 5.387049e+08
2.099333e+00 5.268125e+08
2.120248e+00 5.137989e+08
2.141372e+00 5.017187e+08
2.162706e+00 4.907294e+08
2.184252e+00 4.791710e+08
2.206013e+00 4.676074e+08
2.227991e+00 4.572066e+08
2.250188e+00 4.464269e+08
2.272606e+00 4.360301e+08
2.295247e+00 4.260641e+08
2.318114e+00 4.166628e+08
2.341209e+00 4.070565e+08
2.364533e+00 3.970540e+08
2.388091e+00 3.882631e+08
2.411882e+00 3.782836e+08
2.435911e+00 3.695460e+08
2.460179e+00 3.616197e+08
2.484690e+00 3.534822e+08
2.509444e+00 3.450611e+08
2.534445e+00 3.366081e+08
2.559694e+00 3.281647e+08
2.585196e+00 3.203045e+08
2.610951e+00 3.124446e+08
2.636964e+00 3.050392e+08
2.663235e+00 2.983860e+08
2.689768e+00 2.914036e+08
2.716565e+00 2.837530e+08
2.743630e+00 2.763984e+08
2.770964e+00 2.697086e+08
2.798570e+00 2.633836e+08
2.826451e+00 2.568860e+08
2.854610e+00 2.508440e+08
2.883050e+00 2.449120e+08
2.911773e+00 2.389262e+08
2.940782e+00 2.330837e+08
2.970080e+00 2.273751e+08
2.999670e+00 2.218826e+08
3.029555e+00 2.168507e+08
3.059737e+00 2.115232e+08
3.090221e+00 2.063271e+08
3.121008e+00 2.013566e+08
3.152101e+00 1.962017e+08
3.183505e+00 1.907919e+08
3.215221e+00 1.856619e+08
3.247253e+00 1.806674e+08
3.279605e+00 1.763757e+08
3.312279e+00 1.722377e+08
3.345278e+00 1.680731e+08
3.378606e+00 1.635540e+08
3.412266e+00 1.592873e+08
3.446261e+00 1.551311e+08
3.480595e+00 1.512887e+08
3.515271e+00 1.475718e+08
3.550293e+00 1.439696e+08
3.585664e+00 1.404574e+08
3.621386e+00 1.368066e+08
3.657465e+00 1.331195e+08
3.693903e+00 1.295104e+08
3.730705e+00 1.262855e+08
3.767873e+00 1.231145e+08
3.805411e+00 1.199433e+08
3.843323e+00 1.168298e+08
3.881613e+00 1.136190e+08
3.920284e+00 1.104894e+08
3.959341e+00 1.076286e+08
3.998787e+00 1.048638e+08
4.038625e+00 1.022420e+08
4.078861e+00 9.960139e+07
4.119497e+00 9.697565e+07
4.160539e+00 9.448377e+07
4.201989e+00 9.205677e+07
4.243852e+00 8.968815e+07
4.286132e+00 8.741132e+07
4.328834e+00 8.511992e+07
4.371961e+00 8.292265e+07
4.415517e+00 8.081970e+07
4.459508e+00 7.880474e+07
4.503936e+00 7.672932e+07
4.548808e+00 7.472274e+07
4.594126e+00 7.274993e+07
4.639896e+00 7.086834e+07
4.686122e+00 6.906044e+07
4.732808e+00 6.725460e+07
4.779960e+00 6.548800e+07
4.827581e+00 6.382520e+07
4.875677e+00 6.218045e+07
4.924252e+00 6.057649e+07
4.973311e+00 5.902263e+07
5.022858e+00 5.748156e+07
5.072900e+00 5.598723e+07
5.123439e+00 5.455113e+07
5.174483e+00 5.309494e+07
5.226035e+00 5.161334e+07
5.278100e+00 5.028863e+07
5.330684e+00 4.894690e+07
5.383792e+00 4.765315e+07
5.437429e+00 4.640236e+07
5.491601e+00 4.519880e+07
5.546312e+00 4.394833e+07
5.601568e+00 4.275883e+07
5.657375e+00 4.162263e+07
5.713738e+00 4.050582e+07
5.770662e+00 3.942977e+07
5.828153e+00 3.840111e+07
5.886217e+00 3.738604e+07
5.944860e+00 3.637730e+07
6.004087e+00 3.539464e+07
6.063904e+00 3.444100e+07
6.124317e+00 3.351827e+07
6.185331e+00 3.261912e+07
6.246954e+00 3.174297e+07
6.309191e+00 3.088925e+07
6.372047e+00 3.005741e+07
6.435530e+00 2.923724e+07
6.499645e+00 2.843627e+07
6.564399e+00 2.768056e+07
6.629798e+00 2.693822e+07
6.695849e+00 2.620792e+07
6.762558e+00 2.547730e+07
6.829931e+00 2.475444e+07
6.897976e+00 2.406886e+07
6.966698e+00 2.342062e+07
7.036105e+00 2.278945e+07
7.106204e+00 2.216577e+07
7.177001e+00 2.154771e+07
7.248503e+00 2.094689e+07
7.320718e+00 2.036283e+07
7.393652e+00 1.980793e+07
7.467313e+00 1.927984e+07
7.541707e+00 1.875299e+07
7.616843e+00 1.822591e+07
7.692728e+00 1.771252e+07
7.769368e+00 1.720630e+07
7.846772e+00 1.671456e+07
7.924947e+00 1.623687e+07
8.003901e+00 1.577284e+07
8.083641e+00 1.533781e+07
8.164176e+00 1.492002e+07
8.245513e+00 1.450725e+07
8.327661e+00 1.409184e+07
8.410627e+00 1.368832e+07
8.494420e+00 1.329635e+07
8.579047e+00 1.292178e+07
8.664517e+00 1.256564e+07
8.750839e+00 1.221913e+07
8.838021e+00 1.187480e+07
8.926072e+00 1.153472e+07
9.015000e+00 1.120438e+07
9.104813e+00 1.088351e+07
9.195522e+00 1.057182e+07
9.287134e+00 1.026906e+07
9.379659e+00 9.974968e+06
9.473106e+00 9.689302e+06
9.567484e+00 9.411817e+06
9.662802e+00 9.142279e+06
9.759069e+00 8.880461e+06
9.856296e+00 8.626142e+06
9.954491e+00 8.373918e+06
1.005366e+01 8.128513e+06
1.015383e+01 7.893571e+06
1.025499e+01 7.666799e+06
1.035715e+01 7.446541e+06
1.046034e+01 7.232874e+06
1.056455e+01 7.027120e+06
1.066980e+01 6.827220e+06
1.077610e+01 6.633006e+06
1.088346e+01 6.444317e+06
1.099189e+01 6.260996e+06
1.110140e+01 6.082890e+06
1.121200e+01 5.909850e+06
1.132370e+01 5.741733e+06
1.143652e+01 5.576751e+06
1.155046e+01 5.416964e+06
1.166553e+01 5.262613e+06
1.178175e+01 5.110022e+06
1.189913e+01 4.962237e+06
1.201767e+01 4.822966e+06
1.213740e+01 4.687894e+06
1.225832e+01 4.553547e+06
1.238045e+01 4.422822e+06
1.250379e+01 4.296884e+06
1.262836e+01 4.174535e+06
1.275418e+01 4.056140e+06
1.288124e+01 3.941803e+06
1.300958e+01 3.830732e+06
1.313919e+01 3.723365e+06
1.327009e+01 3.619006e+06
1.340229e+01 3.517186e+06
1.353582e+01 3.417698e+06
1.367067e+01 3.321024e+06
1.380687e+01 3.227084e+06
1.394442e+01 3.135802e+06
1.408334e+01 3.047102e+06
1.422365e+01 2.960499e+06
1.436536e+01 2.875204e+06
1.450848e+01 2.792368e+06
1.465302e+01 2.711919e+06
1.479900e+01 2.633789e+06
1.494644e+01 2.560011e+06
1.509535e+01 2.489014e+06
1.524574e+01 2.420776e+06
1.539763e+01 2.354410e+06
1.555103e+01 2.287255e+06
1.570596e+01 2.222072e+06
1.586243e+01 2.158121e+06
1.602047e+01 2.095698e+06
1.618007e+01 2.035081e+06
1.634127e+01 1.976428e+06
1.650407e+01 1.921422e+06
1.666850e+01 1.867947e+06
1.683456e+01 1.815961e+06
1.700228e+01 1.765422e+06
1.717167e+01 1.716290e+06
1.734275e+01 1.667985e+06
1.751553e+01 1.620749e+06
1.769003e+01 1.574845e+06
1.786627e+01 1.530241e+06
1.804426e+01 1.486900e+06
1.822403e+01 1.444787e+06
1.840560e+01 1.403867e+06
1.858896e+01 1.364106e+06
1.877416e+01 1.325471e+06
1.896120e+01 1.287991e+06
1.915011e+01 1.251752e+06
1.934089e+01 1.216534e+06
1.953358e+01 1.182306e+06
1.972819e+01 1.149042e+06
1.992473e+01 1.116713e+06
2.012324e+01 1.084623e+06
2.032372e+01 1.052856e+06
2.052620e+01 1.022533e+06
2.073070e+01 9.928474e+05
2.093723e+01 9.636451e+05
2.114582e+01 9.353017e+05
2.135649e+01 9.076180e+05
2.156926e+01 8.806867e+05
2.178415e+01 8.548637e+05
2.200118e+01 8.297264e+05
2.222037e+01 8.053048e+05
2.244174e+01 7.816912e+05
2.266532e+01 7.589245e+05
2.289113e+01 7.366717e+05
2.311919e+01 7.150715e+05
2.334952e+01 6.941045e+05
2.358214e+01 6.737524e+05
2.381708e+01 6.539970e+05
2.405437e+01 6.348208e+05
2.429401e+01 6.162069e+05
2.453605e+01 5.981563e+05
2.478049e+01 5.808471e+05
2.502737e+01 5.640388e+05
2.527671e+01 5.477170e+05
2.552854e+01 5.318676e+05
2.578287e+01 5.166280e+05
2.603974e+01 5.025064e+05
2.629916e+01 4.887716e+05
2.656117e+01 4.752923e+05
2.682580e+01 4.617371e+05
2.709305e+01 4.489550e+05
2.736297e+01 4.358112e+05
2.763558e+01 4.230058e+05
2.791091e+01 4.105766e+05
2.818897e+01 3.990314e+05
2.846981e+01 3.874685e+05
2.875345e+01 3.760749e+05
2.903991e+01 3.651988e+05
2.932923e+01 3.546622e+05
2.962143e+01 3.444296e+05
2.991654e+01 3.344923e+05
3.021458e+01 3.249871e+05
3.051560e+01 3.158189e+05
3.081962e+01 3.069094e+05
3.112667e+01 2.982513e+05
3.143677e+01 2.898375e+05
3.174997e+01 2.816653e+05
3.206628e+01 2.738187e+05
3.238575e+01 2.661906e+05
3.270840e+01 2.587751e+05
3.303426e+01 2.515661e+05
3.336338e+01 2.445580e+05
3.369576e+01 2.377085e+05
3.403147e+01 2.308867e+05
3.437051e+01 2.242609e+05
3.471293e+01 2.177330e+05
3.505877e+01 2.112569e+05
3.540805e+01 2.049735e+05
3.576081e+01 1.988770e+05
3.611708e+01 1.930959e+05
3.647691e+01 1.876213e+05
3.684031e+01 1.823024e+05
3.720734e+01 1.771343e+05
3.757803e+01 1.721127e+05
3.795241e+01 1.672335e+05
3.833052e+01 1.625538e+05
