# Energy(MeV) Fluence_Sferica_Median
1.458582e+02 9.767585e+05
1.477172e+02 9.368783e+05
1.496000e+02 8.987228e+05
1.515068e+02 8.620047e+05
1.534379e+02 8.271554e+05
1.553935e+02 7.934641e+05
1.573742e+02 7.613256e+05
1.593800e+02 7.306080e+05
1.614115e+02 7.008334e+05
1.634688e+02 6.725348e+05
1.655523e+02 6.453886e+05
1.676624e+02 6.192225e+05
1.697994e+02 5.940371e+05
1.719636e+02 5.699758e+05
1.741555e+02 5.468570e+05
1.763752e+02 5.247841e+05
1.786233e+02 5.033176e+05
1.809000e+02 4.829248e+05
1.832057e+02 4.632261e+05
1.855408e+02 4.443462e+05
1.879056e+02 4.264270e+05
1.903007e+02 4.091604e+05
1.927262e+02 3.924202e+05
1.951826e+02 3.763862e+05
1.976704e+02 3.609300e+05
2.001899e+02 3.463125e+05
2.027415e+02 3.323688e+05
2.053256e+02 3.189660e+05
2.079426e+02 3.061107e+05
2.105930e+02 2.937713e+05
2.132772e+02 2.819164e+05
2.159956e+02 2.705682e+05
2.187486e+02 2.595460e+05
2.215367e+02 2.490090e+05
2.243604e+02 2.389876e+05
2.272201e+02 2.293762e+05
2.301162e+02 2.200448e+05
2.330492e+02 2.112357e+05
2.360196e+02 2.027183e+05
2.390278e+02 1.944270e+05
2.420744e+02 1.865372e+05
2.451599e+02 1.789872e+05
2.482846e+02 1.716730e+05
2.514492e+02 1.646283e+05
2.546542e+02 1.579888e+05
2.578999e+02 1.516649e+05
2.611871e+02 1.455217e+05
2.645161e+02 1.396483e+05
2.678876e+02 1.339767e+05
2.713020e+02 1.285004e+05
2.747600e+02 1.232385e+05
2.782620e+02 1.182337e+05
2.818087e+02 1.134539e+05
2.854006e+02 1.089052e+05
2.890383e+02 1.045268e+05
2.927223e+02 1.002414e+05
2.964533e+02 9.615263e+04
3.002318e+02 9.220201e+04
3.040585e+02 8.849151e+04
3.079340e+02 8.491561e+04
3.118588e+02 8.151064e+04
