# Energy(MeV) Fluence_Sferica_Median(p/cm2)
3.913292e+02 3.298622e+03
3.964618e+02 3.198631e+03
4.016618e+02 3.101441e+03
4.069299e+02 3.006977e+03
4.122672e+02 2.915169e+03
4.176744e+02 2.825944e+03
4.231526e+02 2.739237e+03
4.287027e+02 2.654978e+03
4.343255e+02 2.573105e+03
4.400221e+02 2.493554e+03
4.457933e+02 2.416263e+03
4.516403e+02 2.341171e+03
4.575640e+02 2.268221e+03
4.635654e+02 2.197356e+03
4.696455e+02 2.128520e+03
4.758053e+02 2.061659e+03
4.820459e+02 1.996719e+03
4.883684e+02 1.933651e+03
4.947738e+02 1.872403e+03
5.012632e+02 1.812927e+03
5.078377e+02 1.755175e+03
5.144985e+02 1.699101e+03
5.212466e+02 1.644660e+03
5.280832e+02 1.591807e+03
5.350095e+02 1.540501e+03
5.420266e+02 1.490699e+03
5.491358e+02 1.442360e+03
5.563382e+02 1.395445e+03
5.636351e+02 1.349915e+03
5.710277e+02 1.305732e+03
5.785172e+02 1.262861e+03
5.861050e+02 1.221264e+03
5.937923e+02 1.180908e+03
6.015804e+02 1.141758e+03
6.094707e+02 1.103782e+03
6.174645e+02 1.066947e+03
6.255631e+02 1.031222e+03
6.337679e+02 9.965759e+02
6.420804e+02 9.629795e+02
6.505018e+02 9.304036e+02
6.590337e+02 8.988202e+02
6.676776e+02 8.682015e+02
6.764348e+02 8.385210e+02
6.853068e+02 8.097523e+02
6.942953e+02 7.818702e+02
7.034016e+02 7.548499e+02
7.126273e+02 7.286673e+02
7.219741e+02 7.032988e+02
7.314434e+02 6.787217e+02
7.410370e+02 6.549136e+02
7.507563e+02 6.318528e+02
7.606032e+02 6.095183e+02
7.705792e+02 5.878893e+02
7.806861e+02 5.669460e+02
7.909255e+02 5.466687e+02
8.012992e+02 5.270385e+02
8.118089e+02 5.080368e+02
8.224566e+02 4.896457e+02
8.332438e+02 4.718476e+02
8.441726e+02 4.546254e+02
8.552447e+02 4.379624e+02
8.664620e+02 4.218425e+02
8.778264e+02 4.062500e+02
8.893399e+02 3.911694e+02
9.010044e+02 3.765858e+02
9.128219e+02 3.624847e+02
9.247944e+02 3.488518e+02
9.369239e+02 3.356735e+02
9.492125e+02 3.229363e+02
9.616623e+02 3.106271e+02
9.742754e+02 2.987332e+02
9.870539e+02 2.872422e+02
1.000000e+03 2.761421e+02
