# Energy(MeV) Fluence_Planare_Median(p/cm2)
1.775208e+01 2.463703e+06
1.787526e+01 2.437102e+06
1.799929e+01 2.411100e+06
1.812418e+01 2.385191e+06
1.824993e+01 2.359564e+06
1.837656e+01 2.334021e+06
1.850407e+01 2.308895e+06
1.863246e+01 2.284047e+06
1.876175e+01 2.259326e+06
1.889193e+01 2.234962e+06
1.902301e+01 2.210837e+06
1.915501e+01 2.186745e+06
1.928792e+01 2.163074e+06
1.942175e+01 2.139702e+06
1.955651e+01 2.116309e+06
1.969220e+01 2.093463e+06
1.982884e+01 2.070769e+06
1.996642e+01 2.048279e+06
2.010496e+01 2.026080e+06
2.024447e+01 2.004168e+06
2.038493e+01 1.982417e+06
2.052638e+01 1.961071e+06
2.066880e+01 1.939566e+06
2.081222e+01 1.918472e+06
2.095662e+01 1.897594e+06
2.110203e+01 1.876955e+06
2.124845e+01 1.856319e+06
2.139589e+01 1.835973e+06
2.154435e+01 1.815985e+06
2.169384e+01 1.796374e+06
2.184436e+01 1.776748e+06
2.199593e+01 1.757374e+06
2.214855e+01 1.738089e+06
2.230223e+01 1.718858e+06
2.245698e+01 1.699912e+06
2.261280e+01 1.681137e+06
2.276970e+01 1.662528e+06
2.292769e+01 1.644132e+06
2.308678e+01 1.625705e+06
2.324697e+01 1.607635e+06
2.340827e+01 1.589762e+06
2.357069e+01 1.572133e+06
2.373424e+01 1.554846e+06
2.389893e+01 1.537682e+06
2.406475e+01 1.520770e+06
2.423173e+01 1.504053e+06
2.439986e+01 1.487257e+06
2.456916e+01 1.470612e+06
2.473964e+01 1.454211e+06
2.491130e+01 1.437920e+06
2.508415e+01 1.421806e+06
2.525820e+01 1.405825e+06
2.543346e+01 1.390070e+06
2.560993e+01 1.374561e+06
2.578763e+01 1.359161e+06
2.596656e+01 1.343952e+06
2.614673e+01 1.328772e+06
2.632815e+01 1.313806e+06
2.651084e+01 1.299000e+06
2.669478e+01 1.284382e+06
2.688001e+01 1.269770e+06
2.706652e+01 1.255556e+06
2.725433e+01 1.241413e+06
2.744343e+01 1.227151e+06
2.763385e+01 1.213098e+06
2.782559e+01 1.199371e+06
2.801867e+01 1.185709e+06
2.821308e+01 1.172232e+06
2.840884e+01 1.158746e+06
2.860596e+01 1.145524e+06
2.880444e+01 1.132426e+06
2.900430e+01 1.119536e+06
2.920556e+01 1.106778e+06
2.940820e+01 1.094186e+06
2.961225e+01 1.081661e+06
2.981772e+01 1.069217e+06
3.002462e+01 1.056883e+06
3.023295e+01 1.044617e+06
3.044272e+01 1.032452e+06
3.065395e+01 1.020466e+06
3.086665e+01 1.008507e+06
3.108082e+01 9.967579e+05
3.129648e+01 9.851413e+05
3.151363e+01 9.736935e+05
3.173230e+01 9.622416e+05
3.195248e+01 9.509078e+05
3.217418e+01 9.397390e+05
3.239743e+01 9.287082e+05
3.262222e+01 9.177333e+05
3.284857e+01 9.069328e+05
3.307650e+01 8.961712e+05
3.330600e+01 8.855341e+05
3.353710e+01 8.751073e+05
3.376980e+01 8.647804e+05
3.400412e+01 8.546310e+05
3.424006e+01 8.444349e+05
3.447764e+01 8.343647e+05
3.471687e+01 8.244163e+05
3.495776e+01 8.146755e+05
3.520031e+01 8.049771e+05
3.544456e+01 7.953424e+05
3.569049e+01 7.857816e+05
3.593814e+01 7.763231e+05
3.618750e+01 7.670527e+05
3.643859e+01 7.578387e+05
3.669142e+01 7.486836e+05
3.694601e+01 7.396233e+05
3.720237e+01 7.306181e+05
3.746050e+01 7.217328e+05
3.772042e+01 7.129902e+05
3.798215e+01 7.042956e+05
3.824570e+01 6.957749e+05
3.851107e+01 6.872456e+05
3.877828e+01 6.788153e+05
3.904735e+01 6.705363e+05
3.931829e+01 6.623740e+05
3.959110e+01 6.542773e+05
3.986581e+01 6.462430e+05
4.014242e+01 6.383043e+05
4.042096e+01 6.304769e+05
4.070142e+01 6.227551e+05
4.098384e+01 6.150815e+05
4.126821e+01 6.075047e+05
4.155455e+01 5.999976e+05
4.184289e+01 5.926090e+05
4.213322e+01 5.853036e+05
4.242556e+01 5.780256e+05
4.271994e+01 5.707962e+05
4.301636e+01 5.636274e+05
4.331483e+01 5.565940e+05
4.361538e+01 5.495815e+05
4.391801e+01 5.425492e+05
4.422274e+01 5.357499e+05
4.452959e+01 5.290250e+05
4.483856e+01 5.223727e+05
4.514968e+01 5.157582e+05
4.546295e+01 5.092584e+05
4.577841e+01 5.028235e+05
4.609604e+01 4.964230e+05
4.641589e+01 4.900168e+05
4.673795e+01 4.836808e+05
4.706225e+01 4.774973e+05
4.738880e+01 4.713238e+05
4.771761e+01 4.652569e+05
4.804870e+01 4.592049e+05
4.838210e+01 4.532152e+05
4.871780e+01 4.473531e+05
4.905584e+01 4.415892e+05
4.939622e+01 4.358768e+05
4.973896e+01 4.302168e+05
5.008408e+01 4.246303e+05
5.043159e+01 4.190657e+05
5.078152e+01 4.135992e+05
5.113388e+01 4.081509e+05
5.148867e+01 4.027860e+05
5.184594e+01 3.974662e+05
5.220568e+01 3.921926e+05
5.256791e+01 3.870106e+05
5.293266e+01 3.819345e+05
5.329994e+01 3.768866e+05
5.366977e+01 3.718783e+05
5.404216e+01 3.669432e+05
5.441714e+01 3.620723e+05
5.479472e+01 3.572317e+05
5.517492e+01 3.524957e+05
5.555776e+01 3.478384e+05
5.594326e+01 3.431667e+05
5.633143e+01 3.385269e+05
5.672229e+01 3.339772e+05
5.711586e+01 3.294431e+05
5.751217e+01 3.250235e+05
5.791123e+01 3.206443e+05
5.831305e+01 3.162856e+05
5.871766e+01 3.119794e+05
5.912508e+01 3.076680e+05
5.953533e+01 3.034209e+05
5.994843e+01 2.992879e+05
6.036439e+01 2.951954e+05
6.078323e+01 2.911373e+05
6.120498e+01 2.871077e+05
6.162966e+01 2.831149e+05
6.205729e+01 2.791929e+05
6.248788e+01 2.753331e+05
6.292146e+01 2.715026e+05
6.335805e+01 2.677009e+05
6.379767e+01 2.639877e+05
6.424034e+01 2.603220e+05
6.468608e+01 2.567290e+05
6.513491e+01 2.531499e+05
6.558686e+01 2.496522e+05
6.604194e+01 2.461408e+05
6.650018e+01 2.426623e+05
6.696160e+01 2.392208e+05
6.742622e+01 2.357813e+05
6.789407e+01 2.324690e+05
6.836516e+01 2.291587e+05
6.883952e+01 2.258949e+05
6.931717e+01 2.226442e+05
6.979814e+01 2.194673e+05
7.028244e+01 2.162881e+05
7.077011e+01 2.131543e+05
7.126115e+01 2.100580e+05
7.175561e+01 2.070317e+05
7.225349e+01 2.040262e+05
7.275484e+01 2.010609e+05
7.325965e+01 1.981295e+05
7.376798e+01 1.951895e+05
7.427982e+01 1.923482e+05
7.479523e+01 1.895255e+05
7.531420e+01 1.867278e+05
7.583678e+01 1.839936e+05
7.636298e+01 1.813170e+05
7.689284e+01 1.786483e+05
7.742637e+01 1.760390e+05
7.796360e+01 1.734126e+05
7.850456e+01 1.708072e+05
7.904928e+01 1.682875e+05
7.959777e+01 1.657931e+05
8.015007e+01 1.633484e+05
8.070620e+01 1.608790e+05
8.126619e+01 1.584729e+05
8.183007e+01 1.560727e+05
8.239786e+01 1.537060e+05
8.296959e+01 1.514082e+05
8.354528e+01 1.490940e+05
8.412497e+01 1.468334e+05
8.470868e+01 1.445456e+05
8.529644e+01 1.423132e+05
8.588829e+01 1.401051e+05
8.648423e+01 1.379720e+05
8.708431e+01 1.358644e+05
