# Energy(MeV) Fluence_Sferica_Median(p/cm2)
6.379767e+00 4.508761e+07
6.424034e+00 4.464162e+07
6.468608e+00 4.419991e+07
6.513491e+00 4.376243e+07
6.558686e+00 4.332739e+07
6.604194e+00 4.289527e+07
6.650018e+00 4.246733e+07
6.696160e+00 4.204463e+07
6.742622e+00 4.163013e+07
6.789407e+00 4.121957e+07
6.836516e+00 4.081322e+07
6.883952e+00 4.041201e+07
6.931717e+00 4.001282e+07
6.979814e+00 3.961707e+07
7.028244e+00 3.922196e+07
7.077011e+00 3.882881e+07
7.126115e+00 3.843900e+07
7.175561e+00 3.805350e+07
7.225349e+00 3.767503e+07
7.275484e+00 3.730241e+07
7.325965e+00 3.693333e+07
7.376798e+00 3.656935e+07
7.427982e+00 3.620885e+07
7.479523e+00 3.585177e+07
7.531420e+00 3.549795e+07
7.583678e+00 3.514518e+07
7.636298e+00 3.479227e+07
7.689284e+00 3.444278e+07
7.742637e+00 3.409924e+07
7.796360e+00 3.376152e+07
7.850456e+00 3.342701e+07
7.904928e+00 3.309552e+07
7.959777e+00 3.276270e+07
8.015007e+00 3.243503e+07
8.070620e+00 3.211267e+07
8.126619e+00 3.179614e+07
8.183007e+00 3.148249e+07
8.239786e+00 3.117102e+07
8.296959e+00 3.086032e+07
8.354528e+00 3.054982e+07
8.412497e+00 3.024233e+07
8.470868e+00 2.993950e+07
8.529644e+00 2.964194e+07
8.588829e+00 2.934757e+07
8.648423e+00 2.905675e+07
8.708431e+00 2.876485e+07
8.768856e+00 2.847706e+07
8.829700e+00 2.819256e+07
8.890966e+00 2.790724e+07
8.952657e+00 2.762693e+07
9.014776e+00 2.734932e+07
9.077327e+00 2.707439e+07
9.140311e+00 2.680211e+07
9.203732e+00 2.653144e+07
9.267593e+00 2.626303e+07
9.331898e+00 2.599727e+07
9.396648e+00 2.573567e+07
9.461848e+00 2.547322e+07
9.527500e+00 2.521339e+07
9.593608e+00 2.495493e+07
9.660175e+00 2.470046e+07
9.727203e+00 2.445074e+07
9.794697e+00 2.420621e+07
9.862658e+00 2.395976e+07
9.931092e+00 2.371433e+07
1.000000e+01 2.347450e+07
1.006939e+01 2.323852e+07
1.013925e+01 2.300446e+07
1.020961e+01 2.277047e+07
1.028045e+01 2.253859e+07
1.035178e+01 2.230859e+07
1.042361e+01 2.208026e+07
1.049593e+01 2.185545e+07
1.056876e+01 2.163484e+07
1.064209e+01 2.141484e+07
1.071593e+01 2.119645e+07
1.079029e+01 2.097968e+07
1.086516e+01 2.076425e+07
1.094055e+01 2.055450e+07
1.101646e+01 2.034567e+07
1.109290e+01 2.013990e+07
1.116987e+01 1.993313e+07
1.124737e+01 1.972828e+07
1.132541e+01 1.952661e+07
1.140400e+01 1.932695e+07
1.148312e+01 1.913271e+07
1.156280e+01 1.894024e+07
1.164303e+01 1.874861e+07
1.172382e+01 1.855407e+07
1.180517e+01 1.836414e+07
1.188708e+01 1.817363e+07
1.196956e+01 1.798864e+07
1.205261e+01 1.780545e+07
1.213624e+01 1.762185e+07
1.222045e+01 1.743848e+07
1.230524e+01 1.725708e+07
1.239062e+01 1.707922e+07
1.247660e+01 1.690358e+07
1.256317e+01 1.672908e+07
1.265034e+01 1.655624e+07
1.273811e+01 1.638605e+07
1.282650e+01 1.621705e+07
1.291550e+01 1.604876e+07
1.300511e+01 1.588086e+07
1.309535e+01 1.571669e+07
1.318621e+01 1.555373e+07
1.327771e+01 1.539329e+07
1.336984e+01 1.523343e+07
1.346261e+01 1.507551e+07
1.355602e+01 1.492105e+07
1.365008e+01 1.476635e+07
1.374479e+01 1.461131e+07
1.384016e+01 1.445693e+07
1.393619e+01 1.430652e+07
1.403289e+01 1.415587e+07
1.413026e+01 1.400758e+07
1.422830e+01 1.386161e+07
1.432703e+01 1.371741e+07
1.442644e+01 1.357293e+07
1.452654e+01 1.342851e+07
1.462733e+01 1.328810e+07
1.472883e+01 1.314734e+07
1.483103e+01 1.300848e+07
1.493393e+01 1.287216e+07
1.503755e+01 1.273817e+07
1.514189e+01 1.260402e+07
1.524696e+01 1.246986e+07
1.535275e+01 1.233813e+07
1.545928e+01 1.220707e+07
1.556654e+01 1.207848e+07
1.567455e+01 1.195154e+07
1.578331e+01 1.182513e+07
1.589283e+01 1.169908e+07
1.600310e+01 1.157444e+07
1.611414e+01 1.145209e+07
1.622595e+01 1.133038e+07
1.633854e+01 1.121042e+07
1.645191e+01 1.109099e+07
1.656606e+01 1.097329e+07
1.668101e+01 1.085508e+07
1.679675e+01 1.074038e+07
1.691330e+01 1.062664e+07
1.703065e+01 1.051284e+07
1.714882e+01 1.040039e+07
1.726781e+01 1.028928e+07
1.738762e+01 1.017890e+07
1.750827e+01 1.007001e+07
1.762975e+01 9.961963e+06
1.775208e+01 9.854813e+06
1.787526e+01 9.748408e+06
1.799929e+01 9.644401e+06
1.812418e+01 9.540765e+06
1.824993e+01 9.438255e+06
1.837656e+01 9.336084e+06
1.850407e+01 9.235580e+06
1.863246e+01 9.136187e+06
1.876175e+01 9.037304e+06
1.889193e+01 8.939848e+06
1.902301e+01 8.843349e+06
1.915501e+01 8.746981e+06
1.928792e+01 8.652294e+06
1.942175e+01 8.558806e+06
1.955651e+01 8.465235e+06
1.969220e+01 8.373851e+06
1.982884e+01 8.283076e+06
1.996642e+01 8.193115e+06
2.010496e+01 8.104322e+06
2.024447e+01 8.016671e+06
2.038493e+01 7.929668e+06
2.052638e+01 7.844283e+06
2.066880e+01 7.758263e+06
2.081222e+01 7.673889e+06
2.095662e+01 7.590374e+06
2.110203e+01 7.507819e+06
2.124845e+01 7.425274e+06
2.139589e+01 7.343892e+06
2.154435e+01 7.263940e+06
2.169384e+01 7.185498e+06
2.184436e+01 7.106990e+06
2.199593e+01 7.029494e+06
2.214855e+01 6.952355e+06
2.230223e+01 6.875430e+06
2.245698e+01 6.799648e+06
2.261280e+01 6.724548e+06
2.276970e+01 6.650111e+06
2.292769e+01 6.576529e+06
2.308678e+01 6.502821e+06
2.324697e+01 6.430542e+06
2.340827e+01 6.359047e+06
2.357069e+01 6.288532e+06
2.373424e+01 6.219383e+06
2.389893e+01 6.150729e+06
2.406475e+01 6.083080e+06
2.423173e+01 6.016213e+06
2.439986e+01 5.949026e+06
2.456916e+01 5.882448e+06
2.473964e+01 5.816843e+06
2.491130e+01 5.751680e+06
2.508415e+01 5.687226e+06
2.525820e+01 5.623298e+06
2.543346e+01 5.560281e+06
2.560993e+01 5.498243e+06
2.578763e+01 5.436644e+06
2.596656e+01 5.375808e+06
2.614673e+01 5.315090e+06
2.632815e+01 5.255224e+06
2.651084e+01 5.196001e+06
2.669478e+01 5.137528e+06
2.688001e+01 5.079081e+06
2.706652e+01 5.022225e+06
2.725433e+01 4.965653e+06
2.744343e+01 4.908603e+06
2.763385e+01 4.852391e+06
2.782559e+01 4.797484e+06
2.801867e+01 4.742837e+06
2.821308e+01 4.688927e+06
2.840884e+01 4.634986e+06
2.860596e+01 4.582095e+06
2.880444e+01 4.529703e+06
2.900430e+01 4.478143e+06
2.920556e+01 4.427112e+06
2.940820e+01 4.376744e+06
2.961225e+01 4.326645e+06
2.981772e+01 4.276869e+06
3.002462e+01 4.227532e+06
3.023295e+01 4.178467e+06
3.044272e+01 4.129807e+06
3.065395e+01 4.081866e+06
3.086665e+01 4.034028e+06
3.108082e+01 3.987032e+06
3.129648e+01 3.940565e+06
3.151363e+01 3.894774e+06
3.173230e+01 3.848966e+06
3.195248e+01 3.803631e+06
3.217418e+01 3.758956e+06
3.239743e+01 3.714833e+06
3.262222e+01 3.670933e+06
3.284857e+01 3.627731e+06
3.307650e+01 3.584685e+06
3.330600e+01 3.542136e+06
3.353710e+01 3.500429e+06
3.376980e+01 3.459122e+06
3.400412e+01 3.418524e+06
3.424006e+01 3.377740e+06
3.447764e+01 3.337459e+06
3.471687e+01 3.297665e+06
3.495776e+01 3.258702e+06
3.520031e+01 3.219908e+06
3.544456e+01 3.181370e+06
3.569049e+01 3.143126e+06
3.593814e+01 3.105292e+06
3.618750e+01 3.068211e+06
3.643859e+01 3.031355e+06
3.669142e+01 2.994734e+06
3.694601e+01 2.958493e+06
3.720237e+01 2.922472e+06
3.746050e+01 2.886931e+06
3.772042e+01 2.851961e+06
3.798215e+01 2.817183e+06
3.824570e+01 2.783100e+06
3.851107e+01 2.748982e+06
3.877828e+01 2.715261e+06
3.904735e+01 2.682145e+06
3.931829e+01 2.649496e+06
3.959110e+01 2.617109e+06
3.986581e+01 2.584972e+06
4.014242e+01 2.553217e+06
4.042096e+01 2.521907e+06
4.070142e+01 2.491020e+06
4.098384e+01 2.460326e+06
4.126821e+01 2.430019e+06
4.155455e+01 2.399990e+06
4.184289e+01 2.370436e+06
4.213322e+01 2.341214e+06
4.242556e+01 2.312102e+06
4.271994e+01 2.283185e+06
4.301636e+01 2.254510e+06
4.331483e+01 2.226376e+06
4.361538e+01 2.198326e+06
4.391801e+01 2.170197e+06
4.422274e+01 2.143000e+06
4.452959e+01 2.116100e+06
4.483856e+01 2.089491e+06
4.514968e+01 2.063033e+06
4.546295e+01 2.037034e+06
4.577841e+01 2.011294e+06
4.609604e+01 1.985692e+06
4.641589e+01 1.960067e+06
4.673795e+01 1.934723e+06
4.706225e+01 1.909989e+06
4.738880e+01 1.885295e+06
4.771761e+01 1.861027e+06
4.804870e+01 1.836820e+06
4.838210e+01 1.812861e+06
4.871780e+01 1.789412e+06
4.905584e+01 1.766357e+06
4.939622e+01 1.743507e+06
4.973896e+01 1.720867e+06
5.008408e+01 1.698521e+06
5.043159e+01 1.676263e+06
5.078152e+01 1.654397e+06
5.113388e+01 1.632604e+06
5.148867e+01 1.611144e+06
5.184594e+01 1.589865e+06
5.220568e+01 1.568770e+06
5.256791e+01 1.548043e+06
5.293266e+01 1.527738e+06
5.329994e+01 1.507546e+06
5.366977e+01 1.487513e+06
5.404216e+01 1.467773e+06
5.441714e+01 1.448289e+06
5.479472e+01 1.428927e+06
5.517492e+01 1.409983e+06
5.555776e+01 1.391354e+06
5.594326e+01 1.372667e+06
5.633143e+01 1.354108e+06
5.672229e+01 1.335909e+06
5.711586e+01 1.317772e+06
5.751217e+01 1.300094e+06
5.791123e+01 1.282577e+06
5.831305e+01 1.265142e+06
5.871766e+01 1.247918e+06
5.912508e+01 1.230672e+06
5.953533e+01 1.213683e+06
5.994843e+01 1.197152e+06
6.036439e+01 1.180782e+06
6.078323e+01 1.164549e+06
6.120498e+01 1.148431e+06
6.162966e+01 1.132459e+06
6.205729e+01 1.116771e+06
6.248788e+01 1.101333e+06
6.292146e+01 1.086010e+06
6.335805e+01 1.070804e+06
6.379767e+01 1.055951e+06
6.424034e+01 1.041288e+06
6.468608e+01 1.026916e+06
6.513491e+01 1.012600e+06
6.558686e+01 9.986088e+05
6.604194e+01 9.845632e+05
6.650018e+01 9.706492e+05
6.696160e+01 9.568831e+05
6.742622e+01 9.431251e+05
6.789407e+01 9.298759e+05
6.836516e+01 9.166347e+05
6.883952e+01 9.035795e+05
6.931717e+01 8.905769e+05
6.979814e+01 8.778692e+05
7.028244e+01 8.651525e+05
7.077011e+01 8.526171e+05
7.126115e+01 8.402320e+05
7.175561e+01 8.281268e+05
7.225349e+01 8.161046e+05
7.275484e+01 8.042437e+05
7.325965e+01 7.925179e+05
7.376798e+01 7.807579e+05
7.427982e+01 7.693926e+05
7.479523e+01 7.581021e+05
7.531420e+01 7.469110e+05
7.583678e+01 7.359746e+05
7.636298e+01 7.252680e+05
7.689284e+01 7.145932e+05
7.742637e+01 7.041560e+05
7.796360e+01 6.936504e+05
7.850456e+01 6.832288e+05
7.904928e+01 6.731498e+05
7.959777e+01 6.631724e+05
8.015007e+01 6.533935e+05
8.070620e+01 6.435158e+05
8.126619e+01 6.338918e+05
8.183007e+01 6.242909e+05
8.239786e+01 6.148238e+05
8.296959e+01 6.056328e+05
8.354528e+01 5.963762e+05
8.412497e+01 5.873335e+05
8.470868e+01 5.781825e+05
8.529644e+01 5.692529e+05
8.588829e+01 5.604203e+05
8.648423e+01 5.518879e+05
8.708431e+01 5.434574e+05
8.768856e+01 5.349669e+05
8.829700e+01 5.268216e+05
8.890966e+01 5.185420e+05
8.952657e+01 5.103885e+05
9.014776e+01 5.025694e+05
9.077327e+01 4.947832e+05
9.140311e+01 4.870374e+05
9.203732e+01 4.795290e+05
9.267593e+01 4.720739e+05
9.331898e+01 4.646009e+05
9.396648e+01 4.572490e+05
9.461848e+01 4.500670e+05
9.527500e+01 4.429348e+05
9.593608e+01 4.358469e+05
9.660175e+01 4.288377e+05
9.727203e+01 4.218080e+05
9.794697e+01 4.148809e+05
9.862658e+01 4.080803e+05
9.931092e+01 4.014834e+05
1.000000e+02 3.949445e+05
1.006939e+02 3.885222e+05
1.013925e+02 3.820416e+05
1.020961e+02 3.757567e+05
1.028045e+02 3.694911e+05
1.035178e+02 3.633060e+05
1.042361e+02 3.572602e+05
1.049593e+02 3.513232e+05
1.056876e+02 3.454449e+05
1.064209e+02 3.396042e+05
1.071593e+02 3.338553e+05
1.079029e+02 3.283310e+05
1.086516e+02 3.228445e+05
1.094055e+02 3.174561e+05
1.101646e+02 3.121421e+05
1.109290e+02 3.068959e+05
1.116987e+02 3.017232e+05
1.124737e+02 2.965757e+05
1.132541e+02 2.915485e+05
1.140400e+02 2.864878e+05
1.148312e+02 2.815956e+05
1.156280e+02 2.767843e+05
1.164303e+02 2.720841e+05
1.172382e+02 2.673281e+05
1.180517e+02 2.626320e+05
1.188708e+02 2.579496e+05
1.196956e+02 2.532736e+05
1.205261e+02 2.487316e+05
1.213624e+02 2.442914e+05
1.222045e+02 2.399944e+05
1.230524e+02 2.357454e+05
1.239062e+02 2.314954e+05
1.247660e+02 2.273506e+05
1.256317e+02 2.232660e+05
1.265034e+02 2.191691e+05
1.273811e+02 2.151438e+05
1.282650e+02 2.113118e+05
1.291550e+02 2.074585e+05
1.300511e+02 2.035760e+05
1.309535e+02 1.998150e+05
1.318621e+02 1.961140e+05
1.327771e+02 1.924539e+05
1.336984e+02 1.888462e+05
1.346261e+02 1.853145e+05
1.355602e+02 1.818780e+05
1.365008e+02 1.784599e+05
1.374479e+02 1.751030e+05
1.384016e+02 1.717367e+05
1.393619e+02 1.684434e+05
1.403289e+02 1.652519e+05
1.413026e+02 1.620702e+05
1.422830e+02 1.589733e+05
1.432703e+02 1.559227e+05
1.442644e+02 1.529385e+05
1.452654e+02 1.500134e+05
1.462733e+02 1.471219e+05
1.472883e+02 1.442335e+05
1.483103e+02 1.413755e+05
1.493393e+02 1.385512e+05
1.503755e+02 1.357973e+05
1.514189e+02 1.330744e+05
1.524696e+02 1.303801e+05
1.535275e+02 1.277483e+05
1.545928e+02 1.252317e+05
1.556654e+02 1.227266e+05
1.567455e+02 1.202025e+05
1.578331e+02 1.177457e+05
1.589283e+02 1.153632e+05
1.600310e+02 1.129798e+05
1.611414e+02 1.106563e+05
1.622595e+02 1.083317e+05
1.633854e+02 1.060590e+05
1.645191e+02 1.038090e+05
1.656606e+02 1.016210e+05
1.668101e+02 9.948132e+04
