# Energy(MeV) Fluence(cm^-2*MeV^-1)
1.723745e+02 1.105371e+05
1.747773e+02 1.052409e+05
1.772136e+02 1.001986e+05
1.796838e+02 9.539775e+04
1.821885e+02 9.082697e+04
1.847281e+02 8.647518e+04
1.873032e+02 8.233191e+04
1.899141e+02 7.838715e+04
1.925614e+02 7.463139e+04
1.952456e+02 7.105559e+04
1.979672e+02 6.765111e+04
2.007267e+02 6.440975e+04
2.035248e+02 6.132369e+04
2.063618e+02 5.838550e+04
2.092383e+02 5.558808e+04
2.121550e+02 5.292469e+04
2.151123e+02 5.038892e+04
2.181109e+02 4.797464e+04
2.211512e+02 4.567603e+04
2.242340e+02 4.348756e+04
2.273597e+02 4.140395e+04
2.305289e+02 3.942017e+04
2.337424e+02 3.753143e+04
2.370006e+02 3.573319e+04
2.403043e+02 3.402111e+04
2.436540e+02 3.239106e+04
2.470504e+02 3.083911e+04
2.504942e+02 2.936152e+04
2.539859e+02 2.795473e+04
2.575263e+02 2.661533e+04
2.611161e+02 2.534012e+04
2.647559e+02 2.412600e+04
2.684465e+02 2.297005e+04
2.721885e+02 2.186949e+04
2.759826e+02 2.082166e+04
2.798297e+02 1.982403e+04
2.837304e+02 1.887421e+04
2.876854e+02 1.796989e+04
2.916956e+02 1.710890e+04
2.957617e+02 1.628916e+04
2.998844e+02 1.550870e+04
3.040646e+02 1.476564e+04
3.083031e+02 1.405817e+04
3.126007e+02 1.338460e+04
3.169582e+02 1.274331e+04
3.213764e+02 1.213274e+04
3.258562e+02 1.155142e+04
3.303985e+02 1.099796e+04
3.350041e+02 1.047102e+04
3.396739e+02 9.969322e+03
3.444087e+02 9.491663e+03
3.492096e+02 9.036890e+03
3.540774e+02 8.603906e+03
3.590130e+02 8.191668e+03
3.640175e+02 7.799182e+03
3.690917e+02 7.425500e+03
3.742366e+02 7.069723e+03
3.794533e+02 6.730992e+03
3.847427e+02 6.408491e+03
3.901058e+02 6.101442e+03
3.955436e+02 5.809104e+03
4.010573e+02 5.530773e+03
4.066478e+02 5.265778e+03
4.123163e+02 5.013479e+03
4.180637e+02 4.773269e+03
4.238913e+02 4.544568e+03
4.298001e+02 4.326824e+03
4.357913e+02 4.119514e+03
4.418660e+02 3.922136e+03
4.480254e+02 3.734215e+03
4.542706e+02 3.555298e+03
4.606029e+02 3.384953e+03
4.670234e+02 3.222770e+03
4.735335e+02 3.068358e+03
4.801343e+02 2.921344e+03
4.868271e+02 2.781374e+03
4.936132e+02 2.648110e+03
5.004939e+02 2.521232e+03
5.074705e+02 2.400432e+03
5.145444e+02 2.285421e+03
5.217169e+02 2.175920e+03
5.289893e+02 2.071665e+03
5.363631e+02 1.972405e+03
5.438397e+02 1.877902e+03
5.514206e+02 1.787926e+03
5.591071e+02 1.702261e+03
5.669007e+02 1.620701e+03
5.748030e+02 1.543049e+03
5.828155e+02 1.469117e+03
5.909396e+02 1.398727e+03
5.991770e+02 1.331710e+03
6.075292e+02 1.267904e+03
6.159978e+02 1.207155e+03
6.245845e+02 1.149317e+03
6.332908e+02 1.094250e+03
6.421186e+02 1.041821e+03
6.510694e+02 9.919043e+02
6.601449e+02 9.443793e+02
6.693470e+02 8.991314e+02
6.786773e+02 8.560514e+02
6.881377e+02 8.150355e+02
6.977300e+02 7.759848e+02
7.074559e+02 7.388051e+02
7.173175e+02 7.034068e+02
7.273165e+02 6.697046e+02
7.374549e+02 6.376171e+02
7.477346e+02 6.070670e+02
7.581576e+02 5.779807e+02
7.687260e+02 5.502879e+02
7.794416e+02 5.239221e+02
7.903066e+02 4.988194e+02
8.013230e+02 4.749196e+02
8.124930e+02 4.521648e+02
8.238187e+02 4.305003e+02
8.353023e+02 4.098737e+02
8.469460e+02 3.902355e+02
8.587519e+02 3.715382e+02
8.707225e+02 3.537367e+02
8.828599e+02 3.367882e+02
8.951665e+02 3.206517e+02
9.076446e+02 3.052883e+02
9.202967e+02 2.906611e+02
9.331251e+02 2.767347e+02
9.461324e+02 2.634755e+02
9.593209e+02 2.508516e+02
9.726934e+02 2.388326e+02
9.862522e+02 2.273895e+02
1.000000e+03 2.164946e+02
