# Energy(MeV) Fluence_Sferica_Median(p/cm2)
9.062045e+00 4.740765e+07
9.243693e+00 4.489957e+07
9.428983e+00 4.253356e+07
9.617986e+00 4.035305e+07
9.810778e+00 3.828272e+07
1.000743e+01 3.631916e+07
1.020803e+01 3.444550e+07
1.041265e+01 3.263552e+07
1.062137e+01 3.092258e+07
1.083428e+01 2.928479e+07
1.105145e+01 2.777942e+07
1.127297e+01 2.632257e+07
1.149894e+01 2.493356e+07
1.172944e+01 2.361773e+07
1.196455e+01 2.235487e+07
1.220438e+01 2.118020e+07
1.244902e+01 2.004903e+07
1.269856e+01 1.900598e+07
1.295310e+01 1.800378e+07
1.321274e+01 1.705710e+07
1.347759e+01 1.617570e+07
1.374775e+01 1.532152e+07
1.402332e+01 1.451618e+07
1.430442e+01 1.375207e+07
1.459115e+01 1.302217e+07
1.488362e+01 1.234654e+07
1.518197e+01 1.170198e+07
1.548629e+01 1.108444e+07
1.579671e+01 1.050068e+07
1.611335e+01 9.949693e+06
1.643634e+01 9.438018e+06
1.676581e+01 8.957419e+06
1.710188e+01 8.486953e+06
1.744468e+01 8.035847e+06
1.779436e+01 7.612500e+06
1.815105e+01 7.207054e+06
1.851488e+01 6.819628e+06
1.888601e+01 6.452246e+06
1.926458e+01 6.111293e+06
1.965074e+01 5.788606e+06
2.004464e+01 5.484657e+06
2.044643e+01 5.187899e+06
2.085628e+01 4.912680e+06
2.127434e+01 4.642425e+06
2.170078e+01 4.394127e+06
2.213577e+01 4.159688e+06
2.257948e+01 3.942262e+06
2.303209e+01 3.728721e+06
2.349376e+01 3.526676e+06
2.396469e+01 3.338177e+06
2.444506e+01 3.160297e+06
2.493506e+01 2.990483e+06
2.543488e+01 2.827860e+06
2.594472e+01 2.674199e+06
2.646478e+01 2.529954e+06
2.699527e+01 2.397004e+06
2.753639e+01 2.267655e+06
2.808835e+01 2.146561e+06
2.865138e+01 2.032270e+06
2.922570e+01 1.923460e+06
2.981152e+01 1.822233e+06
3.040909e+01 1.725127e+06
3.101864e+01 1.631696e+06
3.164041e+01 1.544151e+06
3.227464e+01 1.461258e+06
3.292158e+01 1.382871e+06
3.358149e+01 1.308859e+06
3.425463e+01 1.238037e+06
3.494126e+01 1.170768e+06
3.564165e+01 1.108270e+06
3.635609e+01 1.047934e+06
3.708484e+01 9.921641e+05
3.782820e+01 9.389744e+05
3.858647e+01 8.874482e+05
3.935993e+01 8.384456e+05
4.014890e+01 7.928096e+05
4.095368e+01 7.497960e+05
4.177459e+01 7.094506e+05
4.261196e+01 6.714763e+05
4.346611e+01 6.352432e+05
4.433739e+01 6.010638e+05
4.522613e+01 5.686979e+05
4.613268e+01 5.380502e+05
4.705741e+01 5.090305e+05
4.800067e+01 4.814515e+05
4.896284e+01 4.557306e+05
4.994430e+01 4.304897e+05
5.094543e+01 4.071248e+05
5.196662e+01 3.851299e+05
5.300829e+01 3.643221e+05
5.407084e+01 3.446449e+05
5.515468e+01 3.262189e+05
5.626026e+01 3.084602e+05
5.738799e+01 2.917363e+05
5.853833e+01 2.758691e+05
5.971172e+01 2.609765e+05
6.090864e+01 2.467304e+05
6.212955e+01 2.334048e+05
6.337493e+01 2.206877e+05
6.464528e+01 2.084811e+05
6.594109e+01 1.969312e+05
6.726287e+01 1.859643e+05
6.861115e+01 1.755595e+05
6.998645e+01 1.658105e+05
7.138933e+01 1.564812e+05
7.282032e+01 1.477021e+05
7.428000e+01 1.394570e+05
7.576894e+01 1.316658e+05
7.728772e+01 1.245120e+05
7.883694e+01 1.176141e+05
8.041722e+01 1.108923e+05
8.202918e+01 1.045619e+05
8.367345e+01 9.862652e+04
8.535068e+01 9.298686e+04
8.706153e+01 8.756939e+04
8.880667e+01 8.251261e+04
9.058679e+01 7.785188e+04
9.240260e+01 7.344864e+04
9.425480e+01 6.925313e+04
9.614413e+01 6.522977e+04
9.807133e+01 6.149324e+04
1.000372e+02 5.803197e+04
1.020424e+02 5.471068e+04
1.040878e+02 5.158724e+04
1.061743e+02 4.860811e+04
1.083025e+02 4.588221e+04
1.104734e+02 4.329898e+04
1.126879e+02 4.080375e+04
1.149467e+02 3.849754e+04
1.172508e+02 3.629301e+04
1.196011e+02 3.411316e+04
1.219985e+02 3.213462e+04
1.244439e+02 3.025129e+04
1.269384e+02 2.850891e+04
1.294828e+02 2.683589e+04
1.320783e+02 2.523127e+04
1.347258e+02 2.375663e+04
1.374264e+02 2.240137e+04
1.401811e+02 2.106704e+04
1.429910e+02 1.980059e+04
1.458573e+02 1.858012e+04
1.487810e+02 1.751207e+04
1.517633e+02 1.644933e+04
1.548053e+02 1.548311e+04
