# Energy(MeV) Phi16_Sferica Phi84_Sferica
1.518761e+00 2.432134e+09 5.575946e+09
1.549204e+00 2.327672e+09 5.362613e+09
1.580258e+00 2.208803e+09 5.150439e+09
1.611934e+00 2.112643e+09 4.946410e+09
1.644245e+00 2.012043e+09 4.745346e+09
1.677204e+00 1.930216e+09 4.555969e+09
1.710823e+00 1.837324e+09 4.370031e+09
1.745117e+00 1.744799e+09 4.186539e+09
1.780097e+00 1.656931e+09 4.011589e+09
1.815779e+00 1.578857e+09 3.850487e+09
1.852176e+00 1.515240e+09 3.691562e+09
1.889303e+00 1.453384e+09 3.531772e+09
1.927174e+00 1.384900e+09 3.381779e+09
1.965804e+00 1.314009e+09 3.238634e+09
2.005209e+00 1.251902e+09 3.093759e+09
2.045403e+00 1.201983e+09 2.957463e+09
2.086403e+00 1.153169e+09 2.824659e+09
2.128224e+00 1.100519e+09 2.691978e+09
2.170885e+00 1.052426e+09 2.566320e+09
2.214400e+00 9.941993e+08 2.444126e+09
2.258787e+00 9.450119e+08 2.335435e+09
2.304064e+00 8.991891e+08 2.225485e+09
2.350249e+00 8.531675e+08 2.117320e+09
2.397360e+00 8.094999e+08 2.011631e+09
2.445415e+00 7.691208e+08 1.914843e+09
2.494433e+00 7.362595e+08 1.819689e+09
2.544434e+00 7.051373e+08 1.730326e+09
2.595437e+00 6.754742e+08 1.641921e+09
2.647462e+00 6.468410e+08 1.562063e+09
2.700530e+00 6.170913e+08 1.481336e+09
2.754662e+00 5.890866e+08 1.406736e+09
2.809879e+00 5.603762e+08 1.337238e+09
2.866203e+00 5.330177e+08 1.268973e+09
2.923656e+00 5.065044e+08 1.204906e+09
2.982260e+00 4.789645e+08 1.143319e+09
3.042039e+00 4.542687e+08 1.083163e+09
3.103017e+00 4.308889e+08 1.026056e+09
3.165216e+00 4.090719e+08 9.728921e+08
3.228663e+00 3.882045e+08 9.229782e+08
3.293381e+00 3.691877e+08 8.755238e+08
3.359397e+00 3.513758e+08 8.302708e+08
3.426736e+00 3.343014e+08 7.868223e+08
3.495424e+00 3.173608e+08 7.453538e+08
3.565490e+00 3.010856e+08 7.061434e+08
3.636960e+00 2.856441e+08 6.692411e+08
3.709862e+00 2.709937e+08 6.344331e+08
3.784226e+00 2.570937e+08 6.011062e+08
3.860081e+00 2.439058e+08 5.695258e+08
3.937456e+00 2.313935e+08 5.396542e+08
4.016382e+00 2.195224e+08 5.112460e+08
4.096890e+00 2.082594e+08 4.844591e+08
4.179012e+00 1.975735e+08 4.593390e+08
4.262780e+00 1.874352e+08 4.352167e+08
4.348227e+00 1.778164e+08 4.125578e+08
4.435387e+00 1.686171e+08 3.912864e+08
4.524294e+00 1.595525e+08 3.707354e+08
4.614983e+00 1.509747e+08 3.506967e+08
4.707490e+00 1.428577e+08 3.320598e+08
4.801851e+00 1.351767e+08 3.145879e+08
4.898104e+00 1.279082e+08 2.981934e+08
4.996286e+00 1.210767e+08 2.830131e+08
5.096436e+00 1.146192e+08 2.679943e+08
5.198594e+00 1.088907e+08 2.541433e+08
5.302799e+00 1.035196e+08 2.409375e+08
5.409093e+00 9.843334e+07 2.283076e+08
5.517518e+00 9.359619e+07 2.164113e+08
5.628116e+00 8.899600e+07 2.052904e+08
5.740932e+00 8.462117e+07 1.943773e+08
5.856008e+00 8.037666e+07 1.842194e+08
5.973391e+00 7.619712e+07 1.747450e+08
6.093127e+00 7.240403e+07 1.656925e+08
6.215264e+00 6.843590e+07 1.570868e+08
6.339848e+00 6.477955e+07 1.487806e+08
6.466930e+00 6.153314e+07 1.410754e+08
6.596559e+00 5.847039e+07 1.337506e+08
6.728787e+00 5.541242e+07 1.268125e+08
6.863665e+00 5.239280e+07 1.200183e+08
7.001246e+00 4.953756e+07 1.138041e+08
7.141586e+00 4.683777e+07 1.078022e+08
7.284738e+00 4.430657e+07 1.020934e+08
7.430760e+00 4.192232e+07 9.668908e+07
7.579709e+00 3.966634e+07 9.172568e+07
7.731644e+00 3.753173e+07 8.694291e+07
7.886624e+00 3.563219e+07 8.226940e+07
8.044711e+00 3.385153e+07 7.798600e+07
8.205967e+00 3.215959e+07 7.396229e+07
8.370455e+00 3.055192e+07 7.008592e+07
8.538240e+00 2.902432e+07 6.637438e+07
8.709388e+00 2.757282e+07 6.295726e+07
8.883967e+00 2.619364e+07 5.953391e+07
9.062045e+00 2.488317e+07 5.632594e+07
9.243693e+00 2.363801e+07 5.338106e+07
9.428983e+00 2.245491e+07 5.064025e+07
9.617986e+00 2.133078e+07 4.803925e+07
9.810778e+00 2.026269e+07 4.554338e+07
1.000743e+01 1.924785e+07 4.317869e+07
1.020803e+01 1.828362e+07 4.090519e+07
1.041265e+01 1.736749e+07 3.874800e+07
1.062137e+01 1.649705e+07 3.669368e+07
1.083428e+01 1.567003e+07 3.479144e+07
1.105145e+01 1.488405e+07 3.299965e+07
1.127297e+01 1.410942e+07 3.128673e+07
1.149894e+01 1.337496e+07 2.963360e+07
1.172944e+01 1.267860e+07 2.806899e+07
1.196455e+01 1.201835e+07 2.662815e+07
