# Energy(MeV) Phi16_Planare Phi84_Planare
6.248788e+00 1.086353e+07 1.233229e+07
6.292146e+00 1.076031e+07 1.220475e+07
6.335805e+00 1.065834e+07 1.208072e+07
6.379767e+00 1.055729e+07 1.195929e+07
6.424034e+00 1.045717e+07 1.183459e+07
6.468608e+00 1.035796e+07 1.171057e+07
6.513491e+00 1.025965e+07 1.158878e+07
6.558686e+00 1.016224e+07 1.146997e+07
6.604194e+00 1.006571e+07 1.135225e+07
6.650018e+00 9.970106e+06 1.123542e+07
6.696160e+00 9.875553e+06 1.111975e+07
6.742622e+00 9.781858e+06 1.100524e+07
6.789407e+00 9.689012e+06 1.089189e+07
6.836516e+00 9.597009e+06 1.077966e+07
6.883952e+00 9.505840e+06 1.066836e+07
6.931717e+00 9.415498e+06 1.055849e+07
6.979814e+00 9.325976e+06 1.044970e+07
7.028244e+00 9.237266e+06 1.034227e+07
7.077011e+00 9.149627e+06 1.023576e+07
7.126115e+00 9.062910e+06 1.013048e+07
7.175561e+00 8.976972e+06 1.002605e+07
7.225349e+00 8.891467e+06 9.922302e+06
7.275484e+00 8.806215e+06 9.818912e+06
7.325965e+00 8.721745e+06 9.716294e+06
7.376798e+00 8.638048e+06 9.615293e+06
7.427982e+00 8.555296e+06 9.514889e+06
7.479523e+00 8.473436e+06 9.416298e+06
7.531420e+00 8.392323e+06 9.319029e+06
7.583678e+00 8.311950e+06 9.222776e+06
7.636298e+00 8.232487e+06 9.126782e+06
7.689284e+00 8.154145e+06 9.030899e+06
7.742637e+00 8.075901e+06 8.936835e+06
7.796360e+00 7.998358e+06 8.844556e+06
7.850456e+00 7.922284e+06 8.753113e+06
7.904928e+00 7.847234e+06 8.663297e+06
7.959777e+00 7.771957e+06 8.574376e+06
8.015007e+00 7.696566e+06 8.485518e+06
8.070620e+00 7.623126e+06 8.397751e+06
8.126619e+00 7.550408e+06 8.311546e+06
8.183007e+00 7.478344e+06 8.226203e+06
8.239786e+00 7.406539e+06 8.141804e+06
8.296959e+00 7.335143e+06 8.057243e+06
8.354528e+00 7.264391e+06 7.973951e+06
8.412497e+00 7.194563e+06 7.891493e+06
8.470868e+00 7.125438e+06 7.810581e+06
8.529644e+00 7.056942e+06 7.729418e+06
8.588829e+00 6.989067e+06 7.649385e+06
8.648423e+00 6.921576e+06 7.571228e+06
8.708431e+00 6.854217e+06 7.492148e+06
8.768856e+00 6.787481e+06 7.415124e+06
8.829700e+00 6.720853e+06 7.338339e+06
8.890966e+00 6.654956e+06 7.262254e+06
8.952657e+00 6.590285e+06 7.186615e+06
9.014776e+00 6.526336e+06 7.111854e+06
9.077327e+00 6.462946e+06 7.037938e+06
9.140311e+00 6.399829e+06 6.964639e+06
9.203732e+00 6.337330e+06 6.892277e+06
9.267593e+00 6.275488e+06 6.819536e+06
9.331898e+00 6.214208e+06 6.747583e+06
9.396648e+00 6.153486e+06 6.677150e+06
9.461848e+00 6.093337e+06 6.607450e+06
9.527500e+00 6.033960e+06 6.538316e+06
9.593608e+00 5.975444e+06 6.470543e+06
9.660175e+00 5.917457e+06 6.402934e+06
9.727203e+00 5.860034e+06 6.336018e+06
9.794697e+00 5.803132e+06 6.269927e+06
9.862658e+00 5.746747e+06 6.204520e+06
9.931092e+00 5.690873e+06 6.139770e+06
1.000000e+01 5.635507e+06 6.076297e+06
1.006939e+01 5.580454e+06 6.012161e+06
1.013925e+01 5.525936e+06 5.948847e+06
1.020961e+01 5.471935e+06 5.886550e+06
1.028045e+01 5.418430e+06 5.824558e+06
1.035178e+01 5.365414e+06 5.763031e+06
1.042361e+01 5.312884e+06 5.702381e+06
1.049593e+01 5.260835e+06 5.642726e+06
1.056876e+01 5.209264e+06 5.582775e+06
1.064209e+01 5.158268e+06 5.523671e+06
1.071593e+01 5.107778e+06 5.465508e+06
1.079029e+01 5.057377e+06 5.408816e+06
1.086516e+01 5.007457e+06 5.351464e+06
1.094055e+01 4.958121e+06 5.294909e+06
1.101646e+01 4.909045e+06 5.239098e+06
1.109290e+01 4.859979e+06 5.184430e+06
1.116987e+01 4.811799e+06 5.130156e+06
1.124737e+01 4.764171e+06 5.075591e+06
1.132541e+01 4.716985e+06 5.022127e+06
1.140400e+01 4.670236e+06 4.969123e+06
1.148312e+01 4.623921e+06 4.917218e+06
1.156280e+01 4.577835e+06 4.865470e+06
1.164303e+01 4.532092e+06 4.814238e+06
1.172382e+01 4.486407e+06 4.763707e+06
1.180517e+01 4.441204e+06 4.713240e+06
1.188708e+01 4.396662e+06 4.663547e+06
1.196956e+01 4.352952e+06 4.614326e+06
1.205261e+01 4.309738e+06 4.565387e+06
1.213624e+01 4.266846e+06 4.517253e+06
1.222045e+01 4.224161e+06 4.469539e+06
1.230524e+01 4.182009e+06 4.422244e+06
1.239062e+01 4.140307e+06 4.375620e+06
1.247660e+01 4.098611e+06 4.329618e+06
