E_MeV,Fluence_per_cm2_per_MeV
40.93365906754191,48195264.404587895
41.58641242902574,46272034.298212275
42.24957499800865,44425550.612626284
42.92331276613018,42652750.78496553
43.60779437203509,40950694.46381423
44.30319114358378,39316558.632362984
45.009677140736336,37747632.926175855
45.727429199120394,36241315.13780138
46.45662697429335,34795106.90077318
47.19745298671104,33406609.545838863
47.95009266741284,32073520.122547362
48.714734404435944,30793627.579593297
49.491569589969174,29564809.097585846
50.28079266825934,28385026.56815715
51.08260118428088,27252323.2135729
51.89719583318242,26164820.34123598
52.724780510520944,25120714.227702804
53.565562363297694,24118273.127041936
54.419751841807866,23155834.39857414
55.28756275231656,22231801.74923054
56.169212310575624,21344642.58595334
57.06492119619294,20492885.473749902
57.974913607869716,19675117.695182133
58.8994173195176,18889982.907245245
59.83866373727171,18136178.891747832
60.792887957411786,17412455.395463757
61.76232882520802,16717612.056471858
62.74722899470435,16050496.413245793
63.74783498945567,15410001.99319049
64.76439726423364,14795066.477455609
65.79717026771587,14204669.938982356
66.84641250617568,13637833.150860468
67.91238660818652,13093615.96219067
68.99535939035927,12571115.738757716
70.09560192412664,12069465.865928926
71.21338960359384,11587834.311293868
72.34900221446995,11125422.24466245
73.50272400409972,10681462.713131372
74.6748437526111,10255219.369022468
75.86565484519794,9845985.248582345
77.07545534555551,9453081.599417955
78.30454807048618,9075856.754723558
79.55324066569607,8713685.052431233
80.82184568279902,8365965.797493068
82.11068065754993,8032122.265573012
83.42006818932428,7711600.746496759
84.75033602186636,7403869.625872374
86.10181712532393,7108418.503359135
87.47484977959233,6824757.346121509
88.86977765898641,6552415.6760648005
90.28694991826343,6290941.789503947
91.72672128001801,6039902.007971394
93.18945212346954,5798879.958921621
94.67550857466692,5567475.8851389
96.18526259813044,5345305.9817033205
97.71909208995625,5132001.759414965
99.27738097240425,4927209.433620813
100.86051928999575,4650213.031871575
102.46890330714203,4325589.459950941
104.1029356073314,4023627.3150927136
105.76302519389633,3742744.641083853
107.44958759238851,3481469.915421131
109.16304495458664,3238434.340119012
110.90382616416142,3012364.6706835073
112.67236694402742,2802076.545683068
114.46910996540495,2606468.2819712064
116.29450495862301,2424515.1030539693
118.14900882568709,2255263.7703656387
120.03308575464429,2097827.589325844
121.94720733576992,1951381.7640156588
123.89185267960909,1815159.076135776
125.86750853689855,1688445.8656095392
127.87466942040247,1570578.291773207
129.9138377286907,1460938.8555662879
131.98552387188994,1358953.1645020014
134.0902463994419,1264086.923469604
136.2285321298968,1175843.1356038868
138.40091628277884,1093759.4985571562
140.60794261255208,1017405.9825332147
142.85016354472506,946382.5773946219
145.12814031412347,880317.1970407125
147.44244310537002,818863.7300773889
149.79365119560256,761700.226566452
152.18235309946922,708527.2113548798
154.609146716436,659066.1151477593
157.07463948044168,613057.8151054246
159.57944851194182,570261.2773190038
162.12420077237445,530452.2940525286
164.7095332210919,493422.30913600256
167.33609297479236,458977.3253558523
170.0045374694964,426936.8881185844
172.715534625104,397133.1400632063
175.46976301257837,369409.9416695406
178.267912023793,343622.05325542565
181.11068204408923,319634.3740772988
183.99878462758534,297321.23454789614
186.93294267527946,276565.7378630602
189.91389061599548,257259.14758845413
192.94237459021127,239300.3179978427
196.01915263682153,222595.1641784822
199.1449948828756,207056.16912758304
202.32068373634445,192601.9252575228
205.5470140819579,179156.70790782958
208.82479348016867,166650.0786295622
212.15484236928552,155016.5161637554
215.53799427083234,144195.07318063293
218.9750959981817,134129.0569812808
222.46700786851332,124765.73248900783
226.014603918156,116056.04597437129
229.61877212135965,107954.3680665049
233.28041461255992,100418.25470438623
237.0004479121834,93408.2247757026
240.77980315605734,86887.55327836853
244.61942632847385,80822.07892109665
248.52027849897485,75180.02515504367
252.4833360629088,69931.83369894323
256.50959098582626,65050.00968556585
260.6000510517728,60508.9776182451
264.75574011553863,56284.947382839986
268.9776983589346,52355.78961317322
273.26698255115093,48700.919757003765
277.6246663132718,45301.19023515495
282.051840387004,42138.7901288369
286.5496129076952,39197.15186962526
291.11910968170105,36460.86444325927
295.7614744681808,33915.592652534004
300.47786926538123,31548.00201631739
305.26947460148966,29345.688911239144
310.1374898301244,27297.115590071364
315.0831334305349,25391.549736368295
320.1076433125928,23619.00823869341
325.2122771266426,21970.204889875276
330.39831257829786,20436.50173728883
335.667047748252,19009.863829293685
341.01980141719486,17682.817120746022
346.45791339590465,16448.409317057572
351.9827448606097,15300.173451663843
357.59567869369255,14232.09400608934
363.29811982983057,13238.575395113454
369.0914956076568,12314.412651934132
374.9772561270244,11454.764159751689
380.95687461197446,10655.126286914116
387.03184777948496,9911.309792741287
393.2036962141073,9219.417880418092
399.47396474856987,8575.825781979154
405.84422285045764,7977.1617684307475
412.31606501505195,7420.289485524891
418.89111116443894,6902.291522643011
425.57100705298217,6420.454128708341
432.35742467925706,5972.252995055099
439.2520627045609,5555.340030771319
446.2566468780892,5167.531061233239
