
Event_ID, Start_time (UTC), End_time (UTC), Duration (hours) , Source_loc, Dist_AU, Flare_class, Fluence >10MeV (p/cm²), Fluence >30MeV (p/cm²), Fluence >60MeV (p/cm²), Fluence >100MeV (p/cm²), Fluence >300MeV (p/cm²), Peak_flux >10MeV (p / cm² s), Best_FIT_model, A, E0, Er, Ga, Gb, Chi2, Filename, Instrument
2. The Big One (28 Oct - X17), 2003-10-28 11:00, 2003-10-29 20:00, 33.0, S16E08, 1.0, X17.2, 9.702e+08, 1.660e+08, 2.787e+07, 6.875e+06, 3.371e+05, N/A, Band, 2.10e+09, 19.16, , 1.05, 3.74, 2.30, SPENVIS_OCT03_2._The_Big_One_28_Oct_-_X17_.txt, Generated by Python Fit
3. Late Event (2 Nov - X8), 2003-11-02 17:10, 2003-11-06 00:00, 78.8, S14W56, 1.0, X28+, 1.307e+08, 1.062e+07, 1.867e+06, 5.186e+05, 3.274e+04, N/A, Band, 1.03e+09, 9.63, , 1.19, 3.51, 2.17, SPENVIS_OCT03_3._Late_Event_2_Nov_-_X8_.txt, Generated by Python Fit






================================================================================
TABELLA CSV GENERATA (SEPTEMBER 2017)
================================================================================

Event_ID, Start_time, End_time, Duration, Source_loc, Dist_AU, Class, F>10, F>30, F>60, F>100, F>300, Peak, Model, A, E0, Er, Ga, Gb, Chi2, Filename, Notes
Event 04/09, 2017-09-04 22:00, 2017-09-06 11:30, 37.5, Active Region 12673, 1.0, M5.5, 7.589e+06, 1.464e+05, 1.177e+04, 1.837e+03, 3.379e+01, N/A, Band, 1.18e+08, 3.07, , 0.27, 4.64, 101.70, SPENVIS_SEP17_Event_04_09.txt, Generated by Python Fit
Event 06/09, 2017-09-06 12:00, 2017-09-10 15:30, 99.5, S09W34, 1.0, X9.3, 2.547e+07, 6.313e+05, 5.542e+04, 9.226e+03, 1.949e+02, N/A, Band, 7.53e+08, 5.08, , 1.17, 4.51, 1.27, SPENVIS_SEP17_Event_06_09.txt, Generated by Python Fit
Event 10/09, 2017-09-10 16:00, 2017-09-15 00:00, 104.0, S08W88, 1.0, X8.2, 1.417e+08, 3.519e+07, 8.892e+06, 2.648e+06, 1.916e+05, N/A, Band, 3.24e+08, 34.32, , 1.25, 3.38, 0.70, SPENVIS_SEP17_Event_10_09.txt, Generated by Python Fit




================================================================================
TABELLA CSV GENERATA (JULY 2012 STEREO)
================================================================================

Event, Start, End, Dur, Loc, Class, F>10, F>30, F>100, F>300, Model, Chi2, Filename
STEREO-A Jul 2012, 2012-07-23 02:00, 2012-07-28 00:00, 118.0, Backside (W133), Recostructed >X30, 1.388e+09, 7.363e+08, 3.238e+08, 1.249e+08, Combined, 1.23, SPENVIS_JUL12_STEREO_A.txt
