# Energy(MeV)  Phi_res(p/cm2/MeV)  S(MeV*cm2/g)  Dose(MeV/g)  Dose(Gy)
8.159200e+00 2.162000e+07 4.063927e+01 2.700881e+08 4.326811e-02
8.466600e+00 2.184600e+07 3.951147e+01 2.754368e+08 4.412497e-02
8.785700e+00 2.206300e+07 3.842103e+01 2.805831e+08 4.494942e-02
9.116700e+00 2.227400e+07 3.735092e+01 2.858596e+08 4.579470e-02
9.460300e+00 2.245500e+07 3.629917e+01 2.905824e+08 4.655130e-02
9.816800e+00 2.264600e+07 3.529057e+01 2.958602e+08 4.739681e-02
1.018700e+01 2.282500e+07 3.430774e+01 3.007005e+08 4.817221e-02
1.057100e+01 2.298900e+07 3.333765e+01 3.050269e+08 4.886531e-02
1.096900e+01 2.312900e+07 3.240235e+01 3.095162e+08 4.958450e-02
1.138200e+01 2.325400e+07 3.148586e+01 3.141019e+08 5.031912e-02
1.181100e+01 2.334000e+07 3.059809e+01 3.178009e+08 5.091171e-02
1.225600e+01 2.342600e+07 2.974764e+01 3.219532e+08 5.157690e-02
1.271800e+01 2.348500e+07 2.890365e+01 3.251463e+08 5.208844e-02
1.319700e+01 2.352200e+07 2.808512e+01 3.283273e+08 5.259803e-02
1.369400e+01 2.351100e+07 2.728400e+01 3.316421e+08 5.312907e-02
1.421100e+01 2.348500e+07 2.650861e+01 3.330668e+08 5.335730e-02
1.474600e+01 2.342500e+07 2.576556e+01 3.355783e+08 5.375965e-02
1.530200e+01 2.334300e+07 2.502752e+01 3.365092e+08 5.390877e-02
1.587800e+01 2.322300e+07 2.431248e+01 3.382007e+08 5.417975e-02
1.647700e+01 2.306000e+07 2.362345e+01 3.377492e+08 5.410742e-02
1.709700e+01 2.286200e+07 2.295324e+01 3.384683e+08 5.422262e-02
1.774200e+01 2.262100e+07 2.228812e+01 3.367919e+08 5.395407e-02
1.841000e+01 2.235300e+07 2.166000e+01 3.360112e+08 5.382899e-02
1.910400e+01 2.203000e+07 2.103667e+01 3.336752e+08 5.345477e-02
1.982400e+01 2.167100e+07 2.043667e+01 3.308336e+08 5.299954e-02
2.057100e+01 2.127000e+07 1.984927e+01 3.272003e+08 5.241749e-02
2.134600e+01 2.083400e+07 1.928292e+01 3.229993e+08 5.174449e-02
2.215000e+01 2.034900e+07 1.873000e+01 3.182492e+08 5.098352e-02
2.298500e+01 1.982800e+07 1.819321e+01 3.123966e+08 5.004593e-02
2.385100e+01 1.927300e+07 1.766944e+01 3.061483e+08 4.904496e-02
2.475000e+01 1.868000e+07 1.717000e+01 2.992463e+08 4.793926e-02
2.568300e+01 1.806100e+07 1.666855e+01 2.911159e+08 4.663677e-02
2.665000e+01 1.740300e+07 1.620000e+01 2.833382e+08 4.539079e-02
2.765500e+01 1.672200e+07 1.573233e+01 2.741252e+08 4.391485e-02
2.869700e+01 1.601800e+07 1.528130e+01 2.646027e+08 4.238935e-02
2.977800e+01 1.529100e+07 1.484081e+01 2.546165e+08 4.078956e-02
3.090000e+01 1.455400e+07 1.442000e+01 2.442871e+08 3.913480e-02
3.206400e+01 1.380200e+07 1.399868e+01 2.335906e+08 3.742121e-02
3.327300e+01 1.305600e+07 1.359907e+01 2.224695e+08 3.563961e-02
3.452600e+01 1.231300e+07 1.321124e+01 2.117963e+08 3.392977e-02
3.582800e+01 1.157900e+07 1.283058e+01 2.005631e+08 3.213021e-02
3.717800e+01 1.086000e+07 1.247053e+01 1.896020e+08 3.037424e-02
3.857800e+01 1.015800e+07 1.211051e+01 1.788691e+08 2.865482e-02
4.003200e+01 9.477600e+06 1.176955e+01 1.683245e+08 2.696559e-02
4.154100e+01 8.820100e+06 1.142980e+01 1.577707e+08 2.527487e-02
4.310600e+01 8.187500e+06 1.111082e+01 1.477350e+08 2.366714e-02
4.473000e+01 7.580900e+06 1.079000e+01 1.379113e+08 2.209339e-02
4.641600e+01 7.000200e+06 1.048073e+01 1.283193e+08 2.055675e-02
4.816500e+01 6.448800e+06 1.019083e+01 1.192793e+08 1.910854e-02
4.998000e+01 5.926800e+06 9.898000e+00 1.104633e+08 1.769622e-02
5.186300e+01 5.434000e+06 9.617585e+00 1.021721e+08 1.636797e-02
5.381800e+01 4.971000e+06 9.347277e+00 9.418519e+07 1.508847e-02
