# E(MeV) Phi16 Phi84
1.676581e+01 5.640760e+06 4.333597e+07
1.710188e+01 5.225971e+06 4.145243e+07
1.744468e+01 4.814167e+06 3.956372e+07
1.779436e+01 4.437831e+06 3.785543e+07
1.815105e+01 4.103704e+06 3.622939e+07
1.851488e+01 3.790847e+06 3.458612e+07
1.888601e+01 3.482126e+06 3.302590e+07
1.926458e+01 3.206253e+06 3.151576e+07
1.965074e+01 2.946274e+06 3.005736e+07
2.004464e+01 2.706551e+06 2.870233e+07
2.044643e+01 2.484371e+06 2.738918e+07
2.085628e+01 2.271799e+06 2.602801e+07
2.127434e+01 2.077645e+06 2.477911e+07
2.170078e+01 1.901218e+06 2.359416e+07
2.213577e+01 1.733279e+06 2.246963e+07
2.257948e+01 1.578063e+06 2.149575e+07
2.303209e+01 1.445703e+06 2.048611e+07
2.349376e+01 1.319463e+06 1.954757e+07
2.396469e+01 1.199846e+06 1.853648e+07
2.444506e+01 1.089628e+06 1.756682e+07
2.493506e+01 9.908828e+05 1.669588e+07
2.543488e+01 9.005082e+05 1.584203e+07
2.594472e+01 8.127997e+05 1.499076e+07
2.646478e+01 7.347137e+05 1.422475e+07
2.699527e+01 6.643460e+05 1.350107e+07
2.753639e+01 6.043578e+05 1.280224e+07
2.808835e+01 5.447431e+05 1.215716e+07
2.865138e+01 4.915289e+05 1.152393e+07
2.922570e+01 4.397758e+05 1.092664e+07
2.981152e+01 3.952738e+05 1.034001e+07
3.040909e+01 3.552298e+05 9.782173e+06
3.101864e+01 3.178854e+05 9.254690e+06
3.164041e+01 2.844607e+05 8.742418e+06
3.227464e+01 2.538400e+05 8.278313e+06
3.292158e+01 2.267617e+05 7.820871e+06
3.358149e+01 2.019586e+05 7.394035e+06
3.425463e+01 1.792446e+05 6.996284e+06
3.494126e+01 1.591903e+05 6.613621e+06
3.564165e+01 1.414334e+05 6.256191e+06
3.635609e+01 1.254685e+05 5.922114e+06
3.708484e+01 1.109561e+05 5.580272e+06
3.782820e+01 9.815282e+04 5.260317e+06
3.858647e+01 8.663935e+04 4.963454e+06
3.935993e+01 7.639345e+04 4.686098e+06
4.014890e+01 6.716105e+04 4.424447e+06
4.095368e+01 5.904296e+04 4.171578e+06
4.177459e+01 5.174294e+04 3.938666e+06
4.261196e+01 4.532007e+04 3.718222e+06
