# E(MeV) Fluence
1.402332e+01 1.481120e+08
1.430442e+01 1.411188e+08
1.459115e+01 1.341011e+08
1.488362e+01 1.274326e+08
1.518197e+01 1.214908e+08
1.548629e+01 1.152254e+08
1.579671e+01 1.093186e+08
1.611335e+01 1.035372e+08
1.643634e+01 9.797513e+07
1.676581e+01 9.280206e+07
1.710188e+01 8.812017e+07
1.744468e+01 8.331853e+07
1.779436e+01 7.886559e+07
1.815105e+01 7.472361e+07
1.851488e+01 7.070601e+07
1.888601e+01 6.688323e+07
1.926458e+01 6.356539e+07
1.965074e+01 6.027165e+07
2.004464e+01 5.711844e+07
2.044643e+01 5.418332e+07
2.085628e+01 5.165917e+07
2.127434e+01 4.909206e+07
2.170078e+01 4.657601e+07
2.213577e+01 4.418914e+07
2.257948e+01 4.194915e+07
2.303209e+01 3.981008e+07
2.349376e+01 3.773203e+07
2.396469e+01 3.576255e+07
2.444506e+01 3.389594e+07
2.493506e+01 3.209651e+07
2.543488e+01 3.039668e+07
2.594472e+01 2.878690e+07
2.646478e+01 2.726240e+07
2.699527e+01 2.583656e+07
2.753639e+01 2.455944e+07
2.808835e+01 2.334547e+07
2.865138e+01 2.218244e+07
2.922570e+01 2.103020e+07
2.981152e+01 1.993777e+07
3.040909e+01 1.890204e+07
3.101864e+01 1.793687e+07
3.164041e+01 1.702702e+07
3.227464e+01 1.616630e+07
3.292158e+01 1.536338e+07
3.358149e+01 1.460029e+07
3.425463e+01 1.386868e+07
3.494126e+01 1.313932e+07
3.564165e+01 1.245321e+07
3.635609e+01 1.177568e+07
3.708484e+01 1.113509e+07
3.782820e+01 1.052942e+07
3.858647e+01 9.963677e+06
3.935993e+01 9.448913e+06
4.014890e+01 8.965723e+06
4.095368e+01 8.485150e+06
4.177459e+01 8.010907e+06
4.261196e+01 7.579634e+06
4.346611e+01 7.187812e+06
4.433739e+01 6.807562e+06
4.522613e+01 6.442263e+06
4.613268e+01 6.096554e+06
4.705741e+01 5.772501e+06
4.800067e+01 5.469877e+06
4.896284e+01 5.187914e+06
4.994430e+01 4.920380e+06
5.094543e+01 4.658906e+06
5.196662e+01 4.396496e+06
5.300829e+01 4.151490e+06
5.407084e+01 3.937812e+06
5.515468e+01 3.735121e+06
5.626026e+01 3.542853e+06
5.738799e+01 3.360472e+06
5.853833e+01 3.186119e+06
5.971172e+01 3.016647e+06
6.090864e+01 2.856177e+06
6.212955e+01 2.704231e+06
6.337493e+01 2.560357e+06
6.464528e+01 2.422711e+06
6.594109e+01 2.290007e+06
6.726287e+01 2.164562e+06
6.861115e+01 2.045981e+06
6.998645e+01 1.933888e+06
7.138933e+01 1.827927e+06
7.282032e+01 1.722204e+06
7.428000e+01 1.622327e+06
7.576894e+01 1.528242e+06
7.728772e+01 1.442157e+06
7.883694e+01 1.365430e+06
8.041722e+01 1.288046e+06
8.202918e+01 1.214116e+06
8.367345e+01 1.142012e+06
8.535068e+01 1.072784e+06
8.706153e+01 1.005397e+06
8.880667e+01 9.454659e+05
9.058679e+01 8.895338e+05
9.240260e+01 8.398222e+05
9.425480e+01 7.928876e+05
9.614413e+01 7.485751e+05
9.807133e+01 7.039685e+05
1.000372e+02 6.595964e+05
1.020424e+02 6.181128e+05
1.040878e+02 5.829934e+05
1.061743e+02 5.499100e+05
1.083025e+02 5.189114e+05
1.104734e+02 4.896579e+05
1.126879e+02 4.614960e+05
1.149467e+02 4.343568e+05
1.172508e+02 4.097843e+05
1.196011e+02 3.860736e+05
1.219985e+02 3.630698e+05
1.244439e+02 3.410283e+05
1.269384e+02 3.206290e+05
1.294828e+02 3.013519e+05
1.320783e+02 2.831727e+05
1.347258e+02 2.655520e+05
1.374264e+02 2.493031e+05
1.401811e+02 2.341540e+05
1.429910e+02 2.201718e+05
1.458573e+02 2.066039e+05
1.487810e+02 1.942186e+05
1.517633e+02 1.828333e+05
1.548053e+02 1.719209e+05
1.579084e+02 1.619744e+05
1.610737e+02 1.519165e+05
1.643024e+02 1.421976e+05
1.675958e+02 1.334775e+05
1.709552e+02 1.249956e+05
1.743820e+02 1.170611e+05
1.778775e+02 1.098752e+05
1.814430e+02 1.031290e+05
1.850801e+02 9.679565e+04
1.887900e+02 9.084990e+04
1.925743e+02 8.510428e+04
1.964344e+02 7.962811e+04
2.003719e+02 7.450390e+04
2.043883e+02 6.970905e+04
2.084853e+02 6.504405e+04
2.126644e+02 6.062958e+04
2.169272e+02 5.675822e+04
2.212755e+02 5.316885e+04
2.257109e+02 4.955647e+04
2.302353e+02 4.636880e+04
2.348503e+02 4.342323e+04
2.395579e+02 4.060389e+04
2.443598e+02 3.803537e+04
2.492580e+02 3.566013e+04
2.542544e+02 3.352742e+04
2.593509e+02 3.167113e+04
2.645495e+02 2.994289e+04
