# E(MeV) Phi16 Phi84
2.397360e+00 3.340117e+09 5.140619e+09
2.445415e+00 3.230497e+09 4.988669e+09
2.494433e+00 3.130320e+09 4.848899e+09
2.544434e+00 3.024109e+09 4.712052e+09
2.595437e+00 2.925200e+09 4.576376e+09
2.647462e+00 2.828715e+09 4.446827e+09
2.700530e+00 2.730185e+09 4.319121e+09
2.754662e+00 2.635666e+09 4.190336e+09
2.809879e+00 2.543729e+09 4.064002e+09
2.866203e+00 2.452421e+09 3.943788e+09
2.923656e+00 2.365051e+09 3.828800e+09
2.982260e+00 2.280451e+09 3.716446e+09
3.042039e+00 2.201387e+09 3.605727e+09
3.103017e+00 2.120488e+09 3.496906e+09
3.165216e+00 2.047586e+09 3.394582e+09
3.228663e+00 1.974167e+09 3.297718e+09
3.293381e+00 1.902590e+09 3.198281e+09
3.359397e+00 1.833365e+09 3.102332e+09
3.426736e+00 1.762571e+09 3.012054e+09
3.495424e+00 1.697299e+09 2.923756e+09
3.565490e+00 1.632726e+09 2.833460e+09
3.636960e+00 1.572148e+09 2.749046e+09
3.709862e+00 1.510477e+09 2.665927e+09
3.784226e+00 1.454043e+09 2.588811e+09
3.860081e+00 1.398325e+09 2.513517e+09
3.937456e+00 1.345644e+09 2.440159e+09
4.016382e+00 1.294330e+09 2.368913e+09
4.096890e+00 1.244204e+09 2.299455e+09
4.179012e+00 1.196976e+09 2.229294e+09
4.262780e+00 1.150653e+09 2.159571e+09
4.348227e+00 1.105881e+09 2.095378e+09
4.435387e+00 1.060752e+09 2.031998e+09
4.524294e+00 1.019072e+09 1.968522e+09
4.614983e+00 9.766714e+08 1.905859e+09
4.707490e+00 9.345476e+08 1.844528e+09
4.801851e+00 8.948022e+08 1.785173e+09
4.898104e+00 8.582705e+08 1.726637e+09
4.996286e+00 8.220113e+08 1.672339e+09
5.096436e+00 7.872679e+08 1.620041e+09
5.198594e+00 7.550597e+08 1.568704e+09
5.302799e+00 7.213016e+08 1.517814e+09
5.409093e+00 6.886650e+08 1.470487e+09
5.517518e+00 6.573349e+08 1.423402e+09
5.628116e+00 6.268821e+08 1.377788e+09
5.740932e+00 5.969497e+08 1.333570e+09
5.856008e+00 5.691588e+08 1.289415e+09
5.973391e+00 5.430927e+08 1.247913e+09
6.093127e+00 5.174354e+08 1.208258e+09
6.215264e+00 4.923377e+08 1.169832e+09
6.339848e+00 4.683588e+08 1.130588e+09
6.466930e+00 4.459708e+08 1.093433e+09
6.596559e+00 4.248115e+08 1.057528e+09
6.728787e+00 4.027889e+08 1.021060e+09
6.863665e+00 3.834392e+08 9.857873e+08
7.001246e+00 3.650342e+08 9.520090e+08
7.141586e+00 3.462695e+08 9.176109e+08
7.284738e+00 3.279884e+08 8.880617e+08
7.430760e+00 3.116791e+08 8.571367e+08
7.579709e+00 2.952472e+08 8.282917e+08
7.731644e+00 2.804376e+08 7.983392e+08
7.886624e+00 2.654402e+08 7.717770e+08
8.044711e+00 2.511820e+08 7.444898e+08
8.205967e+00 2.381441e+08 7.183799e+08
8.370455e+00 2.251337e+08 6.933174e+08
8.538240e+00 2.121720e+08 6.678158e+08
8.709388e+00 2.005102e+08 6.442512e+08
8.883967e+00 1.892085e+08 6.199184e+08
9.062045e+00 1.792430e+08 5.967534e+08
9.243693e+00 1.697510e+08 5.755654e+08
9.428983e+00 1.600891e+08 5.552133e+08
9.617986e+00 1.513073e+08 5.347903e+08
9.810778e+00 1.423594e+08 5.158721e+08
1.000743e+01 1.342658e+08 4.969477e+08
1.020803e+01 1.267844e+08 4.787566e+08
1.041265e+01 1.197560e+08 4.615270e+08
1.062137e+01 1.131910e+08 4.438367e+08
1.083428e+01 1.062012e+08 4.264839e+08
1.105145e+01 9.973136e+07 4.102115e+08
1.127297e+01 9.329335e+07 3.947379e+08
1.149894e+01 8.717477e+07 3.791627e+08
1.172944e+01 8.150237e+07 3.645348e+08
1.196455e+01 7.653688e+07 3.513028e+08
