Energy(MeV) Phi_16 Phi_84
1.374775e+01 3.908699e+07 4.710130e+07
1.402332e+01 3.723861e+07 4.503914e+07
1.430442e+01 3.545738e+07 4.301976e+07
1.459115e+01 3.373353e+07 4.108093e+07
1.488362e+01 3.209837e+07 3.924355e+07
1.518197e+01 3.054778e+07 3.749500e+07
1.548629e+01 2.905800e+07 3.577772e+07
1.579671e+01 2.763090e+07 3.411099e+07
1.611335e+01 2.627035e+07 3.251117e+07
1.643634e+01 2.498905e+07 3.096630e+07
1.676581e+01 2.374296e+07 2.950182e+07
1.710188e+01 2.252359e+07 2.809678e+07
1.744468e+01 2.139927e+07 2.677153e+07
1.779436e+01 2.030807e+07 2.548487e+07
1.815105e+01 1.932539e+07 2.428713e+07
1.851488e+01 1.834811e+07 2.308732e+07
1.888601e+01 1.741730e+07 2.194831e+07
1.926458e+01 1.655968e+07 2.081638e+07
1.965074e+01 1.571774e+07 1.975291e+07
2.004464e+01 1.492364e+07 1.876858e+07
2.044643e+01 1.414586e+07 1.780614e+07
2.085628e+01 1.341690e+07 1.687317e+07
2.127434e+01 1.274154e+07 1.598388e+07
2.170078e+01 1.210759e+07 1.516540e+07
2.213577e+01 1.148728e+07 1.436833e+07
2.257948e+01 1.089800e+07 1.361863e+07
2.303209e+01 1.032891e+07 1.291093e+07
2.349376e+01 9.819204e+06 1.219415e+07
2.396469e+01 9.299913e+06 1.153330e+07
2.444506e+01 8.816669e+06 1.092651e+07
2.493506e+01 8.372022e+06 1.033426e+07
2.543488e+01 7.941441e+06 9.781098e+06
2.594472e+01 7.527083e+06 9.242558e+06
2.646478e+01 7.138988e+06 8.732437e+06
2.699527e+01 6.758677e+06 8.259517e+06
2.753639e+01 6.407235e+06 7.807942e+06
2.808835e+01 6.073754e+06 7.397025e+06
2.865138e+01 5.751813e+06 6.992676e+06
2.922570e+01 5.454696e+06 6.609793e+06
2.981152e+01 5.168786e+06 6.249216e+06
3.040909e+01 4.890823e+06 5.913175e+06
3.101864e+01 4.633502e+06 5.595125e+06
3.164041e+01 4.391402e+06 5.286042e+06
3.227464e+01 4.165478e+06 4.997339e+06
3.292158e+01 3.951099e+06 4.718147e+06
3.358149e+01 3.742761e+06 4.468540e+06
3.425463e+01 3.545937e+06 4.227121e+06
3.494126e+01 3.360161e+06 3.988157e+06
3.564165e+01 3.177888e+06 3.773463e+06
3.635609e+01 3.006468e+06 3.572400e+06
3.708484e+01 2.841809e+06 3.380871e+06
3.782820e+01 2.687189e+06 3.196473e+06
3.858647e+01 2.545315e+06 3.019122e+06
3.935993e+01 2.408283e+06 2.858020e+06
4.014890e+01 2.278886e+06 2.704986e+06
4.095368e+01 2.159687e+06 2.556710e+06
4.177459e+01 2.043747e+06 2.413510e+06
4.261196e+01 1.933401e+06 2.281985e+06
4.346611e+01 1.827873e+06 2.158222e+06
4.433739e+01 1.726122e+06 2.039705e+06
4.522613e+01 1.631577e+06 1.929374e+06
4.613268e+01 1.540476e+06 1.824270e+06
4.705741e+01 1.454725e+06 1.723691e+06
4.800067e+01 1.375779e+06 1.631111e+06
4.896284e+01 1.299258e+06 1.541682e+06
4.994430e+01 1.227223e+06 1.456102e+06
5.094543e+01 1.158334e+06 1.377546e+06
5.196662e+01 1.093188e+06 1.302810e+06
5.300829e+01 1.030967e+06 1.231202e+06
5.407084e+01 9.721384e+05 1.164354e+06
5.515468e+01 9.178275e+05 1.099857e+06
5.626026e+01 8.671335e+05 1.040176e+06
5.738799e+01 8.185390e+05 9.838102e+05
5.853833e+01 7.731877e+05 9.297050e+05
5.971172e+01 7.291505e+05 8.781505e+05
6.090864e+01 6.882139e+05 8.298694e+05
6.212955e+01 6.496893e+05 7.841040e+05
6.337493e+01 6.131009e+05 7.401654e+05
6.464528e+01 5.784052e+05 6.992262e+05
6.594109e+01 5.454184e+05 6.605598e+05
6.726287e+01 5.144612e+05 6.238224e+05
6.861115e+01 4.849482e+05 5.886024e+05
6.998645e+01 4.571399e+05 5.556801e+05
7.138933e+01 4.312685e+05 5.244604e+05
7.282032e+01 4.068375e+05 4.950326e+05
7.428000e+01 3.832310e+05 4.671084e+05
7.576894e+01 3.611420e+05 4.408604e+05
7.728772e+01 3.404557e+05 4.161969e+05
7.883694e+01 3.207598e+05 3.930222e+05
8.041722e+01 3.021239e+05 3.708977e+05
8.202918e+01 2.846057e+05 3.498438e+05
8.367345e+01 2.681340e+05 3.299641e+05
8.535068e+01 2.524956e+05 3.113441e+05
8.706153e+01 2.378445e+05 2.938074e+05
8.880667e+01 2.240426e+05 2.772538e+05
9.058679e+01 2.108971e+05 2.614196e+05
9.240260e+01 1.985315e+05 2.465926e+05
9.425480e+01 1.867340e+05 2.326743e+05
9.614413e+01 1.757833e+05 2.190858e+05
