Energy(MeV) Phi_16 Phi_84
2.866203e+00 2.612120e+09 3.036914e+09
2.923656e+00 2.536630e+09 2.949318e+09
2.982260e+00 2.463672e+09 2.864118e+09
3.042039e+00 2.392071e+09 2.781192e+09
3.103017e+00 2.323456e+09 2.701274e+09
3.165216e+00 2.255980e+09 2.622824e+09
3.228663e+00 2.189798e+09 2.547414e+09
3.293381e+00 2.124422e+09 2.472363e+09
3.359397e+00 2.061649e+09 2.399066e+09
3.426736e+00 2.002156e+09 2.328419e+09
3.495424e+00 1.943398e+09 2.260514e+09
3.565490e+00 1.885597e+09 2.193602e+09
3.636960e+00 1.829767e+09 2.128824e+09
3.709862e+00 1.775210e+09 2.064556e+09
3.784226e+00 1.720596e+09 2.003691e+09
3.860081e+00 1.668191e+09 1.943079e+09
3.937456e+00 1.616224e+09 1.884739e+09
4.016382e+00 1.567218e+09 1.827459e+09
4.096890e+00 1.519825e+09 1.771220e+09
4.179012e+00 1.473459e+09 1.716688e+09
4.262780e+00 1.428726e+09 1.663973e+09
4.348227e+00 1.385002e+09 1.613536e+09
4.435387e+00 1.342402e+09 1.564062e+09
4.524294e+00 1.300942e+09 1.515279e+09
4.614983e+00 1.259992e+09 1.468159e+09
4.707490e+00 1.220846e+09 1.422228e+09
4.801851e+00 1.182867e+09 1.377908e+09
4.898104e+00 1.145728e+09 1.334620e+09
4.996286e+00 1.109365e+09 1.292325e+09
5.096436e+00 1.074034e+09 1.251063e+09
5.198594e+00 1.039777e+09 1.210625e+09
5.302799e+00 1.006361e+09 1.171252e+09
5.409093e+00 9.731773e+08 1.133652e+09
5.517518e+00 9.409192e+08 1.096056e+09
5.628116e+00 9.104455e+08 1.060865e+09
5.740932e+00 8.804883e+08 1.026574e+09
5.856008e+00 8.516162e+08 9.932711e+08
5.973391e+00 8.228556e+08 9.598636e+08
6.093127e+00 7.953715e+08 9.271547e+08
6.215264e+00 7.689183e+08 8.967964e+08
6.339848e+00 7.428511e+08 8.664359e+08
6.466930e+00 7.174439e+08 8.365941e+08
6.596559e+00 6.927291e+08 8.080843e+08
6.728787e+00 6.690991e+08 7.801325e+08
6.863665e+00 6.460495e+08 7.526355e+08
7.001246e+00 6.234903e+08 7.258120e+08
7.141586e+00 6.011837e+08 7.000473e+08
7.284738e+00 5.800147e+08 6.755817e+08
7.430760e+00 5.597997e+08 6.510785e+08
7.579709e+00 5.397787e+08 6.280765e+08
7.731644e+00 5.204031e+08 6.055979e+08
7.886624e+00 5.016612e+08 5.833901e+08
8.044711e+00 4.836490e+08 5.625739e+08
8.205967e+00 4.659102e+08 5.421998e+08
8.370455e+00 4.485343e+08 5.220283e+08
8.538240e+00 4.317866e+08 5.027886e+08
8.709388e+00 4.148768e+08 4.847162e+08
8.883967e+00 3.988299e+08 4.662043e+08
9.062045e+00 3.834863e+08 4.486812e+08
9.243693e+00 3.686206e+08 4.313913e+08
9.428983e+00 3.545112e+08 4.150099e+08
9.617986e+00 3.405921e+08 3.991744e+08
9.810778e+00 3.267181e+08 3.834795e+08
1.000743e+01 3.137693e+08 3.683023e+08
1.020803e+01 3.009156e+08 3.536036e+08
1.041265e+01 2.888498e+08 3.396536e+08
1.062137e+01 2.771361e+08 3.264468e+08
1.083428e+01 2.656024e+08 3.134014e+08
1.105145e+01 2.547048e+08 3.010156e+08
1.127297e+01 2.446471e+08 2.883890e+08
1.149894e+01 2.342040e+08 2.767301e+08
1.172944e+01 2.237973e+08 2.654481e+08
1.196455e+01 2.141935e+08 2.546444e+08
1.220438e+01 2.052800e+08 2.442267e+08
1.244902e+01 1.964189e+08 2.341527e+08
1.269856e+01 1.876502e+08 2.242998e+08
1.295310e+01 1.793294e+08 2.146483e+08
1.321274e+01 1.713047e+08 2.055478e+08
1.347759e+01 1.637394e+08 1.968005e+08
1.374775e+01 1.563480e+08 1.884052e+08
1.402332e+01 1.489544e+08 1.801566e+08
1.430442e+01 1.418295e+08 1.720791e+08
1.459115e+01 1.349341e+08 1.643237e+08
1.488362e+01 1.283935e+08 1.569742e+08
