# Energy(MeV) Fluence_Spherical_Median(cm^-2*MeV^-1)
3.619769e+00 1.800831e+09
3.680113e+00 1.756807e+09
3.741463e+00 1.713813e+09
3.803837e+00 1.671632e+09
3.867250e+00 1.630610e+09
3.931720e+00 1.590844e+09
3.997265e+00 1.551919e+09
4.063902e+00 1.513563e+09
4.131651e+00 1.475744e+09
4.200529e+00 1.439261e+09
4.270555e+00 1.403106e+09
4.341748e+00 1.368303e+09
4.414129e+00 1.334373e+09
4.487716e+00 1.301116e+09
4.562530e+00 1.268418e+09
4.638591e+00 1.236472e+09
4.715920e+00 1.205260e+09
4.794538e+00 1.174544e+09
4.874467e+00 1.144899e+09
4.955728e+00 1.115625e+09
5.038344e+00 1.086907e+09
5.122337e+00 1.058916e+09
5.207731e+00 1.031964e+09
5.294548e+00 1.005188e+09
5.382812e+00 9.790793e+08
5.472548e+00 9.536969e+08
5.563780e+00 9.290645e+08
5.656532e+00 9.048919e+08
5.750831e+00 8.811646e+08
5.846702e+00 8.579166e+08
5.944171e+00 8.353917e+08
6.043265e+00 8.133042e+08
6.144012e+00 7.917662e+08
6.246437e+00 7.705445e+08
6.350570e+00 7.498397e+08
6.456439e+00 7.297386e+08
6.564073e+00 7.105248e+08
6.673502e+00 6.915005e+08
6.784754e+00 6.729622e+08
6.897862e+00 6.547178e+08
7.012854e+00 6.368724e+08
7.129764e+00 6.194917e+08
7.248623e+00 6.025484e+08
7.369464e+00 5.859366e+08
7.492318e+00 5.698004e+08
7.617221e+00 5.539914e+08
7.744207e+00 5.386686e+08
7.873309e+00 5.235968e+08
8.004563e+00 5.087540e+08
8.138006e+00 4.944545e+08
8.273673e+00 4.806677e+08
8.411601e+00 4.672925e+08
8.551830e+00 4.538960e+08
8.694395e+00 4.411526e+08
8.839338e+00 4.285485e+08
8.986697e+00 4.160367e+08
9.136512e+00 4.042881e+08
9.288825e+00 3.926013e+08
9.443677e+00 3.811648e+08
9.601111e+00 3.700652e+08
9.761169e+00 3.592915e+08
9.923896e+00 3.487098e+08
1.008933e+01 3.382952e+08
1.025753e+01 3.282192e+08
1.042853e+01 3.182991e+08
1.060239e+01 3.087707e+08
1.077914e+01 2.994358e+08
1.095883e+01 2.902412e+08
1.114153e+01 2.812293e+08
1.132726e+01 2.726731e+08
1.151610e+01 2.642395e+08
1.170808e+01 2.561070e+08
1.190326e+01 2.481905e+08
1.210170e+01 2.403917e+08
1.230345e+01 2.327901e+08
1.250855e+01 2.252320e+08
1.271708e+01 2.180114e+08
1.292909e+01 2.107676e+08
1.314462e+01 2.039023e+08
1.336375e+01 1.972203e+08
1.358654e+01 1.907116e+08
1.381304e+01 1.844230e+08
1.404331e+01 1.781548e+08
1.427743e+01 1.723089e+08
1.451544e+01 1.664692e+08
1.475743e+01 1.607841e+08
1.500344e+01 1.554096e+08
1.525356e+01 1.501243e+08
1.550785e+01 1.448766e+08
1.576638e+01 1.398344e+08
1.602922e+01 1.350477e+08
1.629644e+01 1.304021e+08
1.656811e+01 1.257775e+08
1.684432e+01 1.213171e+08
1.712513e+01 1.169815e+08
1.741061e+01 1.127441e+08
1.770086e+01 1.086852e+08
1.799595e+01 1.047899e+08
1.829596e+01 1.008693e+08
1.860097e+01 9.715919e+07
1.891106e+01 9.355542e+07
1.922632e+01 9.004417e+07
1.954684e+01 8.660172e+07
1.987270e+01 8.334727e+07
2.020400e+01 8.014784e+07
2.054081e+01 7.711011e+07
2.088324e+01 7.415385e+07
2.123138e+01 7.123501e+07
