# Energy(MeV) Phi16_Spherical Phi84_Spherical
1.151610e+01 2.372399e+08 2.897840e+08
1.170808e+01 2.299628e+08 2.807737e+08
1.190326e+01 2.228586e+08 2.719837e+08
1.210170e+01 2.160903e+08 2.633557e+08
1.230345e+01 2.094931e+08 2.551132e+08
1.250855e+01 2.029646e+08 2.473443e+08
1.271708e+01 1.966616e+08 2.395973e+08
1.292909e+01 1.904913e+08 2.319633e+08
1.314462e+01 1.843019e+08 2.243385e+08
1.336375e+01 1.781147e+08 2.172197e+08
1.358654e+01 1.720417e+08 2.099369e+08
1.381304e+01 1.665963e+08 2.031389e+08
1.404331e+01 1.611786e+08 1.963956e+08
1.427743e+01 1.557761e+08 1.898819e+08
1.451544e+01 1.507720e+08 1.834729e+08
1.475743e+01 1.459208e+08 1.772983e+08
1.500344e+01 1.408890e+08 1.713189e+08
1.525356e+01 1.359651e+08 1.656997e+08
1.550785e+01 1.314060e+08 1.600192e+08
1.576638e+01 1.267833e+08 1.544612e+08
1.602922e+01 1.223809e+08 1.492395e+08
1.629644e+01 1.181179e+08 1.441619e+08
1.656811e+01 1.138730e+08 1.392614e+08
1.684432e+01 1.098874e+08 1.343570e+08
1.712513e+01 1.059749e+08 1.295850e+08
1.741061e+01 1.022381e+08 1.249479e+08
1.770086e+01 9.856289e+07 1.204374e+08
1.799595e+01 9.484409e+07 1.160771e+08
1.829596e+01 9.135372e+07 1.118426e+08
1.860097e+01 8.787561e+07 1.078907e+08
1.891106e+01 8.441541e+07 1.039866e+08
1.922632e+01 8.127979e+07 1.001896e+08
1.954684e+01 7.815777e+07 9.642135e+07
1.987270e+01 7.520449e+07 9.277550e+07
2.020400e+01 7.238909e+07 8.931307e+07
2.054081e+01 6.965008e+07 8.596789e+07
2.088324e+01 6.677411e+07 8.264410e+07
2.123138e+01 6.407561e+07 7.941783e+07
2.158533e+01 6.154765e+07 7.632752e+07
2.194517e+01 5.906616e+07 7.336830e+07
2.231102e+01 5.658655e+07 7.041814e+07
2.268296e+01 5.428718e+07 6.761700e+07
2.306110e+01 5.211594e+07 6.499441e+07
2.344555e+01 5.004410e+07 6.246195e+07
2.383641e+01 4.796465e+07 5.997493e+07
2.423378e+01 4.594925e+07 5.754908e+07
2.463777e+01 4.409521e+07 5.519452e+07
2.504851e+01 4.227253e+07 5.292651e+07
2.546608e+01 4.049395e+07 5.076094e+07
2.589062e+01 3.867893e+07 4.862076e+07
2.632224e+01 3.700513e+07 4.653423e+07
2.676105e+01 3.542737e+07 4.456280e+07
2.720718e+01 3.390307e+07 4.265968e+07
2.766075e+01 3.242421e+07 4.083695e+07
2.812188e+01 3.089429e+07 3.906645e+07
2.859069e+01 2.940851e+07 3.737315e+07
2.906732e+01 2.807031e+07 3.574110e+07
2.955189e+01 2.670450e+07 3.416109e+07
3.004455e+01 2.545236e+07 3.266124e+07
3.054541e+01 2.421521e+07 3.119338e+07
3.105463e+01 2.302487e+07 2.978498e+07
3.157234e+01 2.190787e+07 2.844244e+07
3.209867e+01 2.081842e+07 2.713324e+07
3.263378e+01 1.979996e+07 2.588176e+07
3.317781e+01 1.878831e+07 2.469660e+07
3.373092e+01 1.785670e+07 2.351879e+07
3.429324e+01 1.696472e+07 2.241140e+07
3.486493e+01 1.608179e+07 2.134805e+07
3.544616e+01 1.524200e+07 2.033496e+07
3.603708e+01 1.443678e+07 1.934007e+07
3.663784e+01 1.368406e+07 1.840378e+07
3.724862e+01 1.296415e+07 1.752057e+07
3.786959e+01 1.227086e+07 1.664035e+07
3.850090e+01 1.161565e+07 1.581499e+07
3.914275e+01 1.101268e+07 1.502863e+07
3.979529e+01 1.043690e+07 1.427540e+07
4.045871e+01 9.888739e+06 1.352903e+07
4.113318e+01 9.377146e+06 1.284336e+07
4.181891e+01 8.875457e+06 1.216435e+07
4.251606e+01 8.411459e+06 1.153707e+07
4.322484e+01 7.975612e+06 1.092240e+07
4.394543e+01 7.556538e+06 1.036870e+07
4.467804e+01 7.157260e+06 9.833122e+06
4.542286e+01 6.778553e+06 9.306576e+06
4.618009e+01 6.422963e+06 8.805034e+06
4.694995e+01 6.088640e+06 8.336226e+06
4.773264e+01 5.766531e+06 7.887367e+06
4.852839e+01 5.459114e+06 7.463993e+06
4.933739e+01 5.168394e+06 7.052265e+06
5.015989e+01 4.892512e+06 6.667813e+06
5.099609e+01 4.636187e+06 6.304585e+06
5.184624e+01 4.391839e+06 5.953417e+06
5.271056e+01 4.161320e+06 5.624095e+06
