# Energy(MeV) Fluence_16th Fluence_84th
3.191461e+01 1.097248e+06 1.940738e+06
3.298939e+01 1.004588e+06 1.777962e+06
3.410036e+01 9.182583e+05 1.624332e+06
3.524875e+01 8.354036e+05 1.484989e+06
3.643581e+01 7.591055e+05 1.358960e+06
3.766285e+01 6.936996e+05 1.241071e+06
3.893121e+01 6.326975e+05 1.135787e+06
4.024228e+01 5.742474e+05 1.038383e+06
4.159751e+01 5.229025e+05 9.482088e+05
4.299837e+01 4.777926e+05 8.665439e+05
4.444641e+01 4.361415e+05 7.959142e+05
4.594322e+01 3.980809e+05 7.295232e+05
4.749044e+01 3.601901e+05 6.674662e+05
4.908976e+01 3.262121e+05 6.098469e+05
5.074294e+01 2.972911e+05 5.571198e+05
5.245179e+01 2.704930e+05 5.090179e+05
5.421819e+01 2.464014e+05 4.645815e+05
5.604408e+01 2.244570e+05 4.243712e+05
5.793146e+01 2.047458e+05 3.884958e+05
5.988240e+01 1.864293e+05 3.546419e+05
6.189904e+01 1.706100e+05 3.236960e+05
6.398359e+01 1.550971e+05 2.953562e+05
6.613834e+01 1.415198e+05 2.696345e+05
6.836566e+01 1.291132e+05 2.464291e+05
7.066799e+01 1.179639e+05 2.259645e+05
7.304785e+01 1.077203e+05 2.063119e+05
7.550786e+01 9.813158e+04 1.882805e+05
7.805072e+01 8.938444e+04 1.718010e+05
8.067920e+01 8.139993e+04 1.568004e+05
8.339621e+01 7.421670e+04 1.430620e+05
8.620472e+01 6.771230e+04 1.301925e+05
8.910781e+01 6.161882e+04 1.190280e+05
9.210866e+01 5.609370e+04 1.086473e+05
9.521057e+01 5.085908e+04 9.909288e+04
9.841695e+01 4.628571e+04 9.042947e+04
1.017313e+02 4.211794e+04 8.245748e+04
1.051573e+02 3.833431e+04 7.510546e+04
1.086986e+02 3.489861e+04 6.843856e+04
1.123592e+02 3.172712e+04 6.237064e+04
1.161431e+02 2.874040e+04 5.672420e+04
1.200544e+02 2.614628e+04 5.159126e+04
1.240975e+02 2.377552e+04 4.715194e+04
1.282767e+02 2.163587e+04 4.300939e+04
1.325966e+02 1.957056e+04 3.918044e+04
1.370620e+02 1.774118e+04 3.560466e+04
1.416778e+02 1.599219e+04 3.246682e+04
1.464490e+02 1.455547e+04 2.955874e+04
1.513809e+02 1.301733e+04 2.692806e+04
1.564789e+02 1.173162e+04 2.454581e+04
1.617486e+02 1.057276e+04 2.239417e+04
1.671958e+02 9.625399e+03 2.041074e+04
1.728264e+02 8.723356e+03 1.859542e+04
1.786466e+02 7.851336e+03 1.700083e+04
1.846628e+02 7.068825e+03 1.549545e+04
1.908817e+02 6.319453e+03 1.411733e+04
1.973099e+02 5.685083e+03 1.286082e+04
2.039547e+02 5.103187e+03 1.168886e+04
2.108232e+02 4.553353e+03 1.060624e+04
2.179230e+02 4.084297e+03 9.614850e+03
2.252619e+02 3.654545e+03 8.725877e+03
2.328480e+02 3.288765e+03 7.934374e+03
2.406895e+02 2.979878e+03 7.217129e+03
2.487952e+02 2.658986e+03 6.562599e+03
2.571738e+02 2.405354e+03 5.938938e+03
2.658345e+02 2.143947e+03 5.391287e+03
2.747869e+02 1.907581e+03 4.886305e+03
2.840408e+02 1.706510e+03 4.438072e+03
2.936064e+02 1.542694e+03 4.019068e+03
3.034941e+02 1.381464e+03 3.642422e+03
3.137148e+02 1.235950e+03 3.295136e+03
3.242796e+02 1.089703e+03 2.995749e+03
3.352003e+02 9.776421e+02 2.734219e+03
3.464887e+02 8.796501e+02 2.489347e+03
3.581573e+02 7.887477e+02 2.252560e+03
3.702189e+02 6.896905e+02 2.032518e+03
3.826866e+02 6.122214e+02 1.835023e+03
3.955742e+02 5.483303e+02 1.661861e+03
4.088958e+02 4.841780e+02 1.507843e+03
4.226661e+02 4.251079e+02 1.366152e+03
4.369001e+02 3.751975e+02 1.236801e+03
4.516134e+02 3.300224e+02 1.122039e+03
4.668222e+02 2.909807e+02 1.013939e+03
4.825433e+02 2.547675e+02 9.173330e+02
4.987937e+02 2.243379e+02 8.296056e+02
5.155914e+02 1.945933e+02 7.499637e+02
5.329548e+02 1.682372e+02 6.776834e+02
5.509030e+02 1.460642e+02 6.121041e+02
5.694556e+02 1.269929e+02 5.528314e+02
5.886329e+02 1.129656e+02 4.975482e+02
6.084561e+02 1.001096e+02 4.473927e+02
6.289469e+02 8.672695e+01 4.028391e+02
6.501277e+02 7.428530e+01 3.626728e+02
6.720219e+02 6.463657e+01 3.267041e+02
6.946533e+02 5.669060e+01 2.942029e+02
7.180470e+02 4.949691e+01 2.647788e+02
7.422284e+02 4.343256e+01 2.377484e+02
7.672242e+02 3.736562e+01 2.120390e+02
7.930617e+02 3.198252e+01 1.900852e+02
8.197694e+02 2.694162e+01 1.709956e+02
8.473765e+02 2.269914e+01 1.535794e+02
8.759133e+02 1.920562e+01 1.376896e+02
9.054112e+02 1.680099e+01 1.235885e+02
9.359024e+02 1.446998e+01 1.111322e+02
9.674205e+02 1.236060e+01 9.950039e+01
1.000000e+03 1.059547e+01 8.901153e+01
