# Energy(MeV) Phi16_Planar Phi84_Planar
5.004939e+00 1.195053e+09 1.468122e+09
5.098176e+00 1.154383e+09 1.417402e+09
5.193150e+00 1.115816e+09 1.369053e+09
5.289893e+00 1.080752e+09 1.322932e+09
5.388438e+00 1.045930e+09 1.279482e+09
5.488820e+00 1.010843e+09 1.238074e+09
5.591071e+00 9.770478e+08 1.196320e+09
5.695227e+00 9.473792e+08 1.155674e+09
5.801323e+00 9.174821e+08 1.116027e+09
5.909396e+00 8.873438e+08 1.078730e+09
6.019482e+00 8.567476e+08 1.043900e+09
6.131619e+00 8.276784e+08 1.010662e+09
6.245845e+00 8.001595e+08 9.771591e+08
6.362198e+00 7.746351e+08 9.440176e+08
6.480720e+00 7.497548e+08 9.128071e+08
6.601449e+00 7.240384e+08 8.830518e+08
6.724427e+00 7.003333e+08 8.539750e+08
6.849697e+00 6.772647e+08 8.256961e+08
6.977300e+00 6.544454e+08 7.981020e+08
7.107280e+00 6.321689e+08 7.715013e+08
7.239681e+00 6.107133e+08 7.464075e+08
7.374549e+00 5.904356e+08 7.219163e+08
7.511929e+00 5.699687e+08 6.973677e+08
7.651869e+00 5.501078e+08 6.741650e+08
7.794416e+00 5.319822e+08 6.524590e+08
7.939618e+00 5.141344e+08 6.314107e+08
8.087525e+00 4.965731e+08 6.104593e+08
8.238187e+00 4.798605e+08 5.902963e+08
8.391656e+00 4.628958e+08 5.709948e+08
8.547985e+00 4.464768e+08 5.523931e+08
8.707225e+00 4.313833e+08 5.349138e+08
8.869432e+00 4.163654e+08 5.173719e+08
9.034660e+00 4.012891e+08 5.004224e+08
9.202967e+00 3.876980e+08 4.841083e+08
9.374409e+00 3.737032e+08 4.680983e+08
9.549045e+00 3.604139e+08 4.528149e+08
9.726934e+00 3.484436e+08 4.381885e+08
9.908137e+00 3.361413e+08 4.242291e+08
1.009272e+01 3.242346e+08 4.108870e+08
1.028073e+01 3.133218e+08 3.977593e+08
1.047225e+01 3.023378e+08 3.854442e+08
1.066734e+01 2.915290e+08 3.729174e+08
1.086606e+01 2.817560e+08 3.613157e+08
1.106848e+01 2.720386e+08 3.499862e+08
1.127468e+01 2.625135e+08 3.386223e+08
1.148472e+01 2.535602e+08 3.276121e+08
1.169866e+01 2.447229e+08 3.174122e+08
1.191660e+01 2.366617e+08 3.076044e+08
1.213859e+01 2.287654e+08 2.981281e+08
1.236472e+01 2.206471e+08 2.886956e+08
1.259506e+01 2.128650e+08 2.794357e+08
1.282970e+01 2.055997e+08 2.705318e+08
1.306870e+01 1.981389e+08 2.619809e+08
1.331216e+01 1.909265e+08 2.536895e+08
1.356015e+01 1.841718e+08 2.458333e+08
1.381276e+01 1.778102e+08 2.380221e+08
1.407008e+01 1.717169e+08 2.305303e+08
1.433219e+01 1.657765e+08 2.234087e+08
1.459919e+01 1.598086e+08 2.163684e+08
1.487115e+01 1.540903e+08 2.096606e+08
1.514819e+01 1.485026e+08 2.031534e+08
1.543038e+01 1.431611e+08 1.967893e+08
1.571784e+01 1.380851e+08 1.906939e+08
1.601064e+01 1.332829e+08 1.846117e+08
1.630891e+01 1.285784e+08 1.787202e+08
1.661273e+01 1.240579e+08 1.733244e+08
1.692220e+01 1.195131e+08 1.679337e+08
1.723745e+01 1.152092e+08 1.626729e+08
1.755856e+01 1.109832e+08 1.574382e+08
1.788566e+01 1.070928e+08 1.525560e+08
1.821885e+01 1.032629e+08 1.475942e+08
1.855825e+01 9.968374e+07 1.429892e+08
1.890397e+01 9.625435e+07 1.386012e+08
1.925614e+01 9.280734e+07 1.342418e+08
1.961486e+01 8.947354e+07 1.300549e+08
1.998026e+01 8.629902e+07 1.259733e+08
2.035248e+01 8.327303e+07 1.220126e+08
2.073162e+01 8.030944e+07 1.184054e+08
2.111783e+01 7.736931e+07 1.148222e+08
2.151123e+01 7.473410e+07 1.112290e+08
2.191197e+01 7.217012e+07 1.078503e+08
2.232016e+01 6.957204e+07 1.044635e+08
2.273597e+01 6.728449e+07 1.011623e+08
2.315951e+01 6.492959e+07 9.806241e+07
2.359095e+01 6.265997e+07 9.507154e+07
2.403043e+01 6.046604e+07 9.199339e+07
2.447809e+01 5.832036e+07 8.914656e+07
2.493409e+01 5.621432e+07 8.645907e+07
2.539859e+01 5.424403e+07 8.378197e+07
2.587174e+01 5.257468e+07 8.112360e+07
2.635371e+01 5.068439e+07 7.852107e+07
2.684465e+01 4.886373e+07 7.605479e+07
2.734474e+01 4.709034e+07 7.360000e+07
2.785414e+01 4.540744e+07 7.124722e+07
2.837304e+01 4.380970e+07 6.896965e+07
2.890160e+01 4.220884e+07 6.674789e+07
2.944000e+01 4.072072e+07 6.463061e+07
2.998844e+01 3.926047e+07 6.258268e+07
3.054710e+01 3.784821e+07 6.058518e+07
3.111616e+01 3.646568e+07 5.868323e+07
3.169582e+01 3.518152e+07 5.679800e+07
3.228628e+01 3.397410e+07 5.505738e+07
3.288774e+01 3.280813e+07 5.335848e+07
3.350041e+01 3.168218e+07 5.169609e+07
3.412449e+01 3.057368e+07 5.008730e+07
3.476019e+01 2.950230e+07 4.857447e+07
3.540774e+01 2.846485e+07 4.712006e+07
3.606735e+01 2.745204e+07 4.573859e+07
3.673925e+01 2.647527e+07 4.429995e+07
3.742366e+01 2.553325e+07 4.288349e+07
3.812083e+01 2.462475e+07 4.152338e+07
3.883098e+01 2.374858e+07 4.022247e+07
3.955436e+01 2.290358e+07 3.894797e+07
4.029122e+01 2.208754e+07 3.770377e+07
4.104181e+01 2.129755e+07 3.651052e+07
4.180637e+01 2.053580e+07 3.540868e+07
4.258518e+01 1.980386e+07 3.429385e+07
4.337850e+01 1.911041e+07 3.319956e+07
4.418660e+01 1.842882e+07 3.223963e+07
4.500975e+01 1.777311e+07 3.123168e+07
4.584824e+01 1.714054e+07 3.028643e+07
4.670234e+01 1.653045e+07 2.936230e+07
4.757236e+01 1.594912e+07 2.841611e+07
4.845859e+01 1.538917e+07 2.750185e+07
4.936132e+01 1.484889e+07 2.665738e+07
5.028087e+01 1.432036e+07 2.580957e+07
5.121755e+01 1.381079e+07 2.500031e+07
5.217169e+01 1.331813e+07 2.422813e+07
5.314359e+01 1.284352e+07 2.351050e+07
5.413360e+01 1.237428e+07 2.281258e+07
5.514206e+01 1.193490e+07 2.211292e+07
5.616930e+01 1.152238e+07 2.142858e+07
5.721568e+01 1.112411e+07 2.076147e+07
5.828155e+01 1.072482e+07 2.011513e+07
5.936727e+01 1.033725e+07 1.948892e+07
6.047322e+01 9.963682e+06 1.888220e+07
6.159978e+01 9.603616e+06 1.831762e+07
6.274732e+01 9.256561e+06 1.776183e+07
6.391624e+01 8.922047e+06 1.719961e+07
6.510694e+01 8.602285e+06 1.665081e+07
6.631981e+01 8.295706e+06 1.615126e+07
6.755528e+01 8.000053e+06 1.567031e+07
6.881377e+01 7.714937e+06 1.519737e+07
7.009570e+01 7.439982e+06 1.472442e+07
7.140151e+01 7.174825e+06 1.427675e+07
7.273165e+01 6.919119e+06 1.382563e+07
7.408657e+01 6.672525e+06 1.338717e+07
7.546673e+01 6.434720e+06 1.296898e+07
7.687260e+01 6.202993e+06 1.256385e+07
7.830465e+01 5.981229e+06 1.217138e+07
7.976339e+01 5.767393e+06 1.180016e+07
8.124930e+01 5.561202e+06 1.142916e+07
8.276289e+01 5.362383e+06 1.106795e+07
8.430468e+01 5.170672e+06 1.072838e+07
8.587519e+01 4.985815e+06 1.039076e+07
8.747496e+01 4.807567e+06 1.006931e+07
8.910453e+01 4.635692e+06 9.764360e+06
9.076446e+01 4.469961e+06 9.472524e+06
9.245531e+01 4.310924e+06 9.185015e+06
9.417766e+01 4.157366e+06 8.911271e+06
9.593209e+01 4.008567e+06 8.644534e+06
9.771921e+01 3.865095e+06 8.378429e+06
9.953962e+01 3.726757e+06 8.129504e+06
1.013939e+02 3.593372e+06 7.877345e+06
1.032828e+02 3.464760e+06 7.636095e+06
1.052069e+02 3.342397e+06 7.400036e+06
1.071668e+02 3.224790e+06 7.172429e+06
1.091632e+02 3.110926e+06 6.954879e+06
1.111968e+02 2.999876e+06 6.739931e+06
1.132683e+02 2.891850e+06 6.530937e+06
1.153783e+02 2.787707e+06 6.328425e+06
1.175277e+02 2.687314e+06 6.132413e+06
1.197171e+02 2.590536e+06 5.942995e+06
1.219473e+02 2.497243e+06 5.759432e+06
1.242191e+02 2.407310e+06 5.581230e+06
1.265332e+02 2.320616e+06 5.409322e+06
1.288904e+02 2.237043e+06 5.245958e+06
1.312915e+02 2.156480e+06 5.088571e+06
1.337373e+02 2.078818e+06 4.934864e+06
1.362287e+02 2.003953e+06 4.778307e+06
1.387665e+02 1.931784e+06 4.628760e+06
1.413516e+02 1.862213e+06 4.484718e+06
1.439848e+02 1.795149e+06 4.345317e+06
1.466671e+02 1.730575e+06 4.211462e+06
1.493993e+02 1.668744e+06 4.081734e+06
1.521825e+02 1.610191e+06 3.956005e+06
1.550175e+02 1.553694e+06 3.834153e+06
1.579053e+02 1.499179e+06 3.716058e+06
1.608469e+02 1.446577e+06 3.601603e+06
1.638434e+02 1.395821e+06 3.490678e+06
1.668956e+02 1.345828e+06 3.383172e+06
1.700047e+02 1.297436e+06 3.285514e+06
1.731717e+02 1.250899e+06 3.188451e+06
1.763977e+02 1.205951e+06 3.091972e+06
1.796838e+02 1.162578e+06 2.997081e+06
1.830312e+02 1.120765e+06 2.905102e+06
1.864409e+02 1.080457e+06 2.815947e+06
1.899141e+02 1.041666e+06 2.734608e+06
1.934520e+02 1.004977e+06 2.655193e+06
1.970558e+02 9.688205e+05 2.573221e+06
2.007267e+02 9.339652e+05 2.493482e+06
2.044661e+02 9.003637e+05 2.416215e+06
2.082751e+02 8.679711e+05 2.341343e+06
2.121550e+02 8.367437e+05 2.269096e+06
2.161073e+02 8.066398e+05 2.199209e+06
2.201331e+02 7.776189e+05 2.131140e+06
2.242340e+02 7.496420e+05 2.064914e+06
