# Energy(MeV) Fluence_Omni
7.140151e+01 3.316117e+06
7.273165e+01 3.206984e+06
7.408657e+01 3.103253e+06
7.546673e+01 3.000780e+06
7.687260e+01 2.899946e+06
7.830465e+01 2.802067e+06
7.976339e+01 2.707491e+06
8.124930e+01 2.616381e+06
8.276289e+01 2.529396e+06
8.430468e+01 2.444756e+06
8.587519e+01 2.363327e+06
8.747496e+01 2.284609e+06
8.910453e+01 2.209254e+06
9.076446e+01 2.136515e+06
9.245531e+01 2.066171e+06
9.417766e+01 1.997594e+06
9.593209e+01 1.931222e+06
9.771921e+01 1.866808e+06
9.953962e+01 1.804225e+06
1.013939e+02 1.743736e+06
1.032828e+02 1.684775e+06
1.052069e+02 1.627774e+06
1.071668e+02 1.573372e+06
1.091632e+02 1.525614e+06
1.111968e+02 1.474935e+06
1.132683e+02 1.425939e+06
1.153783e+02 1.378571e+06
1.175277e+02 1.332777e+06
1.197171e+02 1.288576e+06
1.219473e+02 1.246302e+06
1.242191e+02 1.205390e+06
1.265332e+02 1.165822e+06
1.288904e+02 1.127152e+06
1.312915e+02 1.090750e+06
1.337373e+02 1.055271e+06
1.362287e+02 1.020119e+06
1.387665e+02 9.864768e+05
1.413516e+02 9.539262e+05
1.439848e+02 9.224502e+05
1.466671e+02 8.920133e+05
1.493993e+02 8.625813e+05
1.521825e+02 8.341210e+05
1.550175e+02 8.063897e+05
1.579053e+02 7.792402e+05
1.608469e+02 7.530053e+05
1.638434e+02 7.280693e+05
1.668956e+02 7.042049e+05
1.700047e+02 6.807780e+05
1.731717e+02 6.579614e+05
1.763977e+02 6.365227e+05
1.796838e+02 6.156453e+05
1.830312e+02 5.949043e+05
1.864409e+02 5.748578e+05
1.899141e+02 5.554828e+05
1.934520e+02 5.367566e+05
1.970558e+02 5.188126e+05
2.007267e+02 5.016173e+05
2.044661e+02 4.851429e+05
2.082751e+02 4.692096e+05
2.121550e+02 4.534911e+05
2.161073e+02 4.382755e+05
2.201331e+02 4.235703e+05
2.242340e+02 4.093583e+05
2.284112e+02 3.956229e+05
2.326663e+02 3.823483e+05
2.370006e+02 3.695929e+05
2.414157e+02 3.573120e+05
2.459130e+02 3.456551e+05
2.504942e+02 3.344187e+05
2.551606e+02 3.235477e+05
2.599140e+02 3.130299e+05
2.647559e+02 3.027603e+05
2.696881e+02 2.929580e+05
2.747121e+02 2.834897e+05
2.798297e+02 2.741843e+05
2.850426e+02 2.650473e+05
2.903527e+02 2.562150e+05
2.957617e+02 2.476772e+05
3.012714e+02 2.394241e+05
3.068838e+02 2.314463e+05
3.126007e+02 2.237344e+05
3.184242e+02 2.162797e+05
3.243561e+02 2.090758e+05
3.303985e+02 2.021704e+05
3.365535e+02 1.954934e+05
3.428231e+02 1.890370e+05
3.492096e+02 1.827941e+05
3.557150e+02 1.767105e+05
3.623416e+02 1.707998e+05
3.690917e+02 1.650537e+05
3.759675e+02 1.595304e+05
3.829714e+02 1.542374e+05
3.901058e+02 1.491152e+05
3.973730e+02 1.441632e+05
4.047757e+02 1.393755e+05
4.123163e+02 1.347468e+05
4.199973e+02 1.302718e+05
4.278214e+02 1.259454e+05
4.357913e+02 1.217578e+05
4.439097e+02 1.177198e+05
4.521792e+02 1.138229e+05
4.606029e+02 1.100550e+05
4.691835e+02 1.063922e+05
4.779239e+02 1.028476e+05
4.868271e+02 9.942120e+04
4.958962e+02 9.610912e+04
5.051342e+02 9.290749e+04
5.145444e+02 8.981265e+04
5.241298e+02 8.682102e+04
5.338938e+02 8.392916e+04
5.438397e+02 8.113374e+04
5.539709e+02 7.843155e+04
5.642908e+02 7.581947e+04
5.748030e+02 7.329449e+04
5.855110e+02 7.085372e+04
5.964185e+02 6.850399e+04
6.075292e+02 6.625168e+04
6.188468e+02 6.407344e+04
6.303753e+02 6.196686e+04
6.421186e+02 5.992956e+04
6.540806e+02 5.793526e+04
6.662655e+02 5.599989e+04
6.786773e+02 5.412902e+04
6.913204e+02 5.232049e+04
7.041990e+02 5.057222e+04
7.173175e+02 4.888222e+04
7.306804e+02 4.724853e+04
7.442922e+02 4.566930e+04
7.581576e+02 4.414270e+04
7.722814e+02 4.266698e+04
7.866682e+02 4.118021e+04
8.013230e+02 3.976116e+04
8.162509e+02 3.843135e+04
8.314568e+02 3.720332e+04
8.469460e+02 3.601392e+04
8.627237e+02 3.481755e+04
8.787954e+02 3.366700e+04
8.951665e+02 3.255007e+04
9.118425e+02 3.146814e+04
9.288292e+02 3.042209e+04
9.461324e+02 2.941075e+04
9.637579e+02 2.843295e+04
9.817117e+02 2.748759e+04
1.000000e+03 2.657360e+04
