# Energy(MeV) Fluence_Planare_Median(p/cm2)
4.801991e+01 5.865754e+06
4.864974e+01 5.627720e+06
4.928782e+01 5.397156e+06
4.993428e+01 5.178461e+06
5.058921e+01 4.963033e+06
5.125274e+01 4.757992e+06
5.192496e+01 4.560761e+06
5.260600e+01 4.370809e+06
5.329598e+01 4.187815e+06
5.399501e+01 4.012502e+06
5.470320e+01 3.841193e+06
5.542068e+01 3.676415e+06
5.614757e+01 3.517564e+06
5.688400e+01 3.363278e+06
5.763009e+01 3.215648e+06
5.838596e+01 3.074159e+06
5.915174e+01 2.937611e+06
5.992757e+01 2.807302e+06
6.071358e+01 2.680315e+06
6.150989e+01 2.560825e+06
6.231665e+01 2.444760e+06
6.313399e+01 2.332009e+06
6.396205e+01 2.225079e+06
6.480097e+01 2.123324e+06
6.565089e+01 2.029511e+06
6.651196e+01 1.936654e+06
6.738433e+01 1.847816e+06
6.826813e+01 1.762997e+06
6.916353e+01 1.682063e+06
7.007068e+01 1.605704e+06
7.098972e+01 1.532102e+06
7.192081e+01 1.461668e+06
7.286412e+01 1.392628e+06
7.381980e+01 1.326958e+06
7.478801e+01 1.266142e+06
7.576892e+01 1.207713e+06
7.676270e+01 1.151966e+06
7.776952e+01 1.099762e+06
7.878953e+01 1.048370e+06
7.982293e+01 1.001446e+06
8.086988e+01 9.562667e+05
8.193056e+01 9.127278e+05
8.300516e+01 8.704990e+05
8.409384e+01 8.311390e+05
8.519681e+01 7.938103e+05
8.631425e+01 7.582903e+05
8.744634e+01 7.236219e+05
8.859327e+01 6.903021e+05
8.975526e+01 6.585856e+05
9.093248e+01 6.284506e+05
9.212514e+01 6.001638e+05
9.333344e+01 5.728735e+05
9.455760e+01 5.466104e+05
9.579781e+01 5.216491e+05
9.705428e+01 4.976763e+05
9.832724e+01 4.747879e+05
9.961689e+01 4.529281e+05
1.009235e+02 4.322735e+05
1.022472e+02 4.125670e+05
1.035882e+02 3.937929e+05
1.049469e+02 3.760402e+05
1.063233e+02 3.590915e+05
1.077179e+02 3.427887e+05
1.091307e+02 3.274193e+05
1.105620e+02 3.125288e+05
1.120122e+02 2.985459e+05
1.134813e+02 2.852121e+05
1.149697e+02 2.723408e+05
1.164777e+02 2.600337e+05
1.180054e+02 2.482420e+05
1.195531e+02 2.371181e+05
1.211212e+02 2.264471e+05
1.227098e+02 2.161948e+05
1.243192e+02 2.063282e+05
1.259498e+02 1.968593e+05
1.276017e+02 1.878279e+05
1.292753e+02 1.792259e+05
1.309709e+02 1.710490e+05
1.326887e+02 1.631789e+05
1.344290e+02 1.557366e+05
1.361922e+02 1.488199e+05
1.379785e+02 1.421964e+05
1.397882e+02 1.357681e+05
1.416216e+02 1.295595e+05
1.434791e+02 1.237647e+05
1.453610e+02 1.182278e+05
1.472675e+02 1.128728e+05
1.491991e+02 1.076805e+05
1.511560e+02 1.027401e+05
1.531385e+02 9.796110e+04
1.551471e+02 9.345613e+04
1.571820e+02 8.918569e+04
1.592436e+02 8.511827e+04
1.613322e+02 8.121650e+04
1.634482e+02 7.749289e+04
1.655920e+02 7.394224e+04
1.677639e+02 7.059120e+04
1.699642e+02 6.739153e+04
1.721935e+02 6.433639e+04
1.744519e+02 6.141616e+04
1.767400e+02 5.859417e+04
1.790581e+02 5.587303e+04
1.814067e+02 5.326761e+04
1.837860e+02 5.081228e+04
1.861965e+02 4.849530e+04
1.886386e+02 4.627845e+04
1.911128e+02 4.412908e+04
1.936194e+02 4.207883e+04
1.961589e+02 4.014132e+04
1.987317e+02 3.830051e+04
2.013383e+02 3.654221e+04
2.039790e+02 3.484832e+04
2.066544e+02 3.323496e+04
2.093648e+02 3.170940e+04
2.121108e+02 3.025333e+04
2.148929e+02 2.886361e+04
2.177114e+02 2.753722e+04
2.205669e+02 2.627130e+04
2.234598e+02 2.506311e+04
2.263907e+02 2.391003e+04
2.293600e+02 2.280957e+04
2.323683e+02 2.175932e+04
2.354160e+02 2.076362e+04
2.385037e+02 1.981600e+04
2.416319e+02 1.891125e+04
2.448011e+02 1.804419e+04
2.480119e+02 1.720809e+04
2.512648e+02 1.641030e+04
2.545603e+02 1.564853e+04
2.578991e+02 1.492926e+04
2.612817e+02 1.425235e+04
2.647087e+02 1.360398e+04
2.681806e+02 1.298333e+04
2.716980e+02 1.239067e+04
2.752616e+02 1.182131e+04
2.788719e+02 1.127112e+04
2.825295e+02 1.074315e+04
2.862352e+02 1.023942e+04
2.899894e+02 9.769470e+03
2.937929e+02 9.314152e+03
2.976462e+02 8.878615e+03
3.015501e+02 8.463235e+03
3.055052e+02 8.066985e+03
3.095122e+02 7.692645e+03
3.135717e+02 7.336320e+03
3.176845e+02 6.989473e+03
3.218512e+02 6.651589e+03
3.260726e+02 6.338053e+03
3.303494e+02 6.040776e+03
3.346822e+02 5.755829e+03
3.390718e+02 5.484482e+03
3.435191e+02 5.227331e+03
3.480246e+02 4.983637e+03
3.525893e+02 4.751210e+03
3.572138e+02 4.527259e+03
3.618990e+02 4.311039e+03
3.666457e+02 4.110715e+03
3.714546e+02 3.919628e+03
3.763265e+02 3.737356e+03
3.812624e+02 3.562674e+03
3.862630e+02 3.396464e+03
3.913292e+02 3.239442e+03
3.964618e+02 3.086963e+03
4.016618e+02 2.941466e+03
4.069299e+02 2.802732e+03
4.122672e+02 2.669184e+03
4.176744e+02 2.541411e+03
4.231526e+02 2.422535e+03
4.287027e+02 2.309407e+03
4.343255e+02 2.199378e+03
4.400221e+02 2.095829e+03
4.457933e+02 1.997546e+03
4.516403e+02 1.903792e+03
4.575640e+02 1.814433e+03
4.635654e+02 1.729235e+03
4.696455e+02 1.647995e+03
4.758053e+02 1.569555e+03
4.820459e+02 1.493714e+03
4.883684e+02 1.422546e+03
4.947738e+02 1.355073e+03
5.012632e+02 1.291618e+03
5.078377e+02 1.230683e+03
5.144985e+02 1.170379e+03
5.212466e+02 1.110702e+03
5.280832e+02 1.055701e+03
5.350095e+02 1.004486e+03
5.420266e+02 9.566867e+02
5.491358e+02 9.113318e+02
5.563382e+02 8.680996e+02
5.636351e+02 8.255686e+02
5.710277e+02 7.856887e+02
5.785172e+02 7.485378e+02
5.861050e+02 7.130350e+02
5.937923e+02 6.778320e+02
6.015804e+02 6.457534e+02
6.094707e+02 6.151779e+02
6.174645e+02 5.856214e+02
6.255631e+02 5.577890e+02
6.337679e+02 5.301791e+02
6.420804e+02 5.029376e+02
6.505018e+02 4.776019e+02
6.590337e+02 4.541428e+02
6.676776e+02 4.323464e+02
6.764348e+02 4.117199e+02
6.853068e+02 3.916635e+02
6.942953e+02 3.714667e+02
7.034016e+02 3.530115e+02
7.126273e+02 3.356411e+02
7.219741e+02 3.191053e+02
7.314434e+02 3.028465e+02
7.410370e+02 2.877314e+02
7.507563e+02 2.732221e+02
7.606032e+02 2.599612e+02
7.705792e+02 2.473321e+02
7.806861e+02 2.353051e+02
7.909255e+02 2.238519e+02
8.012992e+02 2.129456e+02
8.118089e+02 2.025604e+02
8.224566e+02 1.926718e+02
8.332438e+02 1.832564e+02
8.441726e+02 1.742920e+02
8.552447e+02 1.657573e+02
8.664620e+02 1.576891e+02
8.778264e+02 1.500415e+02
8.893399e+02 1.427593e+02
9.010044e+02 1.356540e+02
9.128219e+02 1.289148e+02
9.247944e+02 1.226167e+02
9.369239e+02 1.163466e+02
9.492125e+02 1.103087e+02
9.616623e+02 1.048806e+02
9.742754e+02 9.958685e+01
9.870539e+02 9.446181e+01
1.000000e+03 8.975678e+01
