# Energy(MeV) Phi16_Planare Phi84_Planare
1.693131e+01 7.178666e+07 7.911860e+07
1.715338e+01 7.000695e+07 7.719582e+07
1.737836e+01 6.826957e+07 7.531765e+07
1.760629e+01 6.657887e+07 7.347693e+07
1.783722e+01 6.490188e+07 7.166468e+07
1.807117e+01 6.324361e+07 6.988584e+07
1.830819e+01 6.163757e+07 6.812949e+07
1.854831e+01 6.005322e+07 6.639423e+07
1.879159e+01 5.850851e+07 6.470506e+07
1.903806e+01 5.698404e+07 6.306463e+07
1.928776e+01 5.551904e+07 6.144636e+07
1.954074e+01 5.405607e+07 5.986457e+07
1.979703e+01 5.262456e+07 5.832403e+07
2.005669e+01 5.123427e+07 5.683848e+07
2.031975e+01 4.987395e+07 5.536765e+07
2.058626e+01 4.852830e+07 5.390365e+07
2.085627e+01 4.722632e+07 5.249790e+07
2.112982e+01 4.596716e+07 5.109995e+07
2.140696e+01 4.474164e+07 4.973142e+07
2.168773e+01 4.350810e+07 4.839345e+07
2.197218e+01 4.230768e+07 4.708898e+07
2.226037e+01 4.116217e+07 4.579748e+07
2.255233e+01 4.003845e+07 4.453345e+07
2.284813e+01 3.890348e+07 4.330144e+07
2.314780e+01 3.781596e+07 4.210255e+07
2.345141e+01 3.673720e+07 4.094586e+07
2.375899e+01 3.570201e+07 3.981359e+07
2.407061e+01 3.468424e+07 3.869518e+07
2.438632e+01 3.371039e+07 3.761524e+07
2.470617e+01 3.271611e+07 3.654126e+07
2.503022e+01 3.177129e+07 3.550664e+07
2.535851e+01 3.085758e+07 3.448922e+07
2.569111e+01 2.994902e+07 3.349211e+07
2.602807e+01 2.905400e+07 3.252811e+07
2.636945e+01 2.819299e+07 3.156651e+07
2.671531e+01 2.734146e+07 3.064250e+07
2.706571e+01 2.652425e+07 2.973162e+07
2.742070e+01 2.573384e+07 2.883629e+07
2.778035e+01 2.493991e+07 2.797953e+07
2.814471e+01 2.418021e+07 2.714298e+07
2.851386e+01 2.343696e+07 2.631350e+07
2.888784e+01 2.271001e+07 2.550211e+07
2.926673e+01 2.200701e+07 2.472005e+07
2.965059e+01 2.132078e+07 2.396081e+07
3.003948e+01 2.065382e+07 2.321492e+07
3.043348e+01 2.000520e+07 2.248730e+07
3.083264e+01 1.937227e+07 2.177786e+07
3.123704e+01 1.874415e+07 2.108614e+07
3.164674e+01 1.814473e+07 2.040849e+07
3.206182e+01 1.756131e+07 1.975011e+07
3.248234e+01 1.698272e+07 1.911125e+07
3.290837e+01 1.642383e+07 1.848986e+07
3.334000e+01 1.587248e+07 1.788595e+07
3.377728e+01 1.533957e+07 1.730121e+07
3.422030e+01 1.482102e+07 1.673184e+07
3.466913e+01 1.430998e+07 1.617987e+07
3.512385e+01 1.381751e+07 1.563199e+07
3.558453e+01 1.334022e+07 1.510316e+07
3.605125e+01 1.287706e+07 1.458774e+07
3.652410e+01 1.242653e+07 1.408873e+07
3.700315e+01 1.198753e+07 1.359959e+07
3.748848e+01 1.156925e+07 1.312826e+07
3.798017e+01 1.115652e+07 1.266988e+07
3.847832e+01 1.075933e+07 1.222329e+07
3.898299e+01 1.036540e+07 1.178345e+07
3.949429e+01 9.980631e+06 1.136444e+07
4.001230e+01 9.606688e+06 1.095447e+07
4.053709e+01 9.253427e+06 1.056157e+07
4.106877e+01 8.908845e+06 1.018251e+07
4.160743e+01 8.564040e+06 9.815463e+06
4.215315e+01 8.239673e+06 9.453305e+06
4.270602e+01 7.931024e+06 9.099960e+06
4.326615e+01 7.625762e+06 8.757069e+06
4.383363e+01 7.326665e+06 8.429114e+06
4.440855e+01 7.037355e+06 8.112315e+06
4.499100e+01 6.758117e+06 7.803991e+06
4.558110e+01 6.491747e+06 7.511161e+06
4.617894e+01 6.240582e+06 7.230220e+06
4.678462e+01 5.988667e+06 6.955258e+06
4.739824e+01 5.746816e+06 6.679237e+06
4.801991e+01 5.513712e+06 6.422190e+06
4.864974e+01 5.284460e+06 6.178066e+06
4.928782e+01 5.064577e+06 5.943931e+06
4.993428e+01 4.848972e+06 5.718020e+06
5.058921e+01 4.644212e+06 5.497205e+06
5.125274e+01 4.449194e+06 5.280682e+06
5.192496e+01 4.263558e+06 5.071195e+06
5.260600e+01 4.078088e+06 4.870700e+06
5.329598e+01 3.905871e+06 4.682615e+06
5.399501e+01 3.737321e+06 4.498830e+06
5.470320e+01 3.576799e+06 4.322577e+06
5.542068e+01 3.418505e+06 4.158783e+06
5.614757e+01 3.264834e+06 3.994279e+06
5.688400e+01 3.116156e+06 3.837303e+06
5.763009e+01 2.972885e+06 3.689318e+06
5.838596e+01 2.840102e+06 3.547548e+06
5.915174e+01 2.716596e+06 3.411378e+06
5.992757e+01 2.593991e+06 3.280096e+06
6.071358e+01 2.475504e+06 3.154297e+06
6.150989e+01 2.365251e+06 3.034463e+06
6.231665e+01 2.256220e+06 2.916668e+06
6.313399e+01 2.151799e+06 2.803616e+06
6.396205e+01 2.052770e+06 2.695973e+06
6.480097e+01 1.958347e+06 2.590863e+06
6.565089e+01 1.866979e+06 2.489131e+06
6.651196e+01 1.779024e+06 2.395075e+06
6.738433e+01 1.695643e+06 2.303270e+06
6.826813e+01 1.614179e+06 2.215893e+06
6.916353e+01 1.539142e+06 2.131843e+06
7.007068e+01 1.465897e+06 2.050167e+06
7.098972e+01 1.395914e+06 1.970806e+06
7.192081e+01 1.327194e+06 1.894857e+06
7.286412e+01 1.263516e+06 1.822589e+06
7.381980e+01 1.202762e+06 1.752410e+06
7.478801e+01 1.144248e+06 1.685561e+06
7.576892e+01 1.088279e+06 1.619957e+06
7.676270e+01 1.037384e+06 1.558711e+06
7.776952e+01 9.873010e+05 1.498422e+06
7.878953e+01 9.404355e+05 1.440198e+06
7.982293e+01 8.935330e+05 1.384785e+06
8.086988e+01 8.507700e+05 1.331548e+06
8.193056e+01 8.098462e+05 1.281319e+06
8.300516e+01 7.685891e+05 1.230872e+06
8.409384e+01 7.305082e+05 1.183910e+06
8.519681e+01 6.925042e+05 1.138745e+06
8.631425e+01 6.586182e+05 1.094976e+06
8.744634e+01 6.262857e+05 1.052165e+06
8.859327e+01 5.966703e+05 1.012217e+06
8.975526e+01 5.674530e+05 9.736043e+05
9.093248e+01 5.392292e+05 9.369744e+05
9.212514e+01 5.120462e+05 9.014151e+05
9.333344e+01 4.872123e+05 8.663427e+05
9.455760e+01 4.634201e+05 8.330136e+05
9.579781e+01 4.407977e+05 8.014505e+05
9.705428e+01 4.185261e+05 7.708347e+05
9.832724e+01 3.974105e+05 7.407881e+05
9.961689e+01 3.775846e+05 7.124382e+05
1.009235e+02 3.592288e+05 6.849452e+05
1.022472e+02 3.424110e+05 6.584262e+05
1.035882e+02 3.254394e+05 6.329528e+05
1.049469e+02 3.096791e+05 6.085638e+05
1.063233e+02 2.949721e+05 5.850222e+05
1.077179e+02 2.808288e+05 5.622976e+05
1.091307e+02 2.665386e+05 5.405829e+05
1.105620e+02 2.532543e+05 5.197097e+05
1.120122e+02 2.410667e+05 4.996455e+05
1.134813e+02 2.293644e+05 4.803259e+05
1.149697e+02 2.180016e+05 4.617557e+05
1.164777e+02 2.074376e+05 4.442618e+05
1.180054e+02 1.973810e+05 4.276417e+05
1.195531e+02 1.876655e+05 4.114004e+05
1.211212e+02 1.784704e+05 3.959998e+05
1.227098e+02 1.697555e+05 3.811882e+05
1.243192e+02 1.614585e+05 3.669428e+05
1.259498e+02 1.535097e+05 3.532121e+05
1.276017e+02 1.459494e+05 3.398609e+05
1.292753e+02 1.388207e+05 3.269246e+05
1.309709e+02 1.320399e+05 3.144679e+05
1.326887e+02 1.255891e+05 3.024596e+05
1.344290e+02 1.191448e+05 2.909061e+05
1.361922e+02 1.130136e+05 2.798870e+05
1.379785e+02 1.072478e+05 2.693386e+05
1.397882e+02 1.020808e+05 2.591911e+05
1.416216e+02 9.700303e+04 2.494372e+05
1.434791e+02 9.227470e+04 2.400754e+05
1.453610e+02 8.774943e+04 2.310680e+05
1.472675e+02 8.344659e+04 2.224941e+05
1.491991e+02 7.938534e+04 2.141645e+05
1.511560e+02 7.552140e+04 2.061256e+05
1.531385e+02 7.181032e+04 1.983185e+05
1.551471e+02 6.820917e+04 1.907781e+05
1.571820e+02 6.474742e+04 1.837379e+05
1.592436e+02 6.151654e+04 1.768687e+05
1.613322e+02 5.840526e+04 1.702499e+05
1.634482e+02 5.551441e+04 1.638477e+05
1.655920e+02 5.287409e+04 1.576281e+05
1.677639e+02 5.035115e+04 1.516798e+05
1.699642e+02 4.785729e+04 1.461330e+05
1.721935e+02 4.544582e+04 1.407317e+05
1.744519e+02 4.318342e+04 1.354790e+05
1.767400e+02 4.101414e+04 1.304245e+05
1.790581e+02 3.895365e+04 1.255606e+05
1.814067e+02 3.699882e+04 1.208801e+05
1.837860e+02 3.514595e+04 1.163893e+05
1.861965e+02 3.338985e+04 1.120635e+05
1.886386e+02 3.172135e+04 1.078864e+05
1.911128e+02 3.013608e+04 1.039158e+05
1.936194e+02 2.862989e+04 1.000520e+05
1.961589e+02 2.722032e+04 9.636354e+04
1.987317e+02 2.589365e+04 9.280695e+04
2.013383e+02 2.459392e+04 8.935264e+04
2.039790e+02 2.337275e+04 8.602855e+04
2.066544e+02 2.221748e+04 8.282972e+04
2.093648e+02 2.111919e+04 7.976741e+04
2.121108e+02 2.007367e+04 7.686246e+04
2.148929e+02 1.905773e+04 7.406603e+04
2.177114e+02 1.809323e+04 7.130257e+04
2.205669e+02 1.718142e+04 6.862736e+04
2.234598e+02 1.631546e+04 6.604263e+04
2.263907e+02 1.550885e+04 6.359729e+04
2.293600e+02 1.474777e+04 6.129023e+04
2.323683e+02 1.402517e+04 5.902621e+04
2.354160e+02 1.334052e+04 5.681241e+04
2.385037e+02 1.268920e+04 5.471272e+04
2.416319e+02 1.206924e+04 5.271534e+04
2.448011e+02 1.146659e+04 5.078797e+04
2.480119e+02 1.089395e+04 4.902192e+04
2.512648e+02 1.033740e+04 4.732160e+04
2.545603e+02 9.793968e+03 4.566605e+04
2.578991e+02 9.269905e+03 4.397467e+04
2.612817e+02 8.775248e+03 4.233997e+04
2.647087e+02 8.339097e+03 4.084523e+04
2.681806e+02 7.929794e+03 3.940317e+04
2.716980e+02 7.540524e+03 3.794274e+04
2.752616e+02 7.154952e+03 3.653569e+04
2.788719e+02 6.788885e+03 3.517881e+04
2.825295e+02 6.447368e+03 3.387160e+04
