# Energy(MeV) Fluence_Sferica_Median(p/cm2)
6.071358e+01 1.072126e+07
6.150989e+01 1.024330e+07
6.231665e+01 9.779039e+06
6.313399e+01 9.328038e+06
6.396205e+01 8.900316e+06
6.480097e+01 8.493296e+06
6.565089e+01 8.118046e+06
6.651196e+01 7.746617e+06
6.738433e+01 7.391262e+06
6.826813e+01 7.051986e+06
6.916353e+01 6.728251e+06
7.007068e+01 6.422814e+06
7.098972e+01 6.128408e+06
7.192081e+01 5.846674e+06
7.286412e+01 5.570514e+06
7.381980e+01 5.307831e+06
7.478801e+01 5.064566e+06
7.576892e+01 4.830852e+06
7.676270e+01 4.607864e+06
7.776952e+01 4.399048e+06
7.878953e+01 4.193480e+06
7.982293e+01 4.005782e+06
8.086988e+01 3.825067e+06
8.193056e+01 3.650911e+06
8.300516e+01 3.481996e+06
8.409384e+01 3.324556e+06
8.519681e+01 3.175241e+06
8.631425e+01 3.033161e+06
8.744634e+01 2.894488e+06
8.859327e+01 2.761208e+06
8.975526e+01 2.634343e+06
9.093248e+01 2.513802e+06
9.212514e+01 2.400655e+06
9.333344e+01 2.291494e+06
9.455760e+01 2.186442e+06
9.579781e+01 2.086597e+06
9.705428e+01 1.990705e+06
9.832724e+01 1.899151e+06
9.961689e+01 1.811712e+06
1.009235e+02 1.729094e+06
1.022472e+02 1.650268e+06
1.035882e+02 1.575171e+06
1.049469e+02 1.504161e+06
1.063233e+02 1.436366e+06
1.077179e+02 1.371155e+06
1.091307e+02 1.309677e+06
1.105620e+02 1.250115e+06
1.120122e+02 1.194183e+06
1.134813e+02 1.140849e+06
1.149697e+02 1.089363e+06
1.164777e+02 1.040135e+06
1.180054e+02 9.929681e+05
1.195531e+02 9.484722e+05
1.211212e+02 9.057883e+05
1.227098e+02 8.647793e+05
1.243192e+02 8.253126e+05
1.259498e+02 7.874371e+05
1.276017e+02 7.513116e+05
1.292753e+02 7.169034e+05
1.309709e+02 6.841960e+05
1.326887e+02 6.527157e+05
1.344290e+02 6.229465e+05
1.361922e+02 5.952797e+05
1.379785e+02 5.687857e+05
1.397882e+02 5.430724e+05
1.416216e+02 5.182381e+05
1.434791e+02 4.950589e+05
1.453610e+02 4.729114e+05
1.472675e+02 4.514914e+05
1.491991e+02 4.307220e+05
1.511560e+02 4.109604e+05
1.531385e+02 3.918444e+05
1.551471e+02 3.738245e+05
1.571820e+02 3.567428e+05
1.592436e+02 3.404731e+05
1.613322e+02 3.248660e+05
1.634482e+02 3.099716e+05
1.655920e+02 2.957690e+05
1.677639e+02 2.823648e+05
1.699642e+02 2.695661e+05
1.721935e+02 2.573456e+05
1.744519e+02 2.456646e+05
1.767400e+02 2.343767e+05
1.790581e+02 2.234921e+05
1.814067e+02 2.130705e+05
1.837860e+02 2.032491e+05
1.861965e+02 1.939812e+05
1.886386e+02 1.851138e+05
1.911128e+02 1.765163e+05
1.936194e+02 1.683153e+05
1.961589e+02 1.605653e+05
1.987317e+02 1.532020e+05
2.013383e+02 1.461688e+05
2.039790e+02 1.393933e+05
2.066544e+02 1.329398e+05
2.093648e+02 1.268376e+05
2.121108e+02 1.210133e+05
2.148929e+02 1.154544e+05
2.177114e+02 1.101489e+05
2.205669e+02 1.050852e+05
2.234598e+02 1.002525e+05
2.263907e+02 9.564014e+04
2.293600e+02 9.123826e+04
2.323683e+02 8.703730e+04
2.354160e+02 8.305449e+04
2.385037e+02 7.926401e+04
2.416319e+02 7.564501e+04
2.448011e+02 7.217676e+04
2.480119e+02 6.883236e+04
2.512648e+02 6.564121e+04
2.545603e+02 6.259411e+04
2.578991e+02 5.971705e+04
2.612817e+02 5.700940e+04
2.647087e+02 5.441591e+04
2.681806e+02 5.193332e+04
2.716980e+02 4.956267e+04
2.752616e+02 4.728523e+04
2.788719e+02 4.508450e+04
2.825295e+02 4.297258e+04
2.862352e+02 4.095768e+04
2.899894e+02 3.907788e+04
2.937929e+02 3.725661e+04
2.976462e+02 3.551446e+04
3.015501e+02 3.385294e+04
3.055052e+02 3.226794e+04
3.095122e+02 3.077058e+04
3.135717e+02 2.934528e+04
3.176845e+02 2.795789e+04
3.218512e+02 2.660635e+04
3.260726e+02 2.535221e+04
3.303494e+02 2.416311e+04
3.346822e+02 2.302332e+04
3.390718e+02 2.193793e+04
3.435191e+02 2.090933e+04
3.480246e+02 1.993455e+04
3.525893e+02 1.900484e+04
3.572138e+02 1.810904e+04
3.618990e+02 1.724416e+04
3.666457e+02 1.644286e+04
3.714546e+02 1.567851e+04
3.763265e+02 1.494942e+04
3.812624e+02 1.425069e+04
3.862630e+02 1.358585e+04
3.913292e+02 1.295777e+04
3.964618e+02 1.234785e+04
4.016618e+02 1.176587e+04
4.069299e+02 1.121093e+04
4.122672e+02 1.067674e+04
4.176744e+02 1.016565e+04
4.231526e+02 9.690139e+03
4.287027e+02 9.237629e+03
4.343255e+02 8.797512e+03
4.400221e+02 8.383317e+03
4.457933e+02 7.990185e+03
4.516403e+02 7.615169e+03
4.575640e+02 7.257734e+03
4.635654e+02 6.916940e+03
4.696455e+02 6.591978e+03
4.758053e+02 6.278219e+03
4.820459e+02 5.974856e+03
4.883684e+02 5.690184e+03
4.947738e+02 5.420291e+03
5.012632e+02 5.166473e+03
5.078377e+02 4.922733e+03
5.144985e+02 4.681514e+03
5.212466e+02 4.442809e+03
5.280832e+02 4.222804e+03
5.350095e+02 4.017944e+03
5.420266e+02 3.826747e+03
5.491358e+02 3.645327e+03
5.563382e+02 3.472398e+03
5.636351e+02 3.302275e+03
5.710277e+02 3.142755e+03
5.785172e+02 2.994151e+03
5.861050e+02 2.852140e+03
5.937923e+02 2.711328e+03
6.015804e+02 2.583014e+03
6.094707e+02 2.460712e+03
6.174645e+02 2.342486e+03
6.255631e+02 2.231156e+03
6.337679e+02 2.120716e+03
6.420804e+02 2.011750e+03
6.505018e+02 1.910407e+03
6.590337e+02 1.816571e+03
6.676776e+02 1.729386e+03
6.764348e+02 1.646879e+03
6.853068e+02 1.566654e+03
6.942953e+02 1.485867e+03
7.034016e+02 1.412046e+03
7.126273e+02 1.342564e+03
7.219741e+02 1.276421e+03
7.314434e+02 1.211386e+03
7.410370e+02 1.150925e+03
7.507563e+02 1.092888e+03
7.606032e+02 1.039845e+03
7.705792e+02 9.893285e+02
7.806861e+02 9.412205e+02
7.909255e+02 8.954077e+02
8.012992e+02 8.517824e+02
8.118089e+02 8.102416e+02
8.224566e+02 7.706872e+02
8.332438e+02 7.330258e+02
8.441726e+02 6.971681e+02
8.552447e+02 6.630293e+02
8.664620e+02 6.307563e+02
8.778264e+02 6.001659e+02
8.893399e+02 5.710371e+02
9.010044e+02 5.426161e+02
9.128219e+02 5.156590e+02
9.247944e+02 4.904668e+02
9.369239e+02 4.653865e+02
9.492125e+02 4.412349e+02
9.616623e+02 4.195223e+02
9.742754e+02 3.983474e+02
9.870539e+02 3.778472e+02
1.000000e+03 3.590271e+02
