# Energy(MeV) Phi16_Sferica Phi84_Sferica
4.993428e+01 1.939589e+07 2.287208e+07
5.058921e+01 1.857685e+07 2.198882e+07
5.125274e+01 1.779678e+07 2.112273e+07
5.192496e+01 1.705423e+07 2.028478e+07
5.260600e+01 1.631235e+07 1.948280e+07
5.329598e+01 1.562348e+07 1.873046e+07
5.399501e+01 1.494928e+07 1.799532e+07
5.470320e+01 1.430719e+07 1.729031e+07
5.542068e+01 1.367402e+07 1.663513e+07
5.614757e+01 1.305934e+07 1.597712e+07
5.688400e+01 1.246462e+07 1.534921e+07
5.763009e+01 1.189154e+07 1.475727e+07
5.838596e+01 1.136041e+07 1.419019e+07
5.915174e+01 1.086638e+07 1.364551e+07
5.992757e+01 1.037596e+07 1.312039e+07
6.071358e+01 9.902014e+06 1.261719e+07
6.150989e+01 9.461005e+06 1.213785e+07
6.231665e+01 9.024881e+06 1.166667e+07
6.313399e+01 8.607197e+06 1.121446e+07
6.396205e+01 8.211080e+06 1.078389e+07
6.480097e+01 7.833388e+06 1.036345e+07
6.565089e+01 7.467917e+06 9.956524e+06
6.651196e+01 7.116097e+06 9.580299e+06
6.738433e+01 6.782570e+06 9.213078e+06
6.826813e+01 6.456716e+06 8.863574e+06
6.916353e+01 6.156569e+06 8.527373e+06
7.007068e+01 5.863590e+06 8.200669e+06
7.098972e+01 5.583656e+06 7.883225e+06
7.192081e+01 5.308777e+06 7.579430e+06
7.286412e+01 5.054063e+06 7.290356e+06
7.381980e+01 4.811048e+06 7.009639e+06
7.478801e+01 4.576994e+06 6.742243e+06
7.576892e+01 4.353116e+06 6.479828e+06
7.676270e+01 4.149535e+06 6.234845e+06
7.776952e+01 3.949204e+06 5.993689e+06
7.878953e+01 3.761742e+06 5.760793e+06
7.982293e+01 3.574132e+06 5.539138e+06
8.086988e+01 3.403080e+06 5.326190e+06
8.193056e+01 3.239385e+06 5.125277e+06
8.300516e+01 3.074356e+06 4.923488e+06
8.409384e+01 2.922033e+06 4.735640e+06
8.519681e+01 2.770017e+06 4.554980e+06
8.631425e+01 2.634473e+06 4.379905e+06
8.744634e+01 2.505143e+06 4.208659e+06
8.859327e+01 2.386681e+06 4.048867e+06
8.975526e+01 2.269812e+06 3.894417e+06
9.093248e+01 2.156917e+06 3.747898e+06
9.212514e+01 2.048185e+06 3.605660e+06
9.333344e+01 1.948849e+06 3.465371e+06
9.455760e+01 1.853681e+06 3.332054e+06
9.579781e+01 1.763191e+06 3.205802e+06
9.705428e+01 1.674104e+06 3.083339e+06
9.832724e+01 1.589642e+06 2.963152e+06
9.961689e+01 1.510339e+06 2.849753e+06
1.009235e+02 1.436915e+06 2.739781e+06
1.022472e+02 1.369644e+06 2.633705e+06
1.035882e+02 1.301758e+06 2.531811e+06
1.049469e+02 1.238716e+06 2.434255e+06
1.063233e+02 1.179888e+06 2.340089e+06
1.077179e+02 1.123315e+06 2.249190e+06
1.091307e+02 1.066154e+06 2.162332e+06
1.105620e+02 1.013017e+06 2.078839e+06
1.120122e+02 9.642669e+05 1.998582e+06
1.134813e+02 9.174575e+05 1.921303e+06
1.149697e+02 8.720063e+05 1.847023e+06
1.164777e+02 8.297504e+05 1.777047e+06
1.180054e+02 7.895240e+05 1.710567e+06
1.195531e+02 7.506622e+05 1.645601e+06
1.211212e+02 7.138816e+05 1.583999e+06
1.227098e+02 6.790220e+05 1.524753e+06
1.243192e+02 6.458340e+05 1.467771e+06
1.259498e+02 6.140389e+05 1.412848e+06
1.276017e+02 5.837974e+05 1.359444e+06
1.292753e+02 5.552827e+05 1.307698e+06
1.309709e+02 5.281597e+05 1.257872e+06
1.326887e+02 5.023563e+05 1.209838e+06
1.344290e+02 4.765792e+05 1.163625e+06
1.361922e+02 4.520546e+05 1.119548e+06
1.379785e+02 4.289910e+05 1.077354e+06
1.397882e+02 4.083232e+05 1.036765e+06
1.416216e+02 3.880121e+05 9.977486e+05
1.434791e+02 3.690988e+05 9.603015e+05
1.453610e+02 3.509977e+05 9.242719e+05
1.472675e+02 3.337864e+05 8.899765e+05
1.491991e+02 3.175414e+05 8.566578e+05
1.511560e+02 3.020856e+05 8.245025e+05
1.531385e+02 2.872413e+05 7.932742e+05
1.551471e+02 2.728367e+05 7.631123e+05
1.571820e+02 2.589897e+05 7.349514e+05
1.592436e+02 2.460662e+05 7.074746e+05
1.613322e+02 2.336210e+05 6.809997e+05
1.634482e+02 2.220576e+05 6.553910e+05
1.655920e+02 2.114964e+05 6.305125e+05
1.677639e+02 2.014046e+05 6.067193e+05
1.699642e+02 1.914292e+05 5.845321e+05
1.721935e+02 1.817833e+05 5.629267e+05
1.744519e+02 1.727337e+05 5.419162e+05
1.767400e+02 1.640565e+05 5.216981e+05
1.790581e+02 1.558146e+05 5.022425e+05
1.814067e+02 1.479953e+05 4.835204e+05
1.837860e+02 1.405838e+05 4.655572e+05
1.861965e+02 1.335594e+05 4.482541e+05
1.886386e+02 1.268854e+05 4.315458e+05
1.911128e+02 1.205443e+05 4.156631e+05
1.936194e+02 1.145196e+05 4.002079e+05
1.961589e+02 1.088813e+05 3.854542e+05
1.987317e+02 1.035746e+05 3.712278e+05
2.013383e+02 9.837569e+04 3.574106e+05
2.039790e+02 9.349101e+04 3.441142e+05
2.066544e+02 8.886991e+04 3.313189e+05
2.093648e+02 8.447677e+04 3.190697e+05
2.121108e+02 8.029469e+04 3.074499e+05
2.148929e+02 7.623091e+04 2.962641e+05
2.177114e+02 7.237292e+04 2.852103e+05
2.205669e+02 6.872567e+04 2.745094e+05
2.234598e+02 6.526184e+04 2.641705e+05
2.263907e+02 6.203541e+04 2.543892e+05
2.293600e+02 5.899109e+04 2.451609e+05
2.323683e+02 5.610070e+04 2.361049e+05
2.354160e+02 5.336208e+04 2.272496e+05
2.385037e+02 5.075680e+04 2.188509e+05
2.416319e+02 4.827695e+04 2.108614e+05
2.448011e+02 4.586634e+04 2.031519e+05
2.480119e+02 4.357582e+04 1.960877e+05
2.512648e+02 4.134960e+04 1.892864e+05
2.545603e+02 3.917587e+04 1.826642e+05
2.578991e+02 3.707962e+04 1.758987e+05
2.612817e+02 3.510099e+04 1.693599e+05
2.647087e+02 3.335639e+04 1.633809e+05
2.681806e+02 3.171918e+04 1.576127e+05
2.716980e+02 3.016210e+04 1.517710e+05
2.752616e+02 2.861981e+04 1.461427e+05
2.788719e+02 2.715554e+04 1.407152e+05
2.825295e+02 2.578947e+04 1.354864e+05
2.862352e+02 2.449718e+04 1.304535e+05
2.899894e+02 2.327252e+04 1.256093e+05
2.937929e+02 2.207233e+04 1.209466e+05
2.976462e+02 2.091984e+04 1.164585e+05
3.015501e+02 1.985699e+04 1.121385e+05
3.055052e+02 1.884914e+04 1.079802e+05
3.095122e+02 1.781272e+04 1.039777e+05
3.135717e+02 1.687886e+04 1.001405e+05
3.176845e+02 1.601890e+04 9.650173e+04
3.218512e+02 1.521937e+04 9.299801e+04
3.260726e+02 1.446121e+04 8.960867e+04
3.303494e+02 1.374072e+04 8.632132e+04
3.346822e+02 1.305601e+04 8.315657e+04
3.390718e+02 1.240533e+04 8.010981e+04
3.435191e+02 1.178698e+04 7.724241e+04
3.480246e+02 1.119936e+04 7.452590e+04
3.525893e+02 1.064094e+04 7.185924e+04
3.572138e+02 1.011028e+04 6.933122e+04
3.618990e+02 9.606004e+03 6.686087e+04
3.666457e+02 9.122455e+03 6.445374e+04
3.714546e+02 8.626454e+03 6.213538e+04
3.763265e+02 8.148191e+03 5.990249e+04
3.812624e+02 7.712632e+03 5.773041e+04
3.862630e+02 7.319241e+03 5.565979e+04
3.913292e+02 6.949246e+03 5.364694e+04
3.964618e+02 6.587426e+03 5.174261e+04
4.016618e+02 6.221373e+03 4.985652e+04
4.069299e+02 5.891115e+03 4.803762e+04
4.122672e+02 5.584083e+03 4.627710e+04
4.176744e+02 5.302680e+03 4.462624e+04
4.231526e+02 5.016291e+03 4.307358e+04
4.287027e+02 4.761591e+03 4.152030e+04
4.343255e+02 4.520567e+03 4.015759e+04
4.400221e+02 4.287717e+03 3.872158e+04
4.457933e+02 4.070792e+03 3.739655e+04
4.516403e+02 3.851246e+03 3.608798e+04
4.575640e+02 3.651654e+03 3.477972e+04
4.635654e+02 3.465615e+03 3.356536e+04
4.696455e+02 3.289022e+03 3.244622e+04
4.758053e+02 3.121396e+03 3.130255e+04
4.820459e+02 2.962283e+03 3.017601e+04
4.883684e+02 2.811252e+03 2.907303e+04
4.947738e+02 2.667894e+03 2.800993e+04
5.012632e+02 2.517712e+03 2.708780e+04
5.078377e+02 2.386386e+03 2.612468e+04
5.144985e+02 2.264351e+03 2.519508e+04
5.212466e+02 2.148532e+03 2.433213e+04
5.280832e+02 2.038614e+03 2.354664e+04
5.350095e+02 1.934296e+03 2.277660e+04
5.420266e+02 1.828091e+03 2.199593e+04
5.491358e+02 1.734785e+03 2.126352e+04
5.563382e+02 1.646221e+03 2.052185e+04
5.636351e+02 1.558476e+03 1.981264e+04
5.710277e+02 1.478797e+03 1.913326e+04
5.785172e+02 1.403170e+03 1.844940e+04
5.861050e+02 1.331390e+03 1.781195e+04
5.937923e+02 1.263262e+03 1.717602e+04
6.015804e+02 1.198600e+03 1.655930e+04
6.094707e+02 1.137230e+03 1.596521e+04
6.174645e+02 1.078984e+03 1.543453e+04
6.255631e+02 1.023704e+03 1.492255e+04
6.337679e+02 9.712399e+02 1.441457e+04
6.420804e+02 9.216009e+02 1.394296e+04
6.505018e+02 8.741945e+02 1.351014e+04
6.590337e+02 8.293491e+02 1.305880e+04
6.676776e+02 7.867901e+02 1.262284e+04
6.764348e+02 7.464015e+02 1.220604e+04
6.853068e+02 7.080732e+02 1.183343e+04
6.942953e+02 6.717006e+02 1.143324e+04
7.034016e+02 6.360428e+02 1.105384e+04
7.126273e+02 6.033885e+02 1.067533e+04
7.219741e+02 5.723496e+02 1.036385e+04
7.314434e+02 5.394050e+02 1.002089e+04
7.410370e+02 5.098436e+02 9.662850e+03
7.507563e+02 4.836234e+02 9.317871e+03
7.606032e+02 4.587425e+02 9.001009e+03
7.705792e+02 4.351326e+02 8.691522e+03
7.806861e+02 4.127293e+02 8.385337e+03
7.909255e+02 3.896690e+02 8.088118e+03
8.012992e+02 3.688757e+02 7.801667e+03
8.118089e+02 3.491771e+02 7.544254e+03
8.224566e+02 3.313023e+02 7.282323e+03
8.332438e+02 3.141846e+02 7.029074e+03
8.441726e+02 2.962421e+02 6.808329e+03
8.552447e+02 2.811338e+02 6.584075e+03
8.664620e+02 2.667918e+02 6.390386e+03
8.778264e+02 2.531775e+02 6.203443e+03
8.893399e+02 2.402542e+02 5.995724e+03
9.010044e+02 2.279868e+02 5.793527e+03
9.128219e+02 2.163423e+02 5.609878e+03
9.247944e+02 2.037905e+02 5.420318e+03
9.369239e+02 1.918058e+02 5.236259e+03
9.492125e+02 1.817605e+02 5.059786e+03
9.616623e+02 1.718436e+02 4.885441e+03
9.742754e+02 1.617235e+02 4.725394e+03
9.870539e+02 1.526225e+02 4.566679e+03
1.000000e+03 1.444684e+02 4.417878e+03
