Energy(MeV) Phi_16 Phi_84
2.337424e+02 5.277887e+04 2.265935e+05
2.370006e+02 5.014581e+04 2.170630e+05
2.403043e+02 4.733296e+04 2.076245e+05
2.436540e+02 4.483886e+04 1.985892e+05
2.470504e+02 4.230532e+04 1.899473e+05
2.504942e+02 3.990866e+04 1.816816e+05
2.539859e+02 3.752076e+04 1.737758e+05
2.575263e+02 3.531390e+04 1.661908e+05
2.611161e+02 3.325809e+04 1.589017e+05
2.647559e+02 3.131205e+04 1.519324e+05
2.684465e+02 2.946547e+04 1.453025e+05
2.721885e+02 2.775217e+04 1.390831e+05
2.759826e+02 2.616641e+04 1.331274e+05
2.798297e+02 2.476059e+04 1.273619e+05
2.837304e+02 2.343859e+04 1.218341e+05
2.876854e+02 2.209371e+04 1.165255e+05
2.916956e+02 2.082620e+04 1.113766e+05
2.957617e+02 1.963093e+04 1.064543e+05
2.998844e+02 1.849055e+04 1.017497e+05
3.040646e+02 1.744993e+04 9.725316e+04
3.083031e+02 1.643868e+04 9.300693e+04
3.126007e+02 1.548603e+04 8.901140e+04
3.169582e+02 1.458857e+04 8.518762e+04
3.213764e+02 1.376376e+04 8.152820e+04
3.258562e+02 1.300629e+04 7.804706e+04
3.303985e+02 1.228679e+04 7.473283e+04
3.350041e+02 1.160069e+04 7.151739e+04
3.396739e+02 1.096405e+04 6.841031e+04
3.444087e+02 1.034453e+04 6.543837e+04
3.492096e+02 9.777705e+03 6.260328e+04
3.540774e+02 9.248286e+03 5.989110e+04
3.590130e+02 8.741266e+03 5.729649e+04
3.640175e+02 8.264045e+03 5.481434e+04
3.690917e+02 7.812873e+03 5.243980e+04
3.742366e+02 7.379129e+03 5.016817e+04
3.794533e+02 6.949903e+03 4.806710e+04
3.847427e+02 6.554270e+03 4.600442e+04
3.901058e+02 6.169139e+03 4.399049e+04
3.955436e+02 5.806632e+03 4.205854e+04
4.010573e+02 5.474868e+03 4.021150e+04
4.066478e+02 5.176139e+03 3.846307e+04
4.123163e+02 4.895263e+03 3.679725e+04
4.180637e+02 4.630615e+03 3.519576e+04
