# Energy(MeV) Fluence_Planar
2.998844e+01 5.064103e+07
3.054710e+01 4.894392e+07
3.111616e+01 4.730105e+07
3.169582e+01 4.574652e+07
3.228628e+01 4.417935e+07
3.288774e+01 4.275794e+07
3.350041e+01 4.135375e+07
3.412449e+01 3.995089e+07
3.476019e+01 3.863582e+07
3.540774e+01 3.733710e+07
3.606735e+01 3.609292e+07
3.673925e+01 3.491174e+07
3.742366e+01 3.380931e+07
3.812083e+01 3.274779e+07
3.883098e+01 3.166165e+07
3.955436e+01 3.058432e+07
4.029122e+01 2.954374e+07
4.104181e+01 2.855873e+07
4.180637e+01 2.761728e+07
4.258518e+01 2.672188e+07
4.337850e+01 2.583437e+07
4.418660e+01 2.496637e+07
4.500975e+01 2.413112e+07
4.584824e+01 2.332869e+07
4.670234e+01 2.256651e+07
4.757236e+01 2.181930e+07
4.845859e+01 2.109143e+07
4.936132e+01 2.039946e+07
5.028087e+01 1.974908e+07
5.121755e+01 1.908196e+07
5.217169e+01 1.843786e+07
5.314359e+01 1.782200e+07
5.413360e+01 1.723391e+07
5.514206e+01 1.666420e+07
5.616930e+01 1.610413e+07
5.721568e+01 1.556295e+07
5.828155e+01 1.505252e+07
5.936727e+01 1.455007e+07
6.047322e+01 1.405847e+07
6.159978e+01 1.358934e+07
6.274732e+01 1.313637e+07
6.391624e+01 1.271539e+07
6.510694e+01 1.229102e+07
6.631981e+01 1.189230e+07
6.755528e+01 1.150258e+07
6.881377e+01 1.112999e+07
7.009570e+01 1.077024e+07
7.140151e+01 1.041789e+07
7.273165e+01 1.007504e+07
7.408657e+01 9.749158e+06
7.546673e+01 9.427227e+06
7.687260e+01 9.110449e+06
7.830465e+01 8.802954e+06
7.976339e+01 8.505835e+06
8.124930e+01 8.219604e+06
8.276289e+01 7.946332e+06
8.430468e+01 7.680428e+06
8.587519e+01 7.424609e+06
8.747496e+01 7.177310e+06
8.910453e+01 6.940575e+06
9.076446e+01 6.712060e+06
9.245531e+01 6.491068e+06
9.417766e+01 6.275628e+06
9.593209e+01 6.067114e+06
9.771921e+01 5.864752e+06
9.953962e+01 5.668140e+06
1.013939e+02 5.478108e+06
1.032828e+02 5.292875e+06
1.052069e+02 5.113802e+06
1.071668e+02 4.942895e+06
1.091632e+02 4.792857e+06
1.111968e+02 4.633644e+06
1.132683e+02 4.479720e+06
1.153783e+02 4.330910e+06
1.175277e+02 4.187043e+06
1.197171e+02 4.048181e+06
1.219473e+02 3.915374e+06
1.242191e+02 3.786845e+06
1.265332e+02 3.662537e+06
1.288904e+02 3.541054e+06
1.312915e+02 3.426693e+06
1.337373e+02 3.315231e+06
1.362287e+02 3.204797e+06
1.387665e+02 3.099108e+06
1.413516e+02 2.996847e+06
1.439848e+02 2.897963e+06
1.466671e+02 2.802343e+06
1.493993e+02 2.709879e+06
1.521825e+02 2.620468e+06
1.550175e+02 2.533348e+06
1.579053e+02 2.448055e+06
1.608469e+02 2.365636e+06
1.638434e+02 2.287297e+06
1.668956e+02 2.212325e+06
1.700047e+02 2.138727e+06
1.731717e+02 2.067047e+06
1.763977e+02 1.999695e+06
1.796838e+02 1.934107e+06
1.830312e+02 1.868947e+06
1.864409e+02 1.805969e+06
1.899141e+02 1.745101e+06
1.934520e+02 1.686271e+06
1.970558e+02 1.629898e+06
2.007267e+02 1.575877e+06
2.044661e+02 1.524122e+06
2.082751e+02 1.474066e+06
2.121550e+02 1.424684e+06
2.161073e+02 1.376883e+06
2.201331e+02 1.330685e+06
2.242340e+02 1.286037e+06
2.284112e+02 1.242886e+06
2.326663e+02 1.201183e+06
2.370006e+02 1.161110e+06
2.414157e+02 1.122529e+06
2.459130e+02 1.085907e+06
2.504942e+02 1.050607e+06
2.551606e+02 1.016455e+06
2.599140e+02 9.834126e+05
2.647559e+02 9.511495e+05
2.696881e+02 9.203547e+05
2.747121e+02 8.906091e+05
2.798297e+02 8.613754e+05
2.850426e+02 8.326706e+05
2.903527e+02 8.049231e+05
2.957617e+02 7.781009e+05
3.012714e+02 7.521731e+05
3.068838e+02 7.271099e+05
3.126007e+02 7.028824e+05
3.184242e+02 6.794628e+05
3.243561e+02 6.568309e+05
3.303985e+02 6.351371e+05
3.365535e+02 6.141605e+05
3.428231e+02 5.938774e+05
3.492096e+02 5.742646e+05
3.557150e+02 5.551524e+05
3.623416e+02 5.365834e+05
3.690917e+02 5.185315e+05
3.759675e+02 5.011795e+05
3.829714e+02 4.845510e+05
3.901058e+02 4.684593e+05
3.973730e+02 4.529019e+05
4.047757e+02 4.378611e+05
4.123163e+02 4.233196e+05
4.199973e+02 4.092610e+05
4.278214e+02 3.956691e+05
4.357913e+02 3.825135e+05
4.439097e+02 3.698276e+05
4.521792e+02 3.575851e+05
4.606029e+02 3.457480e+05
4.691835e+02 3.342408e+05
4.779239e+02 3.231052e+05
4.868271e+02 3.123409e+05
4.958962e+02 3.019357e+05
5.051342e+02 2.918775e+05
5.145444e+02 2.821548e+05
5.241298e+02 2.727563e+05
5.338938e+02 2.636712e+05
5.438397e+02 2.548892e+05
5.539709e+02 2.464000e+05
5.642908e+02 2.381939e+05
5.748030e+02 2.302614e+05
5.855110e+02 2.225935e+05
5.964185e+02 2.152116e+05
6.075292e+02 2.081358e+05
6.188468e+02 2.012927e+05
6.303753e+02 1.946746e+05
6.421186e+02 1.882743e+05
6.540806e+02 1.820090e+05
6.662655e+02 1.759289e+05
6.786773e+02 1.700513e+05
6.913204e+02 1.643697e+05
7.041990e+02 1.588773e+05
7.173175e+02 1.535680e+05
7.306804e+02 1.484356e+05
7.442922e+02 1.434743e+05
7.581576e+02 1.386784e+05
7.722814e+02 1.340423e+05
7.866682e+02 1.293714e+05
8.013230e+02 1.249134e+05
8.162509e+02 1.207357e+05
8.314568e+02 1.168777e+05
8.469460e+02 1.131411e+05
8.627237e+02 1.093826e+05
8.787954e+02 1.057680e+05
8.951665e+02 1.022591e+05
9.118425e+02 9.886007e+04
9.288292e+02 9.557382e+04
9.461324e+02 9.239658e+04
9.637579e+02 8.932475e+04
9.817117e+02 8.635482e+04
1.000000e+03 8.348342e+04
