# AUG 1972 GLE#24 - Phi_omni / 4 (planar geometry) - 68% CL
# Energy(MeV) Phi16(cm^-2*MeV^-1) Phi84(cm^-2*MeV^-1)
1.175277e+01 1.178833e+09 1.485434e+09
1.191660e+01 1.144613e+09 1.442159e+09
1.208271e+01 1.111333e+09 1.399988e+09
1.225114e+01 1.078877e+09 1.358982e+09
1.242191e+01 1.046969e+09 1.319370e+09
1.259506e+01 1.015896e+09 1.280658e+09
1.277063e+01 9.858396e+08 1.242769e+09
1.294865e+01 9.566516e+08 1.205889e+09
1.312915e+01 9.282875e+08 1.169986e+09
1.331216e+01 9.006771e+08 1.134984e+09
1.349772e+01 8.737056e+08 1.100947e+09
1.368587e+01 8.476393e+08 1.067929e+09
1.387665e+01 8.222519e+08 1.035776e+09
1.407008e+01 7.974951e+08 1.004477e+09
1.426621e+01 7.732889e+08 9.741287e+08
1.446507e+01 7.497961e+08 9.446487e+08
1.466671e+01 7.269543e+08 9.159539e+08
1.487115e+01 7.047353e+08 8.877955e+08
1.507845e+01 6.831239e+08 8.606747e+08
1.528864e+01 6.621055e+08 8.342603e+08
1.550175e+01 6.416625e+08 8.086379e+08
1.571784e+01 6.216848e+08 7.835491e+08
1.593694e+01 6.023128e+08 7.592065e+08
1.615909e+01 5.834094e+08 7.353887e+08
1.638434e+01 5.651284e+08 7.123098e+08
1.661273e+01 5.474691e+08 6.898788e+08
1.684430e+01 5.302312e+08 6.681717e+08
1.707910e+01 5.133272e+08 6.470816e+08
1.731717e+01 4.969042e+08 6.265282e+08
1.755856e+01 4.809444e+08 6.065611e+08
1.780332e+01 4.654373e+08 5.870028e+08
1.805149e+01 4.504150e+08 5.681880e+08
1.830312e+01 4.358062e+08 5.499147e+08
1.855825e+01 4.217457e+08 5.321421e+08
1.881694e+01 4.079434e+08 5.148772e+08
1.907924e+01 3.946305e+08 4.981445e+08
1.934520e+01 3.817429e+08 4.817217e+08
1.961486e+01 3.692396e+08 4.659247e+08
1.988828e+01 3.571463e+08 4.504780e+08
2.016551e+01 3.454064e+08 4.355153e+08
2.044661e+01 3.339582e+08 4.210532e+08
2.073162e+01 3.227097e+08 4.070378e+08
2.102061e+01 3.117995e+08 3.935268e+08
2.131362e+01 3.012966e+08 3.803886e+08
2.161073e+01 2.911452e+08 3.675499e+08
2.191197e+01 2.813029e+08 3.550552e+08
2.221741e+01 2.717584e+08 3.430377e+08
2.252711e+01 2.625077e+08 3.314762e+08
2.284112e+01 2.535554e+08 3.201541e+08
2.315951e+01 2.448326e+08 3.092238e+08
2.348235e+01 2.363940e+08 2.986945e+08
2.380968e+01 2.281635e+08 2.883464e+08
2.414157e+01 2.201899e+08 2.784455e+08
2.447809e+01 2.125065e+08 2.688575e+08
2.481930e+01 2.050506e+08 2.595738e+08
2.516527e+01 1.977951e+08 2.504489e+08
2.551606e+01 1.907509e+08 2.416126e+08
2.587174e+01 1.839951e+08 2.330862e+08
2.623238e+01 1.775186e+08 2.248226e+08
2.659804e+01 1.711783e+08 2.167921e+08
2.696881e+01 1.650072e+08 2.089488e+08
2.734474e+01 1.590188e+08 2.014510e+08
2.772591e+01 1.532833e+08 1.941807e+08
2.811239e+01 1.477032e+08 1.870970e+08
2.850426e+01 1.422308e+08 1.802437e+08
2.890160e+01 1.370233e+08 1.737277e+08
2.930447e+01 1.320113e+08 1.673624e+08
2.971296e+01 1.270828e+08 1.611192e+08
3.012714e+01 1.223179e+08 1.551142e+08
3.054710e+01 1.177193e+08 1.493607e+08
3.097291e+01 1.133455e+08 1.437899e+08
3.140465e+01 1.091006e+08 1.384237e+08
3.184242e+01 1.049589e+08 1.332310e+08
3.228628e+01 1.009630e+08 1.282039e+08
3.273634e+01 9.710482e+07 1.233411e+08
3.319266e+01 9.340545e+07 1.186635e+08
3.365535e+01 8.980062e+07 1.141407e+08
3.412449e+01 8.632834e+07 1.097583e+08
3.460016e+01 8.301200e+07 1.055472e+08
3.508247e+01 7.979426e+07 1.014483e+08
3.557150e+01 7.667463e+07 9.749563e+07
3.606735e+01 7.368428e+07 9.370287e+07
3.657011e+01 7.079730e+07 9.003380e+07
3.707988e+01 6.800800e+07 8.648962e+07
3.759675e+01 6.532104e+07 8.306835e+07
3.812083e+01 6.270221e+07 7.977131e+07
3.865221e+01 6.019416e+07 7.660586e+07
3.919100e+01 5.776110e+07 7.355602e+07
3.973730e+01 5.543149e+07 7.060607e+07
4.029122e+01 5.318369e+07 6.774206e+07
4.085286e+01 5.101273e+07 6.500067e+07
4.142232e+01 4.891891e+07 6.235085e+07
4.199973e+01 4.690055e+07 5.977911e+07
4.258518e+01 4.497029e+07 5.731388e+07
4.317880e+01 4.310247e+07 5.495025e+07
4.378069e+01 4.128903e+07 5.267258e+07
4.439097e+01 3.954699e+07 5.047799e+07
4.500975e+01 3.786744e+07 4.837432e+07
4.563716e+01 3.626432e+07 4.632943e+07
4.627332e+01 3.470410e+07 4.435264e+07
4.691835e+01 3.322027e+07 4.246327e+07
4.757236e+01 3.178206e+07 4.064734e+07
4.823549e+01 3.040380e+07 3.889969e+07
4.890787e+01 2.908574e+07 3.722173e+07
4.958962e+01 2.782164e+07 3.561001e+07
5.028087e+01 2.660603e+07 3.405022e+07
5.098176e+01 2.543303e+07 3.255923e+07
5.169242e+01 2.430560e+07 3.113573e+07
5.241298e+01 2.323086e+07 2.976963e+07
5.314359e+01 2.219610e+07 2.845497e+07
5.388438e+01 2.120427e+07 2.719449e+07
5.463550e+01 2.024738e+07 2.597498e+07
5.539709e+01 1.933023e+07 2.482167e+07
5.616930e+01 1.845256e+07 2.370561e+07
5.695227e+01 1.760742e+07 2.263589e+07
5.774615e+01 1.679924e+07 2.160485e+07
5.855110e+01 1.602214e+07 2.061781e+07
5.936727e+01 1.526673e+07 1.966524e+07
6.019482e+01 1.455776e+07 1.875036e+07
6.103390e+01 1.387370e+07 1.788389e+07
6.188468e+01 1.321866e+07 1.705375e+07
6.274732e+01 1.258366e+07 1.625291e+07
6.362198e+01 1.198330e+07 1.548220e+07
6.450884e+01 1.141351e+07 1.474239e+07
6.540806e+01 1.086754e+07 1.403656e+07
6.631981e+01 1.033279e+07 1.335876e+07
6.724427e+01 9.821982e+06 1.270926e+07
6.818162e+01 9.341699e+06 1.208931e+07
6.913204e+01 8.889710e+06 1.150469e+07
7.009570e+01 8.457113e+06 1.094069e+07
7.107280e+01 8.042323e+06 1.040626e+07
7.206351e+01 7.640800e+06 9.888386e+06
7.306804e+01 7.257409e+06 9.396193e+06
7.408657e+01 6.893082e+06 8.925509e+06
7.511929e+01 6.543480e+06 8.477599e+06
7.616642e+01 6.207564e+06 8.051192e+06
7.722814e+01 5.887050e+06 7.642369e+06
7.830465e+01 5.581767e+06 7.250751e+06
7.939618e+01 5.290748e+06 6.876217e+06
8.050292e+01 5.013406e+06 6.518637e+06
8.162509e+01 4.751210e+06 6.177654e+06
8.276289e+01 4.502338e+06 5.855777e+06
8.391656e+01 4.263060e+06 5.548934e+06
8.508632e+01 4.033811e+06 5.257251e+06
8.627237e+01 3.816020e+06 4.975349e+06
8.747496e+01 3.609941e+06 4.711146e+06
8.869432e+01 3.413258e+06 4.458477e+06
8.993067e+01 3.226786e+06 4.218739e+06
9.118425e+01 3.049999e+06 3.988828e+06
9.245531e+01 2.880522e+06 3.771481e+06
9.374409e+01 2.720125e+06 3.566089e+06
9.505083e+01 2.568030e+06 3.368212e+06
9.637579e+01 2.423912e+06 3.181065e+06
9.771921e+01 2.287346e+06 3.004053e+06
9.908137e+01 2.156178e+06 2.835064e+06
1.004625e+02 2.033187e+06 2.673443e+06
1.018629e+02 1.916804e+06 2.521422e+06
1.032828e+02 1.806279e+06 2.376659e+06
1.047225e+02 1.699506e+06 2.241195e+06
1.061823e+02 1.600085e+06 2.110020e+06
1.076624e+02 1.504742e+06 1.987747e+06
1.091632e+02 1.416349e+06 1.870851e+06
1.106848e+02 1.332215e+06 1.759761e+06
1.122277e+02 1.250875e+06 1.654455e+06
1.137921e+02 1.173608e+06 1.555629e+06
1.153783e+02 1.100787e+06 1.461041e+06
1.169866e+02 1.030920e+06 1.371152e+06
1.186174e+02 9.657384e+05 1.287904e+06
1.202708e+02 9.026546e+05 1.207817e+06
1.219473e+02 8.441488e+05 1.132860e+06
1.236472e+02 7.887398e+05 1.061138e+06
1.253708e+02 7.376019e+05 9.926463e+05
1.271184e+02 6.900016e+05 9.280035e+05
1.288904e+02 6.442549e+05 8.676712e+05
1.306870e+02 6.014947e+05 8.126895e+05
1.325087e+02 5.617980e+05 7.594155e+05
1.343558e+02 5.245249e+05 7.100162e+05
1.362287e+02 4.894737e+05 6.620738e+05
1.381276e+02 4.565866e+05 6.184324e+05
1.400531e+02 4.265749e+05 5.760734e+05
1.420053e+02 3.977433e+05 5.373793e+05
1.439848e+02 3.707851e+05 5.003537e+05
1.459919e+02 3.449915e+05 4.662682e+05
1.480269e+02 3.211380e+05 4.344500e+05
1.500903e+02 2.994743e+05 4.044393e+05
1.521825e+02 2.790238e+05 3.763131e+05
1.543038e+02 2.597193e+05 3.504253e+05
1.564548e+02 2.419741e+05 3.261216e+05
1.586357e+02 2.251933e+05 3.037292e+05
1.608469e+02 2.095764e+05 2.827191e+05
1.630891e+02 1.948562e+05 2.629999e+05
1.653624e+02 1.814559e+05 2.450788e+05
1.676675e+02 1.687680e+05 2.280819e+05
1.700047e+02 1.566556e+05 2.119442e+05
1.723745e+02 1.454993e+05 1.971982e+05
1.747773e+02 1.353080e+05 1.835439e+05
1.772136e+02 1.259249e+05 1.709248e+05
1.796838e+02 1.170297e+05 1.587408e+05
1.821885e+02 1.089432e+05 1.476790e+05
1.847281e+02 1.012095e+05 1.373657e+05
1.873032e+02 9.405248e+04 1.278448e+05
1.899141e+02 8.746674e+04 1.189198e+05
1.925614e+02 8.109615e+04 1.105298e+05
1.952456e+02 7.529252e+04 1.027168e+05
1.979672e+02 6.989121e+04 9.566910e+04
2.007267e+02 6.483804e+04 8.910152e+04
2.035248e+02 6.023008e+04 8.276989e+04
2.063618e+02 5.594817e+04 7.694368e+04
2.092383e+02 5.192878e+04 7.156164e+04
2.121550e+02 4.817662e+04 6.656724e+04
2.151123e+02 4.474695e+04 6.201428e+04
2.181109e+02 4.144087e+04 5.775676e+04
2.211512e+02 3.841615e+04 5.379524e+04
2.242340e+02 3.565810e+04 5.010884e+04
2.273597e+02 3.309950e+04 4.658756e+04
2.305289e+02 3.071820e+04 4.328743e+04
2.337424e+02 2.846294e+04 4.023795e+04
2.370006e+02 2.637009e+04 3.744008e+04
2.403043e+02 2.443994e+04 3.485459e+04
2.436540e+02 2.265439e+04 3.240212e+04
2.470504e+02 2.101862e+04 3.014429e+04
2.504942e+02 1.949956e+04 2.808797e+04
2.539859e+02 1.806694e+04 2.612577e+04
2.575263e+02 1.673687e+04 2.429688e+04
2.611161e+02 1.547638e+04 2.259592e+04
2.647559e+02 1.433752e+04 2.102108e+04
2.684465e+02 1.328617e+04 1.957233e+04
2.721885e+02 1.230951e+04 1.822814e+04
2.759826e+02 1.141056e+04 1.695920e+04
2.798297e+02 1.057251e+04 1.576656e+04
2.837304e+02 9.785811e+03 1.466372e+04
2.876854e+02 9.061705e+03 1.363316e+04
2.916956e+02 8.387602e+03 1.266851e+04
2.957617e+02 7.766809e+03 1.178237e+04
2.998844e+02 7.183403e+03 1.095637e+04
3.040646e+02 6.643723e+03 1.018381e+04
3.083031e+02 6.149886e+03 9.460550e+03
3.126007e+02 5.690713e+03 8.779044e+03
3.169582e+02 5.265027e+03 8.157989e+03
3.213764e+02 4.869454e+03 7.582699e+03
3.258562e+02 4.505665e+03 7.045402e+03
3.303985e+02 4.170427e+03 6.546892e+03
3.350041e+02 3.856393e+03 6.089061e+03
3.396739e+02 3.562950e+03 5.661994e+03
3.444087e+02 3.298016e+03 5.262085e+03
3.492096e+02 3.050253e+03 4.886384e+03
3.540774e+02 2.821887e+03 4.546049e+03
3.590130e+02 2.605105e+03 4.226778e+03
3.640175e+02 2.407592e+03 3.930550e+03
3.690917e+02 2.228126e+03 3.654355e+03
3.742366e+02 2.059018e+03 3.392392e+03
3.794533e+02 1.902094e+03 3.154302e+03
3.847427e+02 1.757968e+03 2.927388e+03
3.901058e+02 1.623420e+03 2.719376e+03
3.955436e+02 1.498147e+03 2.524827e+03
4.010573e+02 1.384170e+03 2.344253e+03
4.066478e+02 1.279254e+03 2.175948e+03
4.123163e+02 1.179242e+03 2.019718e+03
4.180637e+02 1.087123e+03 1.872863e+03
4.238913e+02 1.003405e+03 1.736034e+03
4.298001e+02 9.266973e+02 1.610378e+03
4.357913e+02 8.554599e+02 1.496079e+03
4.418660e+02 7.898490e+02 1.387744e+03
4.480254e+02 7.289954e+02 1.287272e+03
4.542706e+02 6.715589e+02 1.195058e+03
4.606029e+02 6.199615e+02 1.109383e+03
4.670234e+02 5.719261e+02 1.030713e+03
4.735335e+02 5.269495e+02 9.571730e+02
4.801343e+02 4.862972e+02 8.876685e+02
4.868271e+02 4.481997e+02 8.225308e+02
4.936132e+02 4.131506e+02 7.610569e+02
5.004939e+02 3.813548e+02 7.063555e+02
5.074705e+02 3.511748e+02 6.546487e+02
5.145444e+02 3.233952e+02 6.058240e+02
5.217169e+02 2.981338e+02 5.614795e+02
5.289893e+02 2.748958e+02 5.205069e+02
5.363631e+02 2.533206e+02 4.828112e+02
5.438397e+02 2.334237e+02 4.476128e+02
5.514206e+02 2.147625e+02 4.142197e+02
5.591071e+02 1.977603e+02 3.832339e+02
5.669007e+02 1.823294e+02 3.549557e+02
5.748030e+02 1.680792e+02 3.289713e+02
5.828155e+02 1.545921e+02 3.045857e+02
5.909396e+02 1.422316e+02 2.820152e+02
5.991770e+02 1.308529e+02 2.615926e+02
6.075292e+02 1.205083e+02 2.421428e+02
6.159978e+02 1.107043e+02 2.239055e+02
6.245845e+02 1.017779e+02 2.069592e+02
6.332908e+02 9.355566e+01 1.916475e+02
6.421186e+02 8.597943e+01 1.773853e+02
6.510694e+02 7.906556e+01 1.641803e+02
6.601449e+02 7.267700e+01 1.521533e+02
6.693470e+02 6.677910e+01 1.406216e+02
6.786773e+02 6.137005e+01 1.302570e+02
6.881377e+02 5.640432e+01 1.206500e+02
6.977300e+02 5.179526e+01 1.116495e+02
7.074559e+02 4.753423e+01 1.032885e+02
7.173175e+02 4.365344e+01 9.563421e+01
7.273165e+02 4.007055e+01 8.840817e+01
7.374549e+02 3.678983e+01 8.169596e+01
7.477346e+02 3.381108e+01 7.547584e+01
7.581576e+02 3.102067e+01 6.978637e+01
7.687260e+02 2.849477e+01 6.442639e+01
7.794416e+02 2.616216e+01 5.954225e+01
7.903066e+02 2.402110e+01 5.506991e+01
8.013230e+02 2.203514e+01 5.090085e+01
8.124930e+02 2.018367e+01 4.701130e+01
8.238187e+02 1.852048e+01 4.341268e+01
8.353023e+02 1.697631e+01 4.008219e+01
8.469460e+02 1.557646e+01 3.699448e+01
8.587519e+02 1.426527e+01 3.414387e+01
8.707225e+02 1.306443e+01 3.151029e+01
8.828599e+02 1.195855e+01 2.906393e+01
8.951665e+02 1.095635e+01 2.682481e+01
9.076446e+02 1.002575e+01 2.475973e+01
9.202967e+02 9.185169e+00 2.281039e+01
9.331251e+02 8.407012e+00 2.103507e+01
9.461324e+02 7.681809e+00 1.937606e+01
9.593209e+02 7.026110e+00 1.786462e+01
9.726934e+02 6.425077e+00 1.646374e+01
9.862522e+02 5.871173e+00 1.517735e+01
1.000000e+03 5.363486e+00 1.398348e+01
