# AUG 1972 GLE#24 - Phi_omni (spherical geometry) - 68% CL
# Energy(MeV) Phi16(cm^-2*MeV^-1) Phi84(cm^-2*MeV^-1)
5.616930e+01 7.381024e+07 9.482243e+07
5.695227e+01 7.042969e+07 9.054357e+07
5.774615e+01 6.719697e+07 8.641940e+07
5.855110e+01 6.408858e+07 8.247125e+07
5.936727e+01 6.106691e+07 7.866097e+07
6.019482e+01 5.823103e+07 7.500145e+07
6.103390e+01 5.549480e+07 7.153555e+07
6.188468e+01 5.287465e+07 6.821501e+07
6.274732e+01 5.033463e+07 6.501164e+07
6.362198e+01 4.793320e+07 6.192881e+07
6.450884e+01 4.565404e+07 5.896954e+07
6.540806e+01 4.347017e+07 5.614624e+07
6.631981e+01 4.133114e+07 5.343504e+07
6.724427e+01 3.928793e+07 5.083703e+07
6.818162e+01 3.736680e+07 4.835723e+07
6.913204e+01 3.555884e+07 4.601875e+07
7.009570e+01 3.382845e+07 4.376274e+07
7.107280e+01 3.216929e+07 4.162506e+07
7.206351e+01 3.056320e+07 3.955355e+07
7.306804e+01 2.902964e+07 3.758477e+07
7.408657e+01 2.757233e+07 3.570203e+07
7.511929e+01 2.617392e+07 3.391040e+07
7.616642e+01 2.483025e+07 3.220477e+07
7.722814e+01 2.354820e+07 3.056948e+07
7.830465e+01 2.232707e+07 2.900300e+07
7.939618e+01 2.116299e+07 2.750487e+07
8.050292e+01 2.005362e+07 2.607455e+07
8.162509e+01 1.900484e+07 2.471062e+07
8.276289e+01 1.800935e+07 2.342311e+07
8.391656e+01 1.705224e+07 2.219573e+07
8.508632e+01 1.613524e+07 2.102900e+07
8.627237e+01 1.526408e+07 1.990140e+07
8.747496e+01 1.443976e+07 1.884459e+07
8.869432e+01 1.365303e+07 1.783391e+07
8.993067e+01 1.290714e+07 1.687496e+07
9.118425e+01 1.220000e+07 1.595531e+07
9.245531e+01 1.152209e+07 1.508593e+07
9.374409e+01 1.088050e+07 1.426436e+07
9.505083e+01 1.027212e+07 1.347285e+07
9.637579e+01 9.695648e+06 1.272426e+07
9.771921e+01 9.149382e+06 1.201621e+07
9.908137e+01 8.624713e+06 1.134026e+07
1.004625e+02 8.132750e+06 1.069377e+07
1.018629e+02 7.667217e+06 1.008569e+07
1.032828e+02 7.225117e+06 9.506636e+06
1.047225e+02 6.798026e+06 8.964778e+06
1.061823e+02 6.400341e+06 8.440079e+06
1.076624e+02 6.018968e+06 7.950989e+06
1.091632e+02 5.665396e+06 7.483405e+06
1.106848e+02 5.328862e+06 7.039043e+06
1.122277e+02 5.003500e+06 6.617822e+06
1.137921e+02 4.694431e+06 6.222518e+06
1.153783e+02 4.403149e+06 5.844165e+06
1.169866e+02 4.123679e+06 5.484608e+06
1.186174e+02 3.862954e+06 5.151617e+06
1.202708e+02 3.610618e+06 4.831266e+06
1.219473e+02 3.376595e+06 4.531440e+06
1.236472e+02 3.154959e+06 4.244553e+06
1.253708e+02 2.950407e+06 3.970585e+06
1.271184e+02 2.760006e+06 3.712014e+06
1.288904e+02 2.577020e+06 3.470685e+06
1.306870e+02 2.405979e+06 3.250758e+06
1.325087e+02 2.247192e+06 3.037662e+06
1.343558e+02 2.098099e+06 2.840065e+06
1.362287e+02 1.957895e+06 2.648295e+06
1.381276e+02 1.826347e+06 2.473730e+06
1.400531e+02 1.706299e+06 2.304294e+06
1.420053e+02 1.590973e+06 2.149517e+06
1.439848e+02 1.483141e+06 2.001415e+06
1.459919e+02 1.379966e+06 1.865073e+06
1.480269e+02 1.284552e+06 1.737800e+06
1.500903e+02 1.197897e+06 1.617757e+06
1.521825e+02 1.116095e+06 1.505252e+06
1.543038e+02 1.038877e+06 1.401701e+06
1.564548e+02 9.678963e+05 1.304486e+06
1.586357e+02 9.007733e+05 1.214917e+06
1.608469e+02 8.383055e+05 1.130876e+06
1.630891e+02 7.794250e+05 1.052000e+06
1.653624e+02 7.258235e+05 9.803151e+05
1.676675e+02 6.750719e+05 9.123276e+05
1.700047e+02 6.266222e+05 8.477768e+05
1.723745e+02 5.819973e+05 7.887930e+05
1.747773e+02 5.412319e+05 7.341754e+05
1.772136e+02 5.036995e+05 6.836993e+05
1.796838e+02 4.681188e+05 6.349632e+05
1.821885e+02 4.357730e+05 5.907159e+05
1.847281e+02 4.048380e+05 5.494629e+05
1.873032e+02 3.762099e+05 5.113792e+05
1.899141e+02 3.498670e+05 4.756794e+05
1.925614e+02 3.243846e+05 4.421193e+05
1.952456e+02 3.011701e+05 4.108672e+05
1.979672e+02 2.795649e+05 3.826764e+05
2.007267e+02 2.593522e+05 3.564061e+05
2.035248e+02 2.409203e+05 3.310796e+05
2.063618e+02 2.237927e+05 3.077747e+05
2.092383e+02 2.077151e+05 2.862466e+05
2.121550e+02 1.927065e+05 2.662690e+05
2.151123e+02 1.789878e+05 2.480571e+05
2.181109e+02 1.657635e+05 2.310270e+05
2.211512e+02 1.536646e+05 2.151809e+05
2.242340e+02 1.426324e+05 2.004353e+05
2.273597e+02 1.323980e+05 1.863503e+05
2.305289e+02 1.228728e+05 1.731497e+05
2.337424e+02 1.138518e+05 1.609518e+05
2.370006e+02 1.054804e+05 1.497603e+05
2.403043e+02 9.775975e+04 1.394184e+05
2.436540e+02 9.061758e+04 1.296085e+05
2.470504e+02 8.407450e+04 1.205771e+05
2.504942e+02 7.799823e+04 1.123519e+05
