# AUG 1972 GLE#24 - Phi_omni (spherical geometry)
# Raukunen et al. 2018
# Energy(MeV) Fluence(cm^-2*MeV^-1)
3.557150e+01 3.482713e+08
3.606735e+01 3.346452e+08
3.657011e+01 3.214947e+08
3.707988e+01 3.088053e+08
3.759675e+01 2.965628e+08
3.812083e+01 2.847533e+08
3.865221e+01 2.733636e+08
3.919100e+01 2.623805e+08
3.973730e+01 2.517913e+08
4.029122e+01 2.415836e+08
4.085286e+01 2.317453e+08
4.142232e+01 2.222649e+08
4.199973e+01 2.131307e+08
4.258518e+01 2.043318e+08
4.317880e+01 1.958574e+08
4.378069e+01 1.876969e+08
4.439097e+01 1.798403e+08
4.500975e+01 1.722775e+08
4.563716e+01 1.649989e+08
4.627332e+01 1.579952e+08
4.691835e+01 1.512572e+08
4.757236e+01 1.447761e+08
4.823549e+01 1.385434e+08
4.890787e+01 1.325506e+08
4.958962e+01 1.267897e+08
5.028087e+01 1.212528e+08
5.098176e+01 1.159322e+08
5.169242e+01 1.108205e+08
5.241298e+01 1.059106e+08
5.314359e+01 1.011953e+08
5.388438e+01 9.666808e+07
5.463550e+01 9.232217e+07
5.539709e+01 8.815125e+07
5.616930e+01 8.414912e+07
5.695227e+01 8.030978e+07
5.774615e+01 7.662740e+07
5.855110e+01 7.309636e+07
5.936727e+01 6.971117e+07
6.019482e+01 6.646654e+07
6.103390e+01 6.335733e+07
6.188468e+01 6.037858e+07
6.274732e+01 5.752546e+07
6.362198e+01 5.479331e+07
6.450884e+01 5.217761e+07
6.540806e+01 4.967400e+07
6.631981e+01 4.727824e+07
6.724427e+01 4.498625e+07
6.818162e+01 4.279405e+07
6.913204e+01 4.069782e+07
7.009570e+01 3.869386e+07
7.107280e+01 3.677858e+07
7.206351e+01 3.494853e+07
7.306804e+01 3.320035e+07
7.408657e+01 3.153081e+07
7.511929e+01 2.993680e+07
7.616642e+01 2.841529e+07
7.722814e+01 2.696338e+07
7.830465e+01 2.557824e+07
7.939618e+01 2.425717e+07
8.050292e+01 2.299755e+07
8.162509e+01 2.179684e+07
8.276289e+01 2.065262e+07
8.391656e+01 1.956253e+07
8.508632e+01 1.852431e+07
8.627237e+01 1.753576e+07
8.747496e+01 1.659480e+07
8.869432e+01 1.569938e+07
8.993067e+01 1.484756e+07
9.118425e+01 1.403745e+07
9.245531e+01 1.326724e+07
9.374409e+01 1.253519e+07
9.505083e+01 1.183963e+07
9.637579e+01 1.117893e+07
9.771921e+01 1.055156e+07
9.908137e+01 9.956006e+06
1.004625e+02 9.390848e+06
1.018629e+02 8.854704e+06
1.032828e+02 8.346251e+06
1.047225e+02 7.864216e+06
1.061823e+02 7.407380e+06
1.076624e+02 6.974570e+06
1.091632e+02 6.564661e+06
1.106848e+02 6.176575e+06
1.122277e+02 5.809278e+06
1.137921e+02 5.461777e+06
1.153783e+02 5.133121e+06
1.169866e+02 4.822399e+06
1.186174e+02 4.528740e+06
1.202708e+02 4.251305e+06
1.219473e+02 3.989297e+06
1.236472e+02 3.741948e+06
1.253708e+02 3.508527e+06
1.271184e+02 3.288333e+06
1.288904e+02 3.061770e+06
1.306870e+02 2.850089e+06
1.325087e+02 2.652944e+06
1.343558e+02 2.469342e+06
1.362287e+02 2.298358e+06
1.381276e+02 2.139131e+06
1.400531e+02 1.990855e+06
1.420053e+02 1.852784e+06
1.439848e+02 1.724218e+06
1.459919e+02 1.604508e+06
1.480269e+02 1.493048e+06
1.500903e+02 1.389271e+06
1.521825e+02 1.292653e+06
1.543038e+02 1.202702e+06
1.564548e+02 1.118962e+06
1.586357e+02 1.041006e+06
1.608469e+02 9.684377e+05
1.630891e+02 9.008873e+05
1.653624e+02 8.380102e+05
1.676675e+02 7.794853e+05
1.700047e+02 7.250135e+05
1.723745e+02 6.743160e+05
1.747773e+02 6.271334e+05
1.772136e+02 5.832236e+05
1.796838e+02 5.423613e+05
1.821885e+02 5.043367e+05
1.847281e+02 4.689541e+05
1.873032e+02 4.360314e+05
1.899141e+02 4.053989e+05
1.925614e+02 3.768986e+05
1.952456e+02 3.503832e+05
1.979672e+02 3.257155e+05
2.007267e+02 3.027680e+05
2.035248e+02 2.814216e+05
2.063618e+02 2.615655e+05
2.092383e+02 2.430966e+05
2.121550e+02 2.259187e+05
2.151123e+02 2.099425e+05
2.181109e+02 1.950846e+05
2.211512e+02 1.812674e+05
2.242340e+02 1.684187e+05
2.273597e+02 1.564711e+05
2.305289e+02 1.453622e+05
2.337424e+02 1.350335e+05
2.370006e+02 1.254307e+05
2.403043e+02 1.165034e+05
2.436540e+02 1.082044e+05
2.470504e+02 1.004900e+05
2.504942e+02 9.331945e+04
2.539859e+02 8.665471e+04
2.575263e+02 8.046049e+04
2.611161e+02 7.470390e+04
2.647559e+02 6.935434e+04
2.684465e+02 6.438333e+04
2.721885e+02 5.976436e+04
2.759826e+02 5.547277e+04
2.798297e+02 5.148560e+04
2.837304e+02 4.778148e+04
2.876854e+02 4.434055e+04
2.916956e+02 4.114431e+04
2.957617e+02 3.817555e+04
2.998844e+02 3.541827e+04
3.040646e+02 3.285757e+04
3.083031e+02 3.047959e+04
3.126007e+02 2.827146e+04
3.169582e+02 2.622118e+04
3.213764e+02 2.431761e+04
3.258562e+02 2.255036e+04
3.303985e+02 2.090980e+04
3.350041e+02 1.938696e+04
3.396739e+02 1.797348e+04
3.444087e+02 1.666163e+04
3.492096e+02 1.544417e+04
3.540774e+02 1.431441e+04
3.590130e+02 1.326611e+04
3.640175e+02 1.229348e+04
3.690917e+02 1.139111e+04
3.742366e+02 1.055401e+04
3.794533e+02 9.777519e+03
3.847427e+02 9.057301e+03
3.901058e+02 8.389337e+03
3.955436e+02 7.769888e+03
4.010573e+02 7.195479e+03
4.066478e+02 6.662881e+03
4.123163e+02 6.169093e+03
4.180637e+02 5.711328e+03
4.238913e+02 5.286995e+03
4.298001e+02 4.893689e+03
4.357913e+02 4.529173e+03
4.418660e+02 4.191372e+03
4.480254e+02 3.878357e+03
4.542706e+02 3.588336e+03
4.606029e+02 3.319645e+03
4.670234e+02 3.070741e+03
4.735335e+02 2.840188e+03
4.801343e+02 2.626654e+03
4.868271e+02 2.428903e+03
4.936132e+02 2.245787e+03
5.004939e+02 2.076239e+03
5.074705e+02 1.919270e+03
5.145444e+02 1.773963e+03
5.217169e+02 1.639465e+03
5.289893e+02 1.514985e+03
5.363631e+02 1.399790e+03
5.438397e+02 1.293197e+03
5.514206e+02 1.194577e+03
5.591071e+02 1.103342e+03
5.669007e+02 1.018948e+03
5.748030e+02 9.408929e+02
5.828155e+02 8.687073e+02
5.909396e+02 8.019578e+02
5.991770e+02 7.402423e+02
6.075292e+02 6.831879e+02
6.159978e+02 6.304487e+02
6.245845e+02 5.817042e+02
6.332908e+02 5.366573e+02
6.421186e+02 4.950326e+02
6.510694e+02 4.565748e+02
6.601449e+02 4.210475e+02
6.693470e+02 3.882314e+02
6.786773e+02 3.579236e+02
6.881377e+02 3.299357e+02
6.977300e+02 3.040937e+02
