Energy(MeV) Incoming Spectral Fluence(MeV-1 cm-2)   Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03  0.0000e+00	1.1308e+07
1.5302e+01	3.7932e+08	2.3343e+07
1.5878e+01	3.5341e+08	2.3223e+07
1.6477e+01	3.2883e+08	2.3060e+07
1.7097e+01	3.0555e+08	2.2862e+07
1.7742e+01	2.8351e+08	2.2621e+07
1.8410e+01	2.6267e+08	2.2353e+07
1.9104e+01	2.4300e+08	2.2030e+07
1.9824e+01	2.2445e+08	2.1671e+07
2.0571e+01	2.0698e+08	2.1270e+07
2.1346e+01	1.9055e+08	2.0834e+07
2.2150e+01	1.7511e+08	2.0349e+07
2.2985e+01	1.6064e+08	1.9828e+07
2.3851e+01	1.4709e+08	1.9273e+07
2.4750e+01	1.3442e+08	1.8680e+07
2.5683e+01	1.2261e+08	1.8061e+07
2.6650e+01	1.1163e+08	1.7403e+07
2.7655e+01	1.0143e+08	1.6722e+07
2.8697e+01	9.1974e+07	1.6018e+07
2.9778e+01	8.3214e+07	1.5291e+07
3.0900e+01	7.5118e+07	1.4554e+07
3.2064e+01	6.7648e+07	1.3802e+07
3.3273e+01	6.0769e+07	1.3056e+07
3.4526e+01	5.4448e+07	1.2313e+07
3.5828e+01	4.8653e+07	1.1579e+07
3.7178e+01	4.3352e+07	1.0860e+07
3.8578e+01	3.8516e+07	1.0158e+07
4.0032e+01	3.4116e+07	9.4776e+06
4.1541e+01	3.0122e+07	8.8201e+06
4.3106e+01	2.6509e+07	8.1875e+06
4.4730e+01	2.3249e+07	7.5809e+06
4.6416e+01	2.0318e+07	7.0002e+06
4.8165e+01	1.7705e+07	6.4488e+06
4.9980e+01	1.5425e+07	5.9268e+06
5.1863e+01	1.3438e+07	5.4340e+06
5.3818e+01	1.1708e+07	4.9710e+06
5.5845e+01	1.0200e+07	4.5371e+06
5.7950e+01	8.8864e+06	4.1321e+06
6.0133e+01	7.7420e+06	3.7554e+06
6.2399e+01	6.7449e+06	3.4060e+06
6.4751e+01	5.8763e+06	3.0830e+06
6.7191e+01	5.1195e+06	2.7854e+06
6.9723e+01	4.4602e+06	2.5120e+06
7.2350e+01	3.8858e+06	2.2611e+06
7.5076e+01	3.3854e+06	2.0319e+06
7.7905e+01	2.9494e+06	1.8229e+06
8.0841e+01	2.5696e+06	1.6329e+06
8.3887e+01	2.2387e+06	1.4607e+06
8.7048e+01	1.9504e+06	1.3047e+06
9.0328e+01	1.6992e+06	1.1636e+06
