Energy(MeV)	Elec. Stopping Power(MeV cm2 g-1)	Ionizing Dose*(MeV g-1)	Ionizing Dose*(Gy)
6.3560e-01	2.2500e+02	2.2500e+02	3.6058e-08
6.5000e-01	2.2240e+02	2.2240e+02	3.5641e-08
6.5960e-01	2.2060e+02	2.2060e+02	3.5353e-08
6.8450e-01	2.1630e+02	2.1630e+02	3.4663e-08
7.0000e-01	2.1370e+02	2.1370e+02	3.4247e-08
7.1020e-01	2.1200e+02	2.1200e+02	3.3974e-08
7.3700e-01	2.0780e+02	2.0780e+02	3.3301e-08
7.5000e-01	2.0580e+02	2.0580e+02	3.2981e-08
7.6480e-01	2.0360e+02	2.0360e+02	3.2628e-08
7.9360e-01	1.9950e+02	1.9950e+02	3.1971e-08
8.0000e-01	1.9860e+02	1.9860e+02	3.1827e-08
8.2350e-01	1.9550e+02	1.9550e+02	3.1330e-08
8.5000e-01	1.9210e+02	1.9210e+02	3.0785e-08
8.5450e-01	1.9160e+02	1.9160e+02	3.0705e-08
8.8670e-01	1.8770e+02	1.8770e+02	3.0080e-08
9.0000e-01	1.8610e+02	1.8610e+02	2.9824e-08
9.2010e-01	1.8390e+02	1.8390e+02	2.9471e-08
9.5000e-01	1.8060e+02	1.8060e+02	2.8942e-08
9.5480e-01	1.8010e+02	1.8010e+02	2.8862e-08
9.9080e-01	1.7640e+02	1.7640e+02	2.8269e-08
1.0000e+00	1.7550e+02	1.7550e+02	2.8125e-08
1.0280e+00	1.7290e+02	1.7290e+02	2.7708e-08
1.0670e+00	1.6930e+02	1.6930e+02	2.7131e-08
1.1070e+00	1.6560e+02	1.6560e+02	2.6538e-08
1.1490e+00	1.6180e+02	1.6180e+02	2.5929e-08
1.1920e+00	1.5780e+02	1.5780e+02	2.5288e-08
1.2370e+00	1.5400e+02	1.5400e+02	2.4679e-08
1.2840e+00	1.5040e+02	1.5040e+02	2.4103e-08
1.3320e+00	1.4690e+02	1.4690e+02	2.3542e-08
1.3820e+00	1.4350e+02	1.4350e+02	2.2997e-08
1.4340e+00	1.4010e+02	1.4010e+02	2.2452e-08
1.4880e+00	1.3680e+02	1.3680e+02	2.1923e-08
1.5000e+00	1.3610e+02	1.3610e+02	2.1811e-08
1.5440e+00	1.3350e+02	1.3350e+02	2.1394e-08
1.6030e+00	1.3030e+02	1.3030e+02	2.0881e-08
1.6630e+00	1.2720e+02	1.2720e+02	2.0385e-08
1.7260e+00	1.2410e+02	1.2410e+02	1.9888e-08
1.7910e+00	1.2110e+02	1.2110e+02	1.9407e-08
1.8580e+00	1.1810e+02	1.1810e+02	1.8926e-08
1.9280e+00	1.1520e+02	1.1520e+02	1.8462e-08
2.0000e+00	1.1240e+02	1.1240e+02	1.8013e-08
2.0010e+00	1.1240e+02	1.1240e+02	1.8013e-08
2.0760e+00	1.0960e+02	1.0960e+02	1.7564e-08
2.1540e+00	1.0690e+02	1.0690e+02	1.7131e-08
2.2360e+00	1.0420e+02	1.0420e+02	1.6699e-08
2.3200e+00	1.0160e+02	1.0160e+02	1.6282e-08
2.4070e+00	9.9000e+01	9.9000e+01	1.5865e-08
2.4980e+00	9.6490e+01	9.6490e+01	1.5463e-08
2.5000e+00	9.6440e+01	9.6440e+01	1.5455e-08
2.5920e+00	9.4040e+01	9.4040e+01	1.5071e-08
2.6900e+00	9.1640e+01	9.1640e+01	1.4686e-08
2.7910e+00	8.9290e+01	8.9290e+01	1.4309e-08
2.8960e+00	8.7000e+01	8.7000e+01	1.3942e-08
3.0000e+00	8.4860e+01	8.4860e+01	1.3599e-08
3.0060e+00	8.4760e+01	8.4760e+01	1.3583e-08
3.1190e+00	8.2560e+01	8.2560e+01	1.3231e-08
3.2360e+00	8.0420e+01	8.0420e+01	1.2888e-08
3.3580e+00	7.8320e+01	7.8320e+01	1.2551e-08
3.4850e+00	7.6280e+01	7.6280e+01	1.2224e-08
3.5000e+00	7.6040e+01	7.6040e+01	1.2186e-08
3.6160e+00	7.4280e+01	7.4280e+01	1.1904e-08
3.7520e+00	7.2330e+01	7.2330e+01	1.1591e-08
3.8940e+00	7.0420e+01	7.0420e+01	1.1285e-08
4.0000e+00	6.9060e+01	6.9060e+01	1.1067e-08
4.0400e+00	6.8560e+01	6.8560e+01	1.0987e-08
4.1930e+00	6.6740e+01	6.6740e+01	1.0696e-08
4.3510e+00	6.4960e+01	6.4960e+01	1.0410e-08
4.5000e+00	6.3380e+01	6.3380e+01	1.0157e-08
4.5150e+00	6.3230e+01	6.3230e+01	1.0133e-08
4.6850e+00	6.1540e+01	6.1540e+01	9.8622e-09
4.8610e+00	5.9890e+01	5.9890e+01	9.5978e-09
5.0000e+00	5.8660e+01	5.8660e+01	9.4006e-09
5.0440e+00	5.8280e+01	5.8280e+01	9.3397e-09
5.2350e+00	5.6710e+01	5.6710e+01	9.0881e-09
5.4320e+00	5.5170e+01	5.5170e+01	8.8413e-09
5.5000e+00	5.4660e+01	5.4660e+01	8.7596e-09
5.6360e+00	5.3680e+01	5.3680e+01	8.6026e-09
5.8490e+00	5.2220e+01	5.2220e+01	8.3686e-09
6.0000e+00	5.1240e+01	5.1240e+01	8.2115e-09
6.0690e+00	5.0800e+01	5.0800e+01	8.1410e-09
6.2980e+00	4.9410e+01	4.9410e+01	7.9183e-09
6.5000e+00	4.8260e+01	4.8260e+01	7.7340e-09
6.5350e+00	4.8060e+01	4.8060e+01	7.7019e-09
6.7820e+00	4.6740e+01	4.6740e+01	7.4904e-09
7.0000e+00	4.5640e+01	4.5640e+01	7.3141e-09
7.0370e+00	4.5460e+01	4.5460e+01	7.2853e-09
