# Energy(MeV) Fluence_Sferico_Median
6.243098e+01 2.547883e+05
6.322671e+01 2.461719e+05
6.403259e+01 2.379522e+05
6.484874e+01 2.299761e+05
6.567529e+01 2.221249e+05
6.651237e+01 2.144507e+05
6.736013e+01 2.070826e+05
6.821869e+01 1.999742e+05
6.908819e+01 1.932483e+05
6.996877e+01 1.866618e+05
7.086058e+01 1.802395e+05
7.176376e+01 1.740542e+05
7.267845e+01 1.681278e+05
7.360479e+01 1.624188e+05
7.454294e+01 1.569223e+05
7.549305e+01 1.515967e+05
7.645527e+01 1.463948e+05
7.742976e+01 1.414236e+05
7.841666e+01 1.366296e+05
7.941615e+01 1.319657e+05
8.042837e+01 1.274351e+05
8.145350e+01 1.230962e+05
8.249169e+01 1.189531e+05
8.354311e+01 1.149120e+05
8.460794e+01 1.110082e+05
8.568633e+01 1.072245e+05
8.677847e+01 1.035828e+05
8.788454e+01 1.000042e+05
8.900470e+01 9.657434e+04
9.013913e+01 9.324061e+04
9.128803e+01 9.003474e+04
9.245157e+01 8.692733e+04
9.362994e+01 8.388273e+04
9.482333e+01 8.097221e+04
9.603193e+01 7.820942e+04
9.725594e+01 7.556626e+04
9.849554e+01 7.300843e+04
9.975095e+01 7.048341e+04
1.010224e+02 6.804223e+04
1.023100e+02 6.572169e+04
1.036140e+02 6.349390e+04
1.049346e+02 6.131213e+04
1.062721e+02 5.920054e+04
1.076266e+02 5.717136e+04
1.089984e+02 5.523522e+04
1.103877e+02 5.333808e+04
1.117947e+02 5.151650e+04
1.132196e+02 4.977064e+04
1.146627e+02 4.808110e+04
1.161241e+02 4.644145e+04
1.176042e+02 4.484584e+04
1.191032e+02 4.332314e+04
1.206213e+02 4.184764e+04
1.221587e+02 4.042233e+04
1.237157e+02 3.905337e+04
1.252925e+02 3.772626e+04
1.268895e+02 3.644279e+04
1.285068e+02 3.520298e+04
1.301447e+02 3.401031e+04
1.318035e+02 3.285115e+04
1.334835e+02 3.172844e+04
1.351848e+02 3.064519e+04
1.369079e+02 2.959166e+04
1.386529e+02 2.857796e+04
1.404201e+02 2.760186e+04
1.422099e+02 2.666089e+04
1.440225e+02 2.576102e+04
1.458582e+02 2.488323e+04
1.477172e+02 2.403049e+04
1.496000e+02 2.320173e+04
1.515068e+02 2.239891e+04
1.534379e+02 2.163378e+04
1.553935e+02 2.089063e+04
1.573742e+02 2.017974e+04
1.593800e+02 1.950225e+04
1.614115e+02 1.883802e+04
1.634688e+02 1.819259e+04
1.655523e+02 1.757348e+04
1.676624e+02 1.697101e+04
1.697994e+02 1.638802e+04
1.719636e+02 1.583432e+04
1.741555e+02 1.529580e+04
1.763752e+02 1.477579e+04
1.786233e+02 1.427863e+04
1.809000e+02 1.379490e+04
1.832057e+02 1.332460e+04
1.855408e+02 1.286477e+04
1.879056e+02 1.242633e+04
1.903007e+02 1.200575e+04
1.927262e+02 1.160122e+04
1.951826e+02 1.121032e+04
1.976704e+02 1.083247e+04
2.001899e+02 1.046539e+04
2.027415e+02 1.011047e+04
2.053256e+02 9.764119e+03
2.079426e+02 9.428577e+03
2.105930e+02 9.106725e+03
2.132772e+02 8.796506e+03
2.159956e+02 8.496258e+03
2.187486e+02 8.203269e+03
2.215367e+02 7.923191e+03
2.243604e+02 7.653195e+03
2.272201e+02 7.392006e+03
2.301162e+02 7.139051e+03
2.330492e+02 6.896196e+03
2.360196e+02 6.659457e+03
2.390278e+02 6.431254e+03
2.420744e+02 6.212187e+03
2.451599e+02 5.999311e+03
2.482846e+02 5.792113e+03
2.514492e+02 5.591189e+03
2.546542e+02 5.397234e+03
2.578999e+02 5.211561e+03
2.611871e+02 5.033314e+03
2.645161e+02 4.862903e+03
2.678876e+02 4.696103e+03
2.713020e+02 4.537506e+03
2.747600e+02 4.384583e+03
2.782620e+02 4.235984e+03
2.818087e+02 4.091497e+03
2.854006e+02 3.952398e+03
2.890383e+02 3.818862e+03
2.927223e+02 3.689220e+03
2.964533e+02 3.564318e+03
3.002318e+02 3.443226e+03
3.040585e+02 3.326028e+03
3.079340e+02 3.212850e+03
3.118588e+02 3.104395e+03
3.158337e+02 2.998127e+03
3.198593e+02 2.894887e+03
3.239362e+02 2.795509e+03
3.280650e+02 2.699924e+03
3.322464e+02 2.607924e+03
3.364812e+02 2.519173e+03
3.407699e+02 2.433448e+03
3.451133e+02 2.350997e+03
3.495121e+02 2.270131e+03
3.539669e+02 2.192698e+03
3.584785e+02 2.117907e+03
3.630476e+02 2.045667e+03
3.676749e+02 1.976448e+03
3.723612e+02 1.909843e+03
3.771073e+02 1.845318e+03
3.819138e+02 1.783246e+03
3.867816e+02 1.723032e+03
3.917114e+02 1.665332e+03
3.967041e+02 1.608272e+03
4.017604e+02 1.552896e+03
4.068812e+02 1.499677e+03
4.120672e+02 1.448868e+03
4.173194e+02 1.399703e+03
4.226384e+02 1.352090e+03
4.280253e+02 1.305775e+03
4.334808e+02 1.261082e+03
4.390059e+02 1.218258e+03
4.446014e+02 1.176889e+03
4.502682e+02 1.137255e+03
4.560072e+02 1.098494e+03
4.618194e+02 1.060693e+03
4.677057e+02 1.024390e+03
4.736670e+02 9.895267e+02
4.797042e+02 9.559279e+02
4.858185e+02 9.233204e+02
4.920106e+02 8.918251e+02
4.982817e+02 8.613216e+02
5.046327e+02 8.317760e+02
5.110646e+02 8.033379e+02
5.175786e+02 7.759529e+02
5.241755e+02 7.495014e+02
5.308566e+02 7.238983e+02
5.376228e+02 6.990135e+02
5.444752e+02 6.749841e+02
5.514150e+02 6.517808e+02
5.584432e+02 6.293752e+02
5.655610e+02 6.077398e+02
5.727696e+02 5.870443e+02
5.800700e+02 5.670821e+02
5.874635e+02 5.477987e+02
5.949511e+02 5.290099e+02
6.025343e+02 5.107733e+02
6.102141e+02 4.934470e+02
6.179917e+02 4.767665e+02
6.258686e+02 4.607825e+02
6.338458e+02 4.452706e+02
6.419246e+02 4.301616e+02
6.501065e+02 4.155654e+02
6.583926e+02 4.014645e+02
6.667844e+02 3.877377e+02
6.752831e+02 3.744793e+02
6.838901e+02 3.617096e+02
6.926068e+02 3.494548e+02
7.014347e+02 3.376152e+02
7.103750e+02 3.261776e+02
7.194293e+02 3.152350e+02
7.285991e+02 3.045549e+02
7.378856e+02 2.942686e+02
7.472906e+02 2.844262e+02
7.568154e+02 2.748088e+02
7.664616e+02 2.652172e+02
7.762308e+02 2.559603e+02
7.861245e+02 2.470685e+02
7.961443e+02 2.385783e+02
8.062918e+02 2.305143e+02
8.165687e+02 2.226672e+02
8.269765e+02 2.151265e+02
8.375170e+02 2.077863e+02
8.481918e+02 2.007131e+02
8.590027e+02 1.939275e+02
8.699514e+02 1.873713e+02
8.810396e+02 1.810367e+02
8.922692e+02 1.748794e+02
9.036419e+02 1.689301e+02
9.151595e+02 1.631831e+02
9.268240e+02 1.575978e+02
9.386371e+02 1.521964e+02
9.506008e+02 1.469753e+02
9.627170e+02 1.419275e+02
9.749876e+02 1.370530e+02
9.874146e+02 1.323460e+02
1.000000e+03 1.278516e+02
