# Energy(MeV) Fluence_Omni
5.074705e-01 1.000000e-40
5.169242e-01 1.000000e-40
5.265540e-01 1.000000e-40
5.363631e-01 1.000000e-40
5.463550e-01 1.000000e-40
5.565331e-01 1.000000e-40
5.669007e-01 1.000000e-40
5.774615e-01 1.000000e-40
5.882190e-01 1.000000e-40
5.991770e-01 1.000000e-40
6.103390e-01 1.000000e-40
6.217090e-01 1.000000e-40
6.332908e-01 1.000000e-40
6.450884e-01 1.000000e-40
6.571058e-01 1.000000e-40
6.693470e-01 1.000000e-40
6.818162e-01 1.000000e-40
6.945178e-01 1.000000e-40
7.074559e-01 1.000000e-40
7.206351e-01 1.000000e-40
7.340598e-01 1.000000e-40
7.477346e-01 1.000000e-40
7.616642e-01 1.000000e-40
7.758532e-01 1.000000e-40
7.903066e-01 1.000000e-40
8.050292e-01 1.000000e-40
8.200261e-01 1.000000e-40
8.353023e-01 1.000000e-40
8.508632e-01 1.000000e-40
8.667139e-01 1.000000e-40
8.828599e-01 1.000000e-40
8.993067e-01 1.000000e-40
9.160598e-01 1.000000e-40
9.331251e-01 1.000000e-40
9.505083e-01 1.000000e-40
9.682153e-01 1.000000e-40
9.862522e-01 1.000000e-40
1.004625e+00 1.000000e-40
1.023340e+00 1.000000e-40
1.042404e+00 1.000000e-40
1.061823e+00 1.000000e-40
1.081604e+00 1.000000e-40
1.101753e+00 1.000000e-40
1.122277e+00 1.000000e-40
1.143184e+00 1.000000e-40
1.164481e+00 1.000000e-40
1.186174e+00 1.000000e-40
1.208271e+00 1.000000e-40
1.230780e+00 1.000000e-40
1.253708e+00 1.000000e-40
1.277063e+00 1.000000e-40
1.300854e+00 1.000000e-40
1.325087e+00 1.000000e-40
1.349772e+00 1.000000e-40
1.374917e+00 1.000000e-40
1.400531e+00 1.000000e-40
1.426621e+00 1.000000e-40
1.453198e+00 1.000000e-40
1.480269e+00 1.000000e-40
1.507845e+00 1.000000e-40
1.535935e+00 1.000000e-40
1.564548e+00 1.000000e-40
1.593694e+00 1.000000e-40
1.623382e+00 1.000000e-40
1.653624e+00 1.000000e-40
1.684430e+00 1.000000e-40
1.715809e+00 1.000000e-40
1.747773e+00 1.000000e-40
1.780332e+00 1.000000e-40
1.813498e+00 1.000000e-40
1.847281e+00 1.000000e-40
1.881694e+00 1.000000e-40
1.916748e+00 1.000000e-40
1.952456e+00 1.000000e-40
1.988828e+00 1.000000e-40
2.025878e+00 1.000000e-40
2.063618e+00 1.000000e-40
2.102061e+00 1.000000e-40
2.141220e+00 1.000000e-40
2.181109e+00 1.000000e-40
2.221741e+00 1.000000e-40
2.263130e+00 1.000000e-40
2.305289e+00 1.000000e-40
2.348235e+00 1.000000e-40
2.391980e+00 1.000000e-40
2.436540e+00 1.000000e-40
2.481930e+00 1.000000e-40
2.528166e+00 1.000000e-40
2.575263e+00 1.000000e-40
2.623238e+00 1.000000e-40
2.672106e+00 1.000000e-40
2.721885e+00 1.000000e-40
2.772591e+00 1.000000e-40
2.824241e+00 1.000000e-40
2.876854e+00 1.000000e-40
2.930447e+00 1.000000e-40
2.985038e+00 1.000000e-40
3.040646e+00 1.000000e-40
3.097291e+00 1.000000e-40
3.154990e+00 1.000000e-40
3.213764e+00 1.000000e-40
3.273634e+00 1.000000e-40
3.334618e+00 1.000000e-40
3.396739e+00 1.000000e-40
3.460016e+00 1.000000e-40
3.524473e+00 1.000000e-40
3.590130e+00 1.000000e-40
3.657011e+00 1.000000e-40
3.725137e+00 1.000000e-40
3.794533e+00 1.000000e-40
3.865221e+00 1.000000e-40
3.937226e+00 1.000000e-40
4.010573e+00 1.000000e-40
4.085286e+00 1.000000e-40
4.161391e+00 1.000000e-40
4.238913e+00 1.000000e-40
4.317880e+00 1.000000e-40
4.398317e+00 1.000000e-40
4.480254e+00 1.000000e-40
4.563716e+00 1.000000e-40
4.648734e+00 1.000000e-40
4.735335e+00 1.000000e-40
4.823549e+00 1.000000e-40
4.913407e+00 1.000000e-40
5.004939e+00 1.000000e-40
5.098176e+00 1.000000e-40
5.193150e+00 1.000000e-40
5.289893e+00 1.000000e-40
5.388438e+00 1.000000e-40
5.488820e+00 1.000000e-40
5.591071e+00 1.000000e-40
5.695227e+00 1.000000e-40
5.801323e+00 1.000000e-40
5.909396e+00 1.000000e-40
6.019482e+00 1.000000e-40
6.131619e+00 1.000000e-40
6.245845e+00 1.000000e-40
6.362198e+00 1.000000e-40
