Energy(MeV)	Elec. Stopping Power(MeV cm2 g-1)	Ionizing Dose*(MeV g-1)	Ionizing Dose*(Gy)
3.0000e+02	2.8600e+00	2.8600e+00	4.5833e-10
3.5000e+02	2.6360e+00	2.6360e+00	4.2244e-10
4.0000e+02	2.4680e+00	2.4680e+00	3.9551e-10
4.5000e+02	2.3380e+00	2.3380e+00	3.7468e-10
5.0000e+02	2.2350e+00	2.2350e+00	3.5817e-10
5.5000e+02	2.1520e+00	2.1520e+00	3.4487e-10
6.0000e+02	2.0840e+00	2.0840e+00	3.3397e-10
6.5000e+02	2.0270e+00	2.0270e+00	3.2484e-10
7.0000e+02	1.9790e+00	1.9790e+00	3.1715e-10
7.5000e+02	1.9380e+00	1.9380e+00	3.1058e-10
8.0000e+02	1.9040e+00	1.9040e+00	3.0513e-10
8.5000e+02	1.8740e+00	1.8740e+00	3.0032e-10
9.0000e+02	1.8480e+00	1.8480e+00	2.9615e-10
9.5000e+02	1.8250e+00	1.8250e+00	2.9247e-10
1.0000e+03	1.8050e+00	1.8050e+00	2.8926e-10
1.5000e+03	1.7000e+00	1.7000e+00	2.7244e-10
2.0000e+03	1.6690e+00	1.6690e+00	2.6747e-10
2.5000e+03	1.6650e+00	1.6650e+00	2.6683e-10
3.0000e+03	1.6710e+00	1.6710e+00	2.6779e-10
3.5000e+03	1.6820e+00	1.6820e+00	2.6955e-10
4.0000e+03	1.6950e+00	1.6950e+00	2.7163e-10
4.5000e+03	1.7080e+00	1.7080e+00	2.7372e-10
5.0000e+03	1.7220e+00	1.7220e+00	2.7596e-10
