Energy (MeV)    Incoming Spectral Fluence (MeV-1 cm-2)  Residual Spectral Fluence (MeV-1 cm-2)
1.0000e-03  0.0000e+00	2.3879e+05
2.6197e+01	1.2063e+06	4.5166e+05
2.7260e+01	1.1139e+06	4.3835e+05
2.8366e+01	1.0284e+06	4.2461e+05
2.9517e+01	9.4944e+05	4.1048e+05
3.0714e+01	8.7642e+05	3.9612e+05
3.1961e+01	8.0893e+05	3.8151e+05
3.3257e+01	7.4655e+05	3.6673e+05
3.4607e+01	6.8890e+05	3.5190e+05
3.6011e+01	6.3563e+05	3.3691e+05
3.7472e+01	5.8640e+05	3.2202e+05
3.8993e+01	5.4091e+05	3.0725e+05
4.0575e+01	4.9889e+05	2.9266e+05
4.2221e+01	4.6006e+05	2.7830e+05
4.3934e+01	4.2419e+05	2.6423e+05
4.5717e+01	3.9106e+05	2.5042e+05
4.7572e+01	3.6046e+05	2.3694e+05
4.9502e+01	3.3220e+05	2.2386e+05
5.1510e+01	3.0610e+05	2.1117e+05
5.3600e+01	2.8200e+05	1.9893e+05
5.5775e+01	2.5975e+05	1.8714e+05
5.8038e+01	2.3921e+05	1.7580e+05
6.0393e+01	2.2025e+05	1.6493e+05
6.2844e+01	2.0274e+05	1.5452e+05
6.5393e+01	1.8659e+05	1.4461e+05
6.8047e+01	1.7169e+05	1.3517e+05
7.0808e+01	1.5794e+05	1.2620e+05
7.3681e+01	1.4525e+05	1.1768e+05
7.6670e+01	1.3355e+05	1.0962e+05
7.9781e+01	1.2276e+05	1.0200e+05
8.3018e+01	1.1280e+05	9.4823e+04
8.6387e+01	1.0363e+05	8.8063e+04
8.9892e+01	9.5172e+04	8.1708e+04
9.3539e+01	8.7377e+04	7.5721e+04
9.7334e+01	8.0194e+04	7.0152e+04
1.0128e+02	7.3577e+04	6.4930e+04
1.0539e+02	6.7482e+04	6.0003e+04
1.0967e+02	6.1869e+04	5.5404e+04
1.1412e+02	5.6701e+04	5.1116e+04
1.1875e+02	5.1944e+04	4.7122e+04
1.2357e+02	4.7566e+04	4.3406e+04
1.2858e+02	4.3539e+04	3.9951e+04
1.3380e+02	3.9834e+04	3.6742e+04
1.3923e+02	3.6428e+04	3.3764e+04
1.4488e+02	3.3296e+04	3.1003e+04
1.5075e+02	3.0419e+04	2.8476e+04
1.5687e+02	2.7775e+04	2.6101e+04
1.6324e+02	2.5348e+04	2.3906e+04
1.6986e+02	2.3119e+04	2.1879e+04
1.7675e+02	2.1073e+04	2.0007e+04
1.8392e+02	1.9197e+04	1.8280e+04
1.9139e+02	1.7477e+04	1.6689e+04
1.9915e+02	1.5900e+04	1.5231e+04
2.0723e+02	1.4455e+04	1.3882e+04
2.1564e+02	1.3132e+04	1.2640e+04
2.2439e+02	1.1921e+04	1.1499e+04
2.3349e+02	1.0813e+04	1.0451e+04
2.4297e+02	9.8004e+03	9.4900e+03
2.5283e+02	8.8749e+03	8.6125e+03
2.6308e+02	8.0297e+03	7.8047e+03
2.7376e+02	7.2583e+03	7.0655e+03
2.8487e+02	6.5547e+03	6.3896e+03
2.9643e+02	5.9134e+03	5.7723e+03
3.0845e+02	5.3293e+03	5.2099e+03
3.2097e+02	4.7977e+03	4.6956e+03
3.3399e+02	4.3143e+03	4.2270e+03
3.4754e+02	3.8751e+03	3.8007e+03
3.6164e+02	3.4763e+03	3.4134e+03
3.7632e+02	3.1146e+03	3.0609e+03
3.9159e+02	2.7869e+03	2.7411e+03
4.0748e+02	2.4903e+03	2.4516e+03
4.2401e+02	2.2220e+03	2.1891e+03
4.4121e+02	1.9797e+03	1.9517e+03
4.5911e+02	1.7611e+03	1.7375e+03
4.7774e+02	1.5642e+03	1.5441e+03
4.9713e+02	1.3869e+03	1.3699e+03
5.1730e+02	1.2276e+03	1.2132e+03
5.3829e+02	1.0846e+03	1.0725e+03
5.6013e+02	9.5647e+02	9.4627e+02
5.8285e+02	8.4182e+02	8.3319e+02
6.0650e+02	7.3940e+02	7.3216e+02
6.3111e+02	6.4806e+02	6.4197e+02
6.5672e+02	5.6676e+02	5.6164e+02
6.8337e+02	4.9451e+02	4.9021e+02
7.1109e+02	4.3045e+02	4.2686e+02
7.3995e+02	3.7375e+02	3.7074e+02
7.6997e+02	3.2368e+02	3.2117e+02
8.0121e+02	2.7956e+02	2.7747e+02
8.3372e+02	2.4078e+02	2.3904e+02
8.6755e+02	2.0678e+02	2.0533e+02
9.0275e+02	1.7703e+02	1.7584e+02
9.3937e+02	1.5109e+02	1.5010e+02
9.7749e+02	1.2853e+02	1.2771e+02
1.0172e+03	1.0896e+02	1.0829e+02
1.0584e+03	9.2043e+01	9.1493e+01
1.1014e+03	7.7464e+01	7.7014e+01
1.1461e+03	6.4944e+01	6.4575e+01
1.1926e+03	5.4229e+01	5.3928e+01
1.2409e+03	4.5094e+01	4.4848e+01
1.2913e+03	3.7334e+01	3.7137e+01
1.3437e+03	3.0771e+01	3.0611e+01
1.3982e+03	2.5242e+01	2.5113e+01
1.4549e+03	2.0606e+01	2.0503e+01
1.5140e+03	1.6735e+01	1.6655e+01
1.5754e+03	1.3520e+01	1.3456e+01
1.6393e+03	1.0862e+01	1.0812e+01
1.7058e+03	8.6771e+00	8.6376e+00
1.7750e+03	6.8903e+00	6.8593e+00
1.8471e+03	5.4375e+00	5.4132e+00
1.9220e+03	4.2633e+00	4.2446e+00
2.0000e+03	3.3203e+00	3.3065e+00
