# E(MeV) Fluence(4Pi)
5.822706e+01 3.797112e+05
5.928525e+01 3.605372e+05
6.036268e+01 3.417266e+05
6.145969e+01 3.240098e+05
6.257663e+01 3.074096e+05
6.371387e+01 2.917993e+05
6.487178e+01 2.769497e+05
6.605073e+01 2.629951e+05
6.725111e+01 2.496276e+05
6.847330e+01 2.369884e+05
6.971771e+01 2.249499e+05
7.098473e+01 2.135498e+05
7.227477e+01 2.026597e+05
7.358827e+01 1.925375e+05
7.492563e+01 1.828479e+05
7.628730e+01 1.736701e+05
7.767371e+01 1.648417e+05
7.908532e+01 1.563091e+05
8.052258e+01 1.483840e+05
8.198596e+01 1.408423e+05
8.347594e+01 1.336583e+05
8.499300e+01 1.268235e+05
8.653763e+01 1.205411e+05
8.811033e+01 1.144725e+05
8.971161e+01 1.087500e+05
9.134199e+01 1.031691e+05
9.300200e+01 9.794144e+04
9.469218e+01 9.306317e+04
9.641307e+01 8.829490e+04
9.816524e+01 8.383876e+04
9.994926e+01 7.951958e+04
1.017657e+02 7.548645e+04
1.036151e+02 7.165161e+04
1.054982e+02 6.800661e+04
1.074155e+02 6.453792e+04
1.093676e+02 6.121221e+04
1.113552e+02 5.810380e+04
1.133789e+02 5.513607e+04
1.154394e+02 5.236421e+04
1.175374e+02 4.971351e+04
1.196734e+02 4.721488e+04
1.218483e+02 4.485620e+04
1.240628e+02 4.259812e+04
1.263174e+02 4.046404e+04
1.286131e+02 3.844214e+04
1.309504e+02 3.650968e+04
1.333303e+02 3.467100e+04
1.357534e+02 3.292387e+04
1.382205e+02 3.126224e+04
1.407324e+02 2.966852e+04
1.432901e+02 2.816066e+04
1.458941e+02 2.672370e+04
1.485456e+02 2.536082e+04
1.512452e+02 2.405529e+04
1.539938e+02 2.281019e+04
1.567925e+02 2.166201e+04
1.596419e+02 2.056786e+04
1.625432e+02 1.952269e+04
1.654972e+02 1.853035e+04
1.685049e+02 1.758817e+04
1.715672e+02 1.669363e+04
1.746852e+02 1.584694e+04
1.778599e+02 1.507390e+04
1.810922e+02 1.432493e+04
1.843833e+02 1.361007e+04
1.877342e+02 1.292732e+04
1.911460e+02 1.227409e+04
1.946198e+02 1.164704e+04
1.981567e+02 1.104656e+04
2.017580e+02 1.047688e+04
2.054246e+02 9.946046e+03
2.091579e+02 9.459031e+03
2.129591e+02 8.974762e+03
2.168293e+02 8.525172e+03
2.207699e+02 8.098027e+03
2.247821e+02 7.689409e+03
2.288671e+02 7.298259e+03
2.330265e+02 6.926926e+03
2.372614e+02 6.574408e+03
2.415733e+02 6.235958e+03
2.459636e+02 5.913617e+03
