# Energy(MeV) Phi_16_Planar Phi_84_Planar
3.444087e+02 6.145936e+03 2.421113e+04
3.492096e+02 5.910446e+03 2.342094e+04
3.540774e+02 5.667421e+03 2.265657e+04
3.590130e+02 5.438109e+03 2.189425e+04
3.640175e+02 5.220758e+03 2.116152e+04
3.690917e+02 5.010034e+03 2.049324e+04
3.742366e+02 4.811155e+03 1.984664e+04
3.794533e+02 4.616474e+03 1.921887e+04
3.847427e+02 4.430303e+03 1.859991e+04
3.901058e+02 4.253598e+03 1.800097e+04
3.955436e+02 4.085073e+03 1.741418e+04
4.010573e+02 3.928757e+03 1.683973e+04
4.066478e+02 3.769399e+03 1.627461e+04
4.123163e+02 3.616082e+03 1.572849e+04
4.180637e+02 3.468718e+03 1.520074e+04
4.238913e+02 3.327489e+03 1.469073e+04
4.298001e+02 3.191708e+03 1.420365e+04
4.357913e+02 3.064629e+03 1.380192e+04
4.418660e+02 2.941184e+03 1.333246e+04
4.480254e+02 2.823063e+03 1.287863e+04
4.542706e+02 2.706067e+03 1.244028e+04
4.606029e+02 2.601169e+03 1.201688e+04
4.670234e+02 2.496169e+03 1.160791e+04
4.735335e+02 2.394524e+03 1.121423e+04
4.801343e+02 2.295622e+03 1.085845e+04
4.868271e+02 2.200958e+03 1.051399e+04
4.936132e+02 2.111106e+03 1.018048e+04
5.004939e+02 2.024518e+03 9.857576e+03
5.074705e+02 1.942542e+03 9.544941e+03
5.145444e+02 1.863195e+03 9.238040e+03
5.217169e+02 1.791604e+03 8.934888e+03
5.289893e+02 1.717759e+03 8.641709e+03
5.363631e+02 1.646954e+03 8.358174e+03
5.438397e+02 1.579066e+03 8.083966e+03
5.514206e+02 1.513559e+03 7.818778e+03
5.591071e+02 1.450487e+03 7.562312e+03
5.669007e+02 1.390868e+03 7.375773e+03
5.748030e+02 1.333626e+03 7.159923e+03
5.828155e+02 1.278625e+03 6.933874e+03
5.909396e+02 1.225913e+03 6.711677e+03
5.991770e+02 1.175372e+03 6.495779e+03
6.075292e+02 1.126913e+03 6.285218e+03
6.159978e+02 1.080450e+03 6.081420e+03
6.245845e+02 1.035900e+03 5.881756e+03
6.332908e+02 9.931858e+02 5.688053e+03
6.421186e+02 9.524041e+02 5.502826e+03
6.510694e+02 9.134149e+02 5.334131e+03
6.601449e+02 8.760200e+02 5.164573e+03
6.693470e+02 8.401544e+02 5.014882e+03
6.786773e+02 8.057556e+02 4.852640e+03
6.881377e+02 7.727635e+02 4.692455e+03
6.977300e+02 7.411208e+02 4.537573e+03
7.074559e+02 7.107722e+02 4.388645e+03
7.173175e+02 6.816650e+02 4.247637e+03
7.273165e+02 6.538259e+02 4.111172e+03
7.374549e+02 6.267744e+02 3.979105e+03
7.477346e+02 6.004309e+02 3.851293e+03
7.581576e+02 5.750458e+02 3.727599e+03
7.687260e+02 5.508755e+02 3.607128e+03
7.794416e+02 5.277198e+02 3.490408e+03
7.903066e+02 5.055853e+02 3.377477e+03
8.013230e+02 4.846164e+02 3.268211e+03
8.124930e+02 4.645343e+02 3.162492e+03
8.238187e+02 4.453333e+02 3.067411e+03
8.353023e+02 4.269247e+02 2.983977e+03
8.469460e+02 4.092760e+02 2.896531e+03
8.587519e+02 3.918045e+02 2.801433e+03
8.707225e+02 3.754819e+02 2.709470e+03
8.828599e+02 3.600319e+02 2.620537e+03
8.951665e+02 3.452605e+02 2.534536e+03
9.076446e+02 3.311524e+02 2.451369e+03
9.202967e+02 3.176729e+02 2.370942e+03
9.331251e+02 3.045362e+02 2.293165e+03
9.461324e+02 2.920145e+02 2.217951e+03
9.593209e+02 2.801585e+02 2.145215e+03
9.726934e+02 2.687828e+02 2.074874e+03
9.862522e+02 2.578679e+02 2.006851e+03
1.000000e+03 2.476498e+02 1.941067e+03
