# Energy(MeV) Phi_16_Spherical Phi_84_Spherical
1.387665e+01 1.755643e+08 2.650683e+08
1.407008e+01 1.703709e+08 2.577728e+08
1.426621e+01 1.650651e+08 2.502776e+08
1.446507e+01 1.599248e+08 2.429812e+08
1.466671e+01 1.551821e+08 2.363244e+08
1.487115e+01 1.504572e+08 2.295151e+08
1.507845e+01 1.459592e+08 2.230916e+08
1.528864e+01 1.413963e+08 2.162546e+08
1.550175e+01 1.369074e+08 2.094131e+08
1.571784e+01 1.326934e+08 2.033842e+08
1.593694e+01 1.286422e+08 1.973897e+08
1.615909e+01 1.245940e+08 1.917084e+08
1.638434e+01 1.205254e+08 1.860074e+08
1.661273e+01 1.167263e+08 1.803778e+08
1.684430e+01 1.128814e+08 1.747582e+08
1.707910e+01 1.092153e+08 1.693438e+08
1.731717e+01 1.053919e+08 1.640289e+08
1.755856e+01 1.018169e+08 1.589229e+08
1.780332e+01 9.828900e+07 1.539681e+08
1.805149e+01 9.505117e+07 1.492618e+08
1.830312e+01 9.196979e+07 1.448668e+08
1.855825e+01 8.897105e+07 1.402192e+08
1.881694e+01 8.588659e+07 1.355576e+08
1.907924e+01 8.285584e+07 1.314820e+08
1.934520e+01 8.032710e+07 1.275634e+08
1.961486e+01 7.779280e+07 1.236017e+08
1.988828e+01 7.515389e+07 1.195640e+08
2.016551e+01 7.277539e+07 1.157506e+08
2.044661e+01 7.039102e+07 1.117782e+08
2.073162e+01 6.811804e+07 1.079084e+08
2.102061e+01 6.581343e+07 1.041814e+08
2.131362e+01 6.373048e+07 1.008542e+08
2.161073e+01 6.161751e+07 9.749508e+07
2.191197e+01 5.957917e+07 9.430336e+07
2.221741e+01 5.759898e+07 9.117182e+07
2.252711e+01 5.565475e+07 8.812204e+07
2.284112e+01 5.368136e+07 8.519154e+07
2.315951e+01 5.200034e+07 8.251823e+07
2.348235e+01 5.015685e+07 7.972127e+07
2.380968e+01 4.835082e+07 7.700517e+07
2.414157e+01 4.662149e+07 7.464516e+07
2.447809e+01 4.495034e+07 7.222845e+07
2.481930e+01 4.341650e+07 6.978376e+07
2.516527e+01 4.194238e+07 6.731521e+07
2.551606e+01 4.058542e+07 6.500153e+07
2.587174e+01 3.930992e+07 6.264513e+07
2.623238e+01 3.802738e+07 6.047347e+07
2.659804e+01 3.661874e+07 5.840115e+07
2.696881e+01 3.531069e+07 5.623401e+07
2.734474e+01 3.411250e+07 5.421806e+07
2.772591e+01 3.297771e+07 5.230067e+07
2.811239e+01 3.186214e+07 5.043770e+07
2.850426e+01 3.076754e+07 4.860307e+07
2.890160e+01 2.966347e+07 4.687504e+07
2.930447e+01 2.857925e+07 4.523634e+07
2.971296e+01 2.759833e+07 4.372007e+07
3.012714e+01 2.666732e+07 4.226594e+07
3.054710e+01 2.566526e+07 4.069494e+07
3.097291e+01 2.484788e+07 3.916481e+07
3.140465e+01 2.404727e+07 3.775466e+07
3.184242e+01 2.321721e+07 3.634204e+07
3.228628e+01 2.238550e+07 3.512130e+07
3.273634e+01 2.159396e+07 3.389870e+07
3.319266e+01 2.080805e+07 3.265441e+07
3.365535e+01 2.005863e+07 3.140521e+07
3.412449e+01 1.933891e+07 3.024338e+07
3.460016e+01 1.868553e+07 2.915730e+07
3.508247e+01 1.799640e+07 2.816239e+07
3.557150e+01 1.737867e+07 2.709741e+07
3.606735e+01 1.673790e+07 2.611702e+07
3.657011e+01 1.617053e+07 2.520561e+07
3.707988e+01 1.557717e+07 2.428012e+07
3.759675e+01 1.498454e+07 2.336960e+07
3.812083e+01 1.444698e+07 2.252471e+07
3.865221e+01 1.391260e+07 2.169666e+07
3.919100e+01 1.341614e+07 2.090137e+07
3.973730e+01 1.294974e+07 2.011920e+07
4.029122e+01 1.248346e+07 1.935681e+07
4.085286e+01 1.203979e+07 1.866924e+07
4.142232e+01 1.157799e+07 1.804425e+07
4.199973e+01 1.115867e+07 1.742830e+07
4.258518e+01 1.077228e+07 1.679488e+07
4.317880e+01 1.037272e+07 1.619115e+07
4.378069e+01 9.988421e+06 1.559346e+07
4.439097e+01 9.640781e+06 1.502649e+07
4.500975e+01 9.282213e+06 1.451059e+07
4.563716e+01 8.939452e+06 1.397577e+07
4.627332e+01 8.606415e+06 1.348000e+07
4.691835e+01 8.271983e+06 1.300007e+07
4.757236e+01 7.967554e+06 1.252827e+07
4.823549e+01 7.684486e+06 1.207802e+07
4.890787e+01 7.394901e+06 1.165392e+07
4.958962e+01 7.121451e+06 1.123005e+07
5.028087e+01 6.838954e+06 1.084198e+07
5.098176e+01 6.565163e+06 1.043906e+07
5.169242e+01 6.320273e+06 1.004077e+07
5.241298e+01 6.086597e+06 9.696955e+06
5.314359e+01 5.855730e+06 9.361328e+06
5.388438e+01 5.639580e+06 9.035464e+06
5.463550e+01 5.418252e+06 8.702513e+06
5.539709e+01 5.212449e+06 8.410091e+06
5.616930e+01 5.029003e+06 8.112744e+06
5.695227e+01 4.852358e+06 7.820293e+06
5.774615e+01 4.666402e+06 7.544658e+06
5.855110e+01 4.491663e+06 7.270970e+06
5.936727e+01 4.319119e+06 6.989644e+06
6.019482e+01 4.152889e+06 6.750403e+06
6.103390e+01 3.993971e+06 6.509007e+06
6.188468e+01 3.837553e+06 6.287860e+06
6.274732e+01 3.694434e+06 6.069526e+06
6.362198e+01 3.551402e+06 5.867054e+06
6.450884e+01 3.412422e+06 5.664748e+06
6.540806e+01 3.271644e+06 5.479940e+06
6.631981e+01 3.137778e+06 5.287265e+06
6.724427e+01 3.018961e+06 5.098745e+06
6.818162e+01 2.897316e+06 4.917323e+06
6.913204e+01 2.779405e+06 4.753834e+06
7.009570e+01 2.676089e+06 4.592989e+06
7.107280e+01 2.564605e+06 4.443361e+06
7.206351e+01 2.463376e+06 4.283712e+06
7.306804e+01 2.366997e+06 4.135780e+06
7.408657e+01 2.275193e+06 3.994240e+06
7.511929e+01 2.186480e+06 3.856979e+06
7.616642e+01 2.099871e+06 3.725295e+06
7.722814e+01 2.018373e+06 3.597114e+06
7.830465e+01 1.934361e+06 3.475109e+06
7.939618e+01 1.859427e+06 3.363064e+06
8.050292e+01 1.783887e+06 3.254062e+06
8.162509e+01 1.714998e+06 3.148708e+06
8.276289e+01 1.647961e+06 3.033690e+06
8.391656e+01 1.583988e+06 2.935726e+06
8.508632e+01 1.524410e+06 2.839884e+06
8.627237e+01 1.466348e+06 2.740789e+06
8.747496e+01 1.408023e+06 2.652711e+06
8.869432e+01 1.351677e+06 2.564594e+06
8.993067e+01 1.296442e+06 2.481398e+06
9.118425e+01 1.246462e+06 2.400058e+06
9.245531e+01 1.197499e+06 2.318259e+06
9.374409e+01 1.150493e+06 2.241608e+06
9.505083e+01 1.105246e+06 2.170665e+06
9.637579e+01 1.060981e+06 2.096701e+06
9.771921e+01 1.020171e+06 2.022348e+06
9.908137e+01 9.801701e+05 1.956266e+06
1.004625e+02 9.418201e+05 1.892711e+06
1.018629e+02 9.052812e+05 1.832367e+06
1.032828e+02 8.687725e+05 1.773658e+06
1.047225e+02 8.340601e+05 1.716635e+06
1.061823e+02 7.996934e+05 1.659694e+06
1.076624e+02 7.689954e+05 1.605014e+06
1.091632e+02 7.389008e+05 1.552097e+06
1.106848e+02 7.105684e+05 1.500342e+06
1.122277e+02 6.826531e+05 1.450241e+06
1.137921e+02 6.552277e+05 1.400668e+06
1.153783e+02 6.290610e+05 1.352879e+06
1.169866e+02 6.055528e+05 1.307010e+06
1.186174e+02 5.818646e+05 1.265421e+06
1.202708e+02 5.584053e+05 1.225272e+06
1.219473e+02 5.367401e+05 1.184942e+06
1.236472e+02 5.155590e+05 1.145941e+06
1.253708e+02 4.946425e+05 1.108366e+06
1.271184e+02 4.750370e+05 1.072610e+06
1.288904e+02 4.565966e+05 1.037914e+06
1.306870e+02 4.377729e+05 1.004246e+06
1.325087e+02 4.207329e+05 9.716185e+05
1.343558e+02 4.049377e+05 9.390972e+05
1.362287e+02 3.889213e+05 9.091058e+05
1.381276e+02 3.730724e+05 8.799599e+05
1.400531e+02 3.581302e+05 8.494466e+05
1.420053e+02 3.432713e+05 8.198903e+05
1.439848e+02 3.295426e+05 7.913634e+05
1.459919e+02 3.157690e+05 7.648918e+05
1.480269e+02 3.031865e+05 7.394869e+05
1.500903e+02 2.907842e+05 7.149267e+05
1.521825e+02 2.790018e+05 6.924341e+05
