# Energy(MeV) Fluence_Planar_Median(cm^-2*MeV^-1)
8.509090e+00 1.715151e+07
8.640939e+00 1.646235e+07
8.774830e+00 1.580313e+07
8.910797e+00 1.517409e+07
9.048869e+00 1.456640e+07
9.189082e+00 1.400063e+07
9.331467e+00 1.343854e+07
9.476058e+00 1.290320e+07
9.622890e+00 1.238940e+07
9.771997e+00 1.188281e+07
9.923414e+00 1.139799e+07
1.007718e+01 1.093477e+07
1.023332e+01 1.049284e+07
1.039189e+01 1.007188e+07
1.055291e+01 9.667242e+06
1.071643e+01 9.277566e+06
1.088248e+01 8.907495e+06
1.105110e+01 8.550033e+06
1.122234e+01 8.201978e+06
1.139623e+01 7.867284e+06
1.157282e+01 7.551403e+06
1.175214e+01 7.250135e+06
1.193424e+01 6.959848e+06
1.211916e+01 6.673272e+06
1.230694e+01 6.401037e+06
1.249764e+01 6.139254e+06
1.269129e+01 5.888408e+06
1.288794e+01 5.649866e+06
1.308764e+01 5.417851e+06
1.329044e+01 5.193683e+06
1.349637e+01 4.978900e+06
1.370550e+01 4.775030e+06
1.391787e+01 4.578951e+06
1.413352e+01 4.390949e+06
1.435252e+01 4.207669e+06
1.457491e+01 4.035692e+06
1.480075e+01 3.871600e+06
1.503009e+01 3.710801e+06
1.526298e+01 3.558960e+06
1.549948e+01 3.412563e+06
1.573965e+01 3.271838e+06
1.598353e+01 3.135384e+06
1.623120e+01 3.006674e+06
1.648270e+01 2.880891e+06
1.673810e+01 2.761723e+06
1.699746e+01 2.647196e+06
1.726083e+01 2.538538e+06
1.752829e+01 2.436274e+06
1.779989e+01 2.334637e+06
1.807570e+01 2.238849e+06
1.835578e+01 2.143442e+06
1.864021e+01 2.053736e+06
1.892904e+01 1.968149e+06
1.922234e+01 1.885064e+06
1.952019e+01 1.806489e+06
1.982266e+01 1.730974e+06
2.012981e+01 1.658697e+06
2.044172e+01 1.589577e+06
2.075847e+01 1.522894e+06
2.108012e+01 1.459650e+06
2.140676e+01 1.398814e+06
2.173846e+01 1.339218e+06
