# Energy(MeV) Fluence_Spherical_Median(cm^-2*MeV^-1)
1.726083e+01 1.015415e+07
1.752829e+01 9.745095e+06
1.779989e+01 9.338547e+06
1.807570e+01 8.955397e+06
1.835578e+01 8.573766e+06
1.864021e+01 8.214942e+06
1.892904e+01 7.872596e+06
1.922234e+01 7.540257e+06
1.952019e+01 7.225956e+06
1.982266e+01 6.923894e+06
2.012981e+01 6.634790e+06
2.044172e+01 6.358309e+06
2.075847e+01 6.091575e+06
2.108012e+01 5.838600e+06
2.140676e+01 5.595257e+06
2.173846e+01 5.356871e+06
2.207529e+01 5.132413e+06
2.241735e+01 4.918320e+06
2.276471e+01 4.711614e+06
2.311745e+01 4.515219e+06
2.347565e+01 4.326181e+06
2.383941e+01 4.142865e+06
2.420880e+01 3.968388e+06
2.458392e+01 3.796526e+06
2.496485e+01 3.631139e+06
2.535168e+01 3.476400e+06
2.574450e+01 3.328441e+06
2.614341e+01 3.186910e+06
2.654850e+01 3.051103e+06
2.695987e+01 2.915991e+06
2.737762e+01 2.789717e+06
2.780183e+01 2.668850e+06
2.823262e+01 2.554084e+06
2.867009e+01 2.444602e+06
2.911433e+01 2.339393e+06
2.956546e+01 2.237869e+06
3.002358e+01 2.140604e+06
3.048879e+01 2.047806e+06
3.096122e+01 1.959244e+06
3.144096e+01 1.874893e+06
3.192814e+01 1.796020e+06
3.242287e+01 1.720947e+06
3.292526e+01 1.647505e+06
3.343544e+01 1.576186e+06
3.395352e+01 1.508545e+06
3.447963e+01 1.444023e+06
3.501389e+01 1.382776e+06
3.555643e+01 1.322900e+06
3.610738e+01 1.264537e+06
3.666687e+01 1.207783e+06
3.723502e+01 1.155197e+06
3.781198e+01 1.103685e+06
3.839787e+01 1.056775e+06
3.899285e+01 1.011297e+06
3.959704e+01 9.672946e+05
4.021060e+01 9.251680e+05
4.083367e+01 8.854584e+05
4.146638e+01 8.471333e+05
4.210891e+01 8.104031e+05
4.276138e+01 7.750516e+05
4.342397e+01 7.415936e+05
4.409683e+01 7.091960e+05
4.478011e+01 6.782002e+05
4.547398e+01 6.485977e+05
4.617860e+01 6.200161e+05
4.689414e+01 5.929074e+05
4.762076e+01 5.671398e+05
4.835865e+01 5.420076e+05
4.910796e+01 5.180333e+05
4.986889e+01 4.954347e+05
5.064161e+01 4.733300e+05
5.142630e+01 4.526726e+05
5.222315e+01 4.323522e+05
5.303235e+01 4.131535e+05
5.385409e+01 3.948852e+05
5.468856e+01 3.774246e+05
5.553596e+01 3.607361e+05
5.639649e+01 3.449660e+05
