# Energy(MeV) Phi16_Planar Phi84_Planar
4.460830e+00 1.287029e+07 1.035893e+08
4.529951e+00 1.234578e+07 9.957657e+07
4.600143e+00 1.184266e+07 9.572955e+07
4.671422e+00 1.136005e+07 9.193391e+07
4.743806e+00 1.089710e+07 8.835920e+07
4.817311e+00 1.045303e+07 8.492765e+07
4.891955e+00 1.003094e+07 8.158417e+07
4.967756e+00 9.627452e+06 7.844504e+07
5.044732e+00 9.240200e+06 7.537877e+07
5.122900e+00 8.868528e+06 7.240464e+07
5.202279e+00 8.511811e+06 6.957555e+07
5.282889e+00 8.169446e+06 6.675560e+07
5.364747e+00 7.840855e+06 6.414752e+07
5.447874e+00 7.525484e+06 6.162162e+07
5.532289e+00 7.222802e+06 5.915537e+07
5.618012e+00 6.936971e+06 5.686410e+07
5.705063e+00 6.666542e+06 5.465293e+07
5.793463e+00 6.406659e+06 5.251053e+07
5.883233e+00 6.156910e+06 5.043946e+07
5.974393e+00 5.916899e+06 4.843272e+07
6.066967e+00 5.686247e+06 4.658000e+07
6.160975e+00 5.464590e+06 4.474468e+07
6.256439e+00 5.251575e+06 4.297002e+07
6.353383e+00 5.046866e+06 4.129028e+07
6.451828e+00 4.850139e+06 3.971391e+07
6.551800e+00 4.661083e+06 3.818078e+07
6.653320e+00 4.479398e+06 3.667872e+07
6.756413e+00 4.304797e+06 3.525278e+07
6.861104e+00 4.137004e+06 3.389020e+07
6.967417e+00 3.975753e+06 3.254519e+07
7.075377e+00 3.813403e+06 3.122734e+07
7.185010e+00 3.653754e+06 2.999061e+07
7.296342e+00 3.500790e+06 2.880840e+07
7.409399e+00 3.354231e+06 2.768367e+07
7.524208e+00 3.213809e+06 2.659519e+07
7.640795e+00 3.079267e+06 2.556705e+07
7.759190e+00 2.950358e+06 2.457197e+07
7.879418e+00 2.826847e+06 2.362375e+07
8.001510e+00 2.708508e+06 2.270605e+07
8.125494e+00 2.595123e+06 2.177876e+07
8.251398e+00 2.486486e+06 2.092543e+07
8.379254e+00 2.382397e+06 2.010639e+07
8.509090e+00 2.282667e+06 1.930417e+07
8.640939e+00 2.187112e+06 1.854605e+07
8.774830e+00 2.095559e+06 1.781563e+07
8.910797e+00 2.007838e+06 1.712468e+07
9.048869e+00 1.923790e+06 1.643686e+07
9.189082e+00 1.844973e+06 1.579806e+07
9.331467e+00 1.769758e+06 1.517105e+07
9.476058e+00 1.697609e+06 1.456648e+07
9.622890e+00 1.628403e+06 1.399069e+07
9.771997e+00 1.562018e+06 1.344681e+07
9.923414e+00 1.498341e+06 1.289235e+07
1.007718e+01 1.437259e+06 1.238054e+07
1.023332e+01 1.378669e+06 1.189541e+07
1.039189e+01 1.322467e+06 1.142780e+07
1.055291e+01 1.268557e+06 1.097794e+07
1.071643e+01 1.216845e+06 1.054551e+07
1.088248e+01 1.167241e+06 1.012554e+07
1.105110e+01 1.119660e+06 9.720806e+06
1.122234e+01 1.074019e+06 9.335979e+06
1.139623e+01 1.030238e+06 8.966297e+06
1.157282e+01 9.882430e+05 8.602808e+06
1.175214e+01 9.479599e+05 8.253327e+06
1.193424e+01 9.093191e+05 7.923139e+06
1.211916e+01 8.722538e+05 7.609613e+06
1.230694e+01 8.366996e+05 7.308463e+06
1.249764e+01 8.025949e+05 7.018005e+06
1.269129e+01 7.698806e+05 6.737726e+06
1.288794e+01 7.385001e+05 6.473058e+06
1.308764e+01 7.083989e+05 6.214906e+06
1.329044e+01 6.795249e+05 5.963717e+06
1.349637e+01 6.518280e+05 5.723233e+06
1.370550e+01 6.252602e+05 5.494522e+06
1.391787e+01 5.997756e+05 5.275857e+06
1.413352e+01 5.753298e+05 5.065368e+06
1.435252e+01 5.518807e+05 4.859584e+06
1.457491e+01 5.293874e+05 4.662614e+06
1.480075e+01 5.078111e+05 4.473408e+06
1.503009e+01 4.871144e+05 4.296452e+06
1.526298e+01 4.672613e+05 4.124394e+06
1.549948e+01 4.482176e+05 3.956490e+06
1.573965e+01 4.299502e+05 3.798131e+06
1.598353e+01 4.124274e+05 3.644329e+06
1.623120e+01 3.956189e+05 3.495441e+06
1.648270e+01 3.794956e+05 3.351839e+06
1.673810e+01 3.640295e+05 3.217009e+06
1.699746e+01 3.491939e+05 3.087789e+06
1.726083e+01 3.349630e+05 2.961993e+06
1.752829e+01 3.213121e+05 2.841633e+06
1.779989e+01 3.082177e+05 2.725352e+06
1.807570e+01 2.956570e+05 2.612995e+06
1.835578e+01 2.836083e+05 2.503714e+06
1.864021e+01 2.720507e+05 2.402109e+06
1.892904e+01 2.609643e+05 2.305032e+06
1.922234e+01 2.503296e+05 2.207981e+06
1.952019e+01 2.401285e+05 2.115360e+06
1.982266e+01 2.303431e+05 2.027840e+06
2.012981e+01 2.209566e+05 1.945283e+06
2.044172e+01 2.119526e+05 1.865881e+06
2.075847e+01 2.033157e+05 1.787691e+06
2.108012e+01 1.950307e+05 1.712754e+06
2.140676e+01 1.870834e+05 1.642588e+06
2.173846e+01 1.794601e+05 1.575262e+06
2.207529e+01 1.721474e+05 1.509524e+06
2.241735e+01 1.651328e+05 1.445598e+06
2.276471e+01 1.584040e+05 1.385032e+06
2.311745e+01 1.519495e+05 1.327494e+06
2.347565e+01 1.457580e+05 1.273062e+06
2.383941e+01 1.398189e+05 1.220603e+06
2.420880e+01 1.341218e+05 1.170058e+06
2.458392e+01 1.286569e+05 1.121391e+06
2.496485e+01 1.234147e+05 1.075190e+06
2.535168e+01 1.183862e+05 1.029800e+06
2.574450e+01 1.135626e+05 9.865340e+05
2.614341e+01 1.089355e+05 9.458364e+05
2.654850e+01 1.044970e+05 9.062994e+05
2.695987e+01 1.002394e+05 8.675839e+05
2.737762e+01 9.615532e+04 8.302586e+05
2.780183e+01 9.223765e+04 7.948746e+05
2.823262e+01 8.847963e+04 7.611194e+05
2.867009e+01 8.487475e+04 7.286590e+05
2.911433e+01 8.141677e+04 6.978986e+05
2.956546e+01 7.809970e+04 6.682170e+05
3.002358e+01 7.491780e+04 6.390727e+05
3.048879e+01 7.186557e+04 6.114485e+05
3.096122e+01 6.893770e+04 5.850056e+05
3.144096e+01 6.600892e+04 5.604501e+05
3.192814e+01 6.304322e+04 5.365980e+05
3.242287e+01 6.021086e+04 5.139183e+05
3.292526e+01 5.750583e+04 4.923050e+05
3.343544e+01 5.492241e+04 4.715704e+05
3.395352e+01 5.245512e+04 4.508977e+05
3.447963e+01 5.009874e+04 4.311394e+05
3.501389e+01 4.784829e+04 4.123120e+05
3.555643e+01 4.569899e+04 3.947827e+05
3.610738e+01 4.364630e+04 3.777491e+05
3.666687e+01 4.168588e+04 3.612372e+05
3.723502e+01 3.981426e+04 3.452065e+05
3.781198e+01 3.803074e+04 3.299416e+05
3.839787e+01 3.632720e+04 3.153484e+05
3.899285e+01 3.470005e+04 3.015605e+05
3.959704e+01 3.314586e+04 2.883016e+05
4.021060e+01 3.166135e+04 2.756902e+05
4.083367e+01 3.024444e+04 2.638397e+05
4.146638e+01 2.889127e+04 2.521964e+05
4.210891e+01 2.759871e+04 2.412094e+05
4.276138e+01 2.636405e+04 2.305804e+05
4.342397e+01 2.518469e+04 2.204577e+05
4.409683e+01 2.405816e+04 2.107176e+05
4.478011e+01 2.298207e+04 2.016072e+05
4.547398e+01 2.195418e+04 1.929675e+05
