# Energy(MeV) Phi16_Spherical Phi84_Spherical
1.800635e+00 6.392516e+08 4.460900e+09
1.828536e+00 6.103078e+08 4.281369e+09
1.856869e+00 5.826753e+08 4.112284e+09
1.885641e+00 5.562947e+08 3.950485e+09
1.914859e+00 5.311093e+08 3.795908e+09
1.944530e+00 5.070648e+08 3.646445e+09
1.974661e+00 4.841096e+08 3.502924e+09
2.005258e+00 4.624426e+08 3.367057e+09
2.036330e+00 4.424985e+08 3.232470e+09
2.067883e+00 4.234152e+08 3.104866e+09
2.099924e+00 4.051554e+08 2.980569e+09
2.132463e+00 3.877891e+08 2.862443e+09
2.165505e+00 3.714088e+08 2.747600e+09
2.199060e+00 3.557207e+08 2.640228e+09
2.233134e+00 3.406955e+08 2.535348e+09
2.267737e+00 3.263053e+08 2.435514e+09
2.302875e+00 3.126106e+08 2.338327e+09
2.338559e+00 2.999229e+08 2.244371e+09
2.374795e+00 2.877503e+08 2.155350e+09
2.411592e+00 2.760720e+08 2.068024e+09
2.448960e+00 2.648679e+08 1.985214e+09
2.486906e+00 2.541187e+08 1.907399e+09
2.525441e+00 2.438060e+08 1.831505e+09
2.564573e+00 2.339119e+08 1.759698e+09
2.604311e+00 2.244196e+08 1.688456e+09
2.644665e+00 2.153127e+08 1.621315e+09
2.685644e+00 2.065755e+08 1.556659e+09
2.727258e+00 1.982097e+08 1.496699e+09
2.769517e+00 1.902323e+08 1.437665e+09
2.812431e+00 1.825760e+08 1.381618e+09
2.856009e+00 1.752278e+08 1.325509e+09
2.900263e+00 1.681753e+08 1.274457e+09
2.945203e+00 1.614067e+08 1.225499e+09
2.990839e+00 1.549105e+08 1.177476e+09
3.037182e+00 1.486758e+08 1.130509e+09
3.084243e+00 1.425472e+08 1.086119e+09
3.132033e+00 1.365894e+08 1.043050e+09
3.180564e+00 1.308806e+08 1.002003e+09
3.229847e+00 1.254105e+08 9.618544e+08
3.279894e+00 1.201690e+08 9.243137e+08
3.330716e+00 1.151466e+08 8.879153e+08
3.382325e+00 1.103342e+08 8.534791e+08
3.434734e+00 1.057230e+08 8.196968e+08
3.487956e+00 1.013045e+08 7.875110e+08
3.542002e+00 9.707066e+07 7.562810e+08
3.596885e+00 9.301383e+07 7.263500e+08
3.652619e+00 8.912657e+07 6.973779e+08
3.709216e+00 8.540180e+07 6.700283e+08
3.766690e+00 8.183272e+07 6.437711e+08
3.825055e+00 7.841283e+07 6.180892e+08
3.884325e+00 7.513588e+07 5.938599e+08
3.944512e+00 7.199591e+07 5.703340e+08
4.005633e+00 6.898718e+07 5.480825e+08
4.067700e+00 6.610420e+07 5.263734e+08
4.130729e+00 6.338666e+07 5.056809e+08
4.194735e+00 6.080337e+07 4.857363e+08
4.259732e+00 5.832538e+07 4.669880e+08
4.325737e+00 5.594840e+07 4.491764e+08
4.392764e+00 5.366830e+07 4.313622e+08
4.460830e+00 5.148115e+07 4.143572e+08
4.529951e+00 4.938314e+07 3.983063e+08
4.600143e+00 4.737065e+07 3.829182e+08
4.671422e+00 4.544019e+07 3.677356e+08
4.743806e+00 4.358841e+07 3.534368e+08
4.817311e+00 4.181212e+07 3.397106e+08
4.891955e+00 4.012375e+07 3.263367e+08
4.967756e+00 3.850981e+07 3.137802e+08
5.044732e+00 3.696080e+07 3.015151e+08
5.122900e+00 3.547411e+07 2.896186e+08
5.202279e+00 3.404724e+07 2.783022e+08
5.282889e+00 3.267778e+07 2.670224e+08
5.364747e+00 3.136342e+07 2.565901e+08
5.447874e+00 3.010194e+07 2.464865e+08
5.532289e+00 2.889121e+07 2.366215e+08
5.618012e+00 2.774788e+07 2.274564e+08
5.705063e+00 2.666617e+07 2.186117e+08
5.793463e+00 2.562664e+07 2.100421e+08
5.883233e+00 2.462764e+07 2.017578e+08
5.974393e+00 2.366760e+07 1.937309e+08
6.066967e+00 2.274499e+07 1.863200e+08
6.160975e+00 2.185836e+07 1.789787e+08
6.256439e+00 2.100630e+07 1.718801e+08
6.353383e+00 2.018746e+07 1.651611e+08
6.451828e+00 1.940056e+07 1.588556e+08
6.551800e+00 1.864433e+07 1.527231e+08
6.653320e+00 1.791759e+07 1.467149e+08
6.756413e+00 1.721919e+07 1.410111e+08
6.861104e+00 1.654802e+07 1.355608e+08
6.967417e+00 1.590301e+07 1.301808e+08
7.075377e+00 1.525361e+07 1.249094e+08
7.185010e+00 1.461502e+07 1.199624e+08
7.296342e+00 1.400316e+07 1.152336e+08
7.409399e+00 1.341693e+07 1.107347e+08
7.524208e+00 1.285524e+07 1.063808e+08
7.640795e+00 1.231707e+07 1.022682e+08
7.759190e+00 1.180143e+07 9.828789e+07
7.879418e+00 1.130739e+07 9.449501e+07
8.001510e+00 1.083403e+07 9.082421e+07
8.125494e+00 1.038049e+07 8.711504e+07
8.251398e+00 9.945943e+06 8.370171e+07
8.379254e+00 9.529590e+06 8.042558e+07
8.509090e+00 9.130668e+06 7.721667e+07
8.640939e+00 8.748450e+06 7.418420e+07
8.774830e+00 8.382235e+06 7.126250e+07
8.910797e+00 8.031352e+06 6.849871e+07
9.048869e+00 7.695161e+06 6.574744e+07
9.189082e+00 7.379893e+06 6.319223e+07
9.331467e+00 7.079031e+06 6.068421e+07
9.476058e+00 6.790438e+06 5.826590e+07
9.622890e+00 6.513612e+06 5.596276e+07
9.771997e+00 6.248074e+06 5.378724e+07
9.923414e+00 5.993363e+06 5.156940e+07
1.007718e+01 5.749038e+06 4.952214e+07
1.023332e+01 5.514675e+06 4.758163e+07
1.039189e+01 5.289868e+06 4.571120e+07
1.055291e+01 5.074227e+06 4.391174e+07
1.071643e+01 4.867379e+06 4.218204e+07
1.088248e+01 4.668964e+06 4.050218e+07
1.105110e+01 4.478639e+06 3.888323e+07
1.122234e+01 4.296075e+06 3.734391e+07
1.139623e+01 4.120953e+06 3.586519e+07
1.157282e+01 3.952972e+06 3.441123e+07
1.175214e+01 3.791840e+06 3.301331e+07
1.193424e+01 3.637277e+06 3.169256e+07
1.211916e+01 3.489015e+06 3.043845e+07
1.230694e+01 3.346798e+06 2.923385e+07
1.249764e+01 3.210380e+06 2.807202e+07
1.269129e+01 3.079523e+06 2.695090e+07
1.288794e+01 2.954000e+06 2.589223e+07
1.308764e+01 2.833596e+06 2.485962e+07
1.329044e+01 2.718100e+06 2.385487e+07
1.349637e+01 2.607312e+06 2.289293e+07
1.370550e+01 2.501041e+06 2.197809e+07
1.391787e+01 2.399102e+06 2.110343e+07
1.413352e+01 2.301319e+06 2.026147e+07
1.435252e+01 2.207523e+06 1.943833e+07
1.457491e+01 2.117550e+06 1.865045e+07
