# Energy(MeV) Phi16_Spherical Phi84_Spherical
1.322292e+01 8.115723e+06 5.018192e+10
1.338783e+01 7.839345e+06 4.846141e+10
1.355481e+01 7.572479e+06 4.679989e+10
1.372386e+01 7.314697e+06 4.519534e+10
1.389503e+01 7.065691e+06 4.364579e+10
1.406833e+01 6.825161e+06 4.214938e+10
1.424379e+01 6.592819e+06 4.070427e+10
1.442143e+01 6.365799e+06 3.930871e+10
1.460130e+01 6.145827e+06 3.796099e+10
1.478340e+01 5.933457e+06 3.665948e+10
1.496778e+01 5.728456e+06 3.540259e+10
1.515446e+01 5.530572e+06 3.418880e+10
1.534347e+01 5.339524e+06 3.301662e+10
1.553483e+01 5.157139e+06 3.188463e+10
1.572858e+01 4.981138e+06 3.079146e+10
1.592475e+01 4.811143e+06 2.973576e+10
1.612336e+01 4.646949e+06 2.871625e+10
1.632445e+01 4.488359e+06 2.773171e+10
1.652805e+01 4.332881e+06 2.678091e+10
1.673419e+01 4.184298e+06 2.586272e+10
1.694290e+01 4.041037e+06 2.497600e+10
1.715421e+01 3.903025e+06 2.411969e+10
1.736815e+01 3.769727e+06 2.329274e+10
1.758477e+01 3.640981e+06 2.249414e+10
1.780409e+01 3.516632e+06 2.172292e+10
1.802614e+01 3.396530e+06 2.097814e+10
1.825096e+01 3.280957e+06 2.025889e+10
1.847859e+01 3.168725e+06 1.956431e+10
1.870905e+01 3.059644e+06 1.889354e+10
1.894239e+01 2.954651e+06 1.824576e+10
1.917864e+01 2.853262e+06 1.762020e+10
1.941784e+01 2.755352e+06 1.701609e+10
1.966001e+01 2.660802e+06 1.643268e+10
1.990521e+01 2.569496e+06 1.586928e+10
2.015347e+01 2.481324e+06 1.532520e+10
2.040483e+01 2.395972e+06 1.479977e+10
2.065931e+01 2.313351e+06 1.429235e+10
2.091698e+01 2.233580e+06 1.380233e+10
2.117785e+01 2.156560e+06 1.332911e+10
2.144198e+01 2.082459e+06 1.287212e+10
2.170941e+01 2.012516e+06 1.243079e+10
2.198017e+01 1.944923e+06 1.200460e+10
2.225430e+01 1.878524e+06 1.159302e+10
2.253186e+01 1.813749e+06 1.119555e+10
2.281288e+01 1.751209e+06 1.081170e+10
2.309740e+01 1.690824e+06 1.044102e+10
2.338547e+01 1.632522e+06 1.008304e+10
2.367713e+01 1.576230e+06 9.737343e+09
2.397243e+01 1.521880e+06 9.403494e+09
2.427142e+01 1.469403e+06 9.081092e+09
2.457413e+01 1.418736e+06 8.769743e+09
2.488062e+01 1.370027e+06 8.469069e+09
2.519093e+01 1.322265e+06 8.178704e+09
2.550511e+01 1.276169e+06 7.898294e+09
2.582321e+01 1.231680e+06 7.627498e+09
2.614528e+01 1.189450e+06 7.365986e+09
2.647136e+01 1.149368e+06 7.113441e+09
2.680151e+01 1.110637e+06 6.869554e+09
2.713578e+01 1.072714e+06 6.634028e+09
2.747421e+01 1.035961e+06 6.406578e+09
2.781687e+01 1.000865e+06 6.186926e+09
2.816380e+01 9.666619e+05 5.974805e+09
2.851506e+01 9.332647e+05 5.769957e+09
2.887070e+01 9.010214e+05 5.572132e+09
2.923078e+01 8.698920e+05 5.381089e+09
2.959534e+01 8.398381e+05 5.196597e+09
2.996446e+01 8.108225e+05 5.018430e+09
3.033817e+01 7.828094e+05 4.846371e+09
3.071655e+01 7.557641e+05 4.680211e+09
3.109965e+01 7.296709e+05 4.519749e+09
3.148752e+01 7.047790e+05 4.364787e+09
3.188023e+01 6.807442e+05 4.215139e+09
3.227784e+01 6.575292e+05 4.070622e+09
3.268041e+01 6.351664e+05 3.931059e+09
3.308800e+01 6.135705e+05 3.796281e+09
3.350067e+01 5.927088e+05 3.666124e+09
3.391849e+01 5.725564e+05 3.540430e+09
3.434152e+01 5.530893e+05 3.419045e+09
3.476983e+01 5.343038e+05 3.301822e+09
3.520348e+01 5.162227e+05 3.188618e+09
3.564254e+01 4.985931e+05 3.079295e+09
3.608707e+01 4.814968e+05 2.973720e+09
3.653715e+01 4.647575e+05 2.871765e+09
3.699284e+01 4.485636e+05 2.773306e+09
3.745421e+01 4.329341e+05 2.678222e+09
3.792134e+01 4.179555e+05 2.586398e+09
3.839430e+01 4.039153e+05 2.497723e+09
3.887315e+01 3.901346e+05 2.412087e+09
3.935798e+01 3.766350e+05 2.329388e+09
3.984885e+01 3.636025e+05 2.249524e+09
4.034584e+01 3.510210e+05 2.172399e+09
4.084904e+01 3.389161e+05 2.097917e+09
4.135850e+01 3.272645e+05 2.025989e+09
4.187433e+01 3.160136e+05 1.956528e+09
4.239658e+01 3.052845e+05 1.889448e+09
4.292535e+01 2.947098e+05 1.824667e+09
4.346072e+01 2.845013e+05 1.762108e+09
4.400276e+01 2.746465e+05 1.701693e+09
4.455156e+01 2.651330e+05 1.643350e+09
4.510721e+01 2.559490e+05 1.587008e+09
4.566978e+01 2.470832e+05 1.532596e+09
4.623938e+01 2.385245e+05 1.480051e+09
4.681607e+01 2.302767e+05 1.429307e+09
4.739996e+01 2.223148e+05 1.380303e+09
4.799113e+01 2.146281e+05 1.332979e+09
4.858968e+01 2.072072e+05 1.287277e+09
4.919569e+01 2.000429e+05 1.243142e+09
4.980926e+01 1.931263e+05 1.200521e+09
5.043048e+01 1.864489e+05 1.159361e+09
5.105945e+01 1.800023e+05 1.119611e+09
5.169626e+01 1.737786e+05 1.081225e+09
5.234101e+01 1.677890e+05 1.044155e+09
5.299381e+01 1.621176e+05 1.008356e+09
5.365475e+01 1.566752e+05 9.737841e+08
5.432393e+01 1.513063e+05 9.403976e+08
5.500146e+01 1.461041e+05 9.081558e+08
5.568743e+01 1.411433e+05 8.770194e+08
5.638197e+01 1.363352e+05 8.469506e+08
5.708516e+01 1.316857e+05 8.179126e+08
5.779713e+01 1.272040e+05 7.898702e+08
5.851797e+01 1.228863e+05 7.627893e+08
5.924781e+01 1.187083e+05 7.366368e+08
5.998675e+01 1.146703e+05 7.113810e+08
6.073490e+01 1.107697e+05 6.869911e+08
6.149239e+01 1.070018e+05 6.634374e+08
6.225932e+01 1.033620e+05 6.406913e+08
6.303582e+01 9.985536e+04 6.187250e+08
6.382200e+01 9.647288e+04 5.975118e+08
6.461798e+01 9.320497e+04 5.770260e+08
