Energy(MeV)	Elec. Stopping Power(MeV cm2 g-1)	Ionizing Dose*(MeV g-1)	Ionizing Dose*(Gy)
3.2470e+00	8.0230e+01	8.0230e+01	1.2857e-08
3.3560e+00	7.8360e+01	7.8360e+01	1.2558e-08
3.4690e+00	7.6520e+01	7.6520e+01	1.2263e-08
3.5000e+00	7.6040e+01	7.6040e+01	1.2186e-08
3.5860e+00	7.4730e+01	7.4730e+01	1.1976e-08
3.7070e+00	7.2970e+01	7.2970e+01	1.1694e-08
3.8320e+00	7.1240e+01	7.1240e+01	1.1417e-08
3.9610e+00	6.9560e+01	6.9560e+01	1.1147e-08
4.0000e+00	6.9060e+01	6.9060e+01	1.1067e-08
4.0940e+00	6.7900e+01	6.7900e+01	1.0881e-08
4.2320e+00	6.6290e+01	6.6290e+01	1.0623e-08
4.3740e+00	6.4710e+01	6.4710e+01	1.0370e-08
4.5000e+00	6.3380e+01	6.3380e+01	1.0157e-08
4.5220e+00	6.3160e+01	6.3160e+01	1.0122e-08
4.6740e+00	6.1640e+01	6.1640e+01	9.8782e-09
4.8310e+00	6.0160e+01	6.0160e+01	9.6410e-09
4.9940e+00	5.8710e+01	5.8710e+01	9.4087e-09
5.0000e+00	5.8660e+01	5.8660e+01	9.4006e-09
5.1620e+00	5.7290e+01	5.7290e+01	9.1811e-09
5.3360e+00	5.5910e+01	5.5910e+01	8.9599e-09
5.5000e+00	5.4660e+01	5.4660e+01	8.7596e-09
5.5160e+00	5.4550e+01	5.4550e+01	8.7420e-09
5.7010e+00	5.3220e+01	5.3220e+01	8.5288e-09
5.8930e+00	5.1930e+01	5.1930e+01	8.3221e-09
6.0000e+00	5.1240e+01	5.1240e+01	8.2115e-09
6.0920e+00	5.0660e+01	5.0660e+01	8.1186e-09
6.2970e+00	4.9420e+01	4.9420e+01	7.9199e-09
6.5000e+00	4.8260e+01	4.8260e+01	7.7340e-09
6.5090e+00	4.8210e+01	4.8210e+01	7.7260e-09
6.7280e+00	4.7020e+01	4.7020e+01	7.5353e-09
6.9550e+00	4.5860e+01	4.5860e+01	7.3494e-09
7.0000e+00	4.5640e+01	4.5640e+01	7.3141e-09
7.1890e+00	4.4730e+01	4.4730e+01	7.1683e-09
7.4310e+00	4.3630e+01	4.3630e+01	6.9920e-09
7.5000e+00	4.3320e+01	4.3320e+01	6.9423e-09
7.6820e+00	4.2550e+01	4.2550e+01	6.8189e-09
7.9400e+00	4.1490e+01	4.1490e+01	6.6490e-09
8.0000e+00	4.1250e+01	4.1250e+01	6.6106e-09
8.2080e+00	4.0460e+01	4.0460e+01	6.4840e-09
8.4840e+00	3.9450e+01	3.9450e+01	6.3221e-09
8.5000e+00	3.9400e+01	3.9400e+01	6.3141e-09
8.7700e+00	3.8470e+01	3.8470e+01	6.1651e-09
9.0000e+00	3.7710e+01	3.7710e+01	6.0433e-09
9.0650e+00	3.7510e+01	3.7510e+01	6.0112e-09
9.3700e+00	3.6570e+01	3.6570e+01	5.8606e-09
9.5000e+00	3.6190e+01	3.6190e+01	5.7997e-09
9.6860e+00	3.5650e+01	3.5650e+01	5.7131e-09
1.0000e+01	3.4790e+01	3.4790e+01	5.5753e-09
1.0010e+01	3.4760e+01	3.4760e+01	5.5705e-09
1.0350e+01	3.3890e+01	3.3890e+01	5.4311e-09
1.0700e+01	3.3030e+01	3.3030e+01	5.2933e-09
1.1060e+01	3.2200e+01	3.2200e+01	5.1603e-09
1.1430e+01	3.1390e+01	3.1390e+01	5.0304e-09
1.1820e+01	3.0590e+01	3.0590e+01	4.9022e-09
1.2210e+01	2.9820e+01	2.9820e+01	4.7788e-09
1.2630e+01	2.9060e+01	2.9060e+01	4.6571e-09
1.3050e+01	2.8330e+01	2.8330e+01	4.5401e-09
1.3490e+01	2.7610e+01	2.7610e+01	4.4247e-09
1.3940e+01	2.6900e+01	2.6900e+01	4.3109e-09
1.4410e+01	2.6220e+01	2.6220e+01	4.2019e-09
1.4900e+01	2.5550e+01	2.5550e+01	4.0946e-09
1.5000e+01	2.5420e+01	2.5420e+01	4.0737e-09
1.5400e+01	2.4900e+01	2.4900e+01	3.9904e-09
1.5920e+01	2.4270e+01	2.4270e+01	3.8894e-09
1.6460e+01	2.3650e+01	2.3650e+01	3.7901e-09
1.7010e+01	2.3040e+01	2.3040e+01	3.6923e-09
1.7580e+01	2.2450e+01	2.2450e+01	3.5978e-09
1.8170e+01	2.1880e+01	2.1880e+01	3.5064e-09
1.8790e+01	2.1320e+01	2.1320e+01	3.4167e-09
1.9420e+01	2.0770e+01	2.0770e+01	3.3285e-09
2.0000e+01	2.0290e+01	2.0290e+01	3.2516e-09
2.0070e+01	2.0240e+01	2.0240e+01	3.2436e-09
2.0750e+01	1.9720e+01	1.9720e+01	3.1603e-09
2.1450e+01	1.9210e+01	1.9210e+01	3.0785e-09
2.2170e+01	1.8720e+01	1.8720e+01	3.0000e-09
2.2920e+01	1.8240e+01	1.8240e+01	2.9231e-09
2.3690e+01	1.7770e+01	1.7770e+01	2.8478e-09
2.4490e+01	1.7310e+01	1.7310e+01	2.7740e-09
2.5000e+01	1.7030e+01	1.7030e+01	2.7292e-09
2.5310e+01	1.6870e+01	1.6870e+01	2.7035e-09
2.6160e+01	1.6430e+01	1.6430e+01	2.6330e-09
2.7040e+01	1.6010e+01	1.6010e+01	2.5657e-09
2.7950e+01	1.5600e+01	1.5600e+01	2.5000e-09
2.8900e+01	1.5200e+01	1.5200e+01	2.4359e-09
2.9870e+01	1.4810e+01	1.4810e+01	2.3734e-09
3.0000e+01	1.4760e+01	1.4760e+01	2.3654e-09
3.0880e+01	1.4430e+01	1.4430e+01	2.3125e-09
3.1920e+01	1.4050e+01	1.4050e+01	2.2516e-09
3.2990e+01	1.3690e+01	1.3690e+01	2.1939e-09
3.4100e+01	1.3340e+01	1.3340e+01	2.1378e-09
3.5000e+01	1.3070e+01	1.3070e+01	2.0946e-09
3.5250e+01	1.3000e+01	1.3000e+01	2.0833e-09
3.6440e+01	1.2670e+01	1.2670e+01	2.0304e-09
3.7660e+01	1.2340e+01	1.2340e+01	1.9776e-09
3.8930e+01	1.2030e+01	1.2030e+01	1.9279e-09
4.0000e+01	1.1770e+01	1.1770e+01	1.8862e-09
4.0240e+01	1.1720e+01	1.1720e+01	1.8782e-09
4.1600e+01	1.1420e+01	1.1420e+01	1.8301e-09
4.3000e+01	1.1130e+01	1.1130e+01	1.7837e-09
4.4450e+01	1.0840e+01	1.0840e+01	1.7372e-09
4.5000e+01	1.0740e+01	1.0740e+01	1.7212e-09
4.5940e+01	1.0570e+01	1.0570e+01	1.6939e-09
