# Energy(MeV) Fluence_Planare_Median
8.391656e+01 2.959869e+04
8.508632e+01 2.843021e+04
8.627237e+01 2.732672e+04
8.747496e+01 2.625477e+04
8.869432e+01 2.521042e+04
8.993067e+01 2.421820e+04
9.118425e+01 2.325877e+04
9.245531e+01 2.234733e+04
9.374409e+01 2.146286e+04
9.505083e+01 2.062496e+04
9.637579e+01 1.982247e+04
9.771921e+01 1.904395e+04
9.908137e+01 1.828323e+04
1.004625e+02 1.755650e+04
1.018629e+02 1.685714e+04
1.032828e+02 1.619863e+04
1.047225e+02 1.555243e+04
1.061823e+02 1.492410e+04
1.076624e+02 1.433063e+04
1.091632e+02 1.376319e+04
1.106848e+02 1.320916e+04
1.122277e+02 1.269190e+04
1.137921e+02 1.218664e+04
1.153783e+02 1.171061e+04
1.169866e+02 1.124235e+04
1.186174e+02 1.079320e+04
1.202708e+02 1.035992e+04
1.219473e+02 9.948586e+03
1.236472e+02 9.546181e+03
1.253708e+02 9.150521e+03
1.271184e+02 8.780240e+03
1.288904e+02 8.424255e+03
1.306870e+02 8.075396e+03
1.325087e+02 7.743232e+03
1.343558e+02 7.429746e+03
1.362287e+02 7.122759e+03
1.381276e+02 6.832648e+03
1.400531e+02 6.549627e+03
1.420053e+02 6.286534e+03
1.439848e+02 6.022014e+03
1.459919e+02 5.774904e+03
1.480269e+02 5.537133e+03
1.500903e+02 5.304794e+03
1.521825e+02 5.081184e+03
1.543038e+02 4.873549e+03
1.564548e+02 4.672536e+03
1.586357e+02 4.476968e+03
1.608469e+02 4.289088e+03
1.630891e+02 4.113671e+03
1.653624e+02 3.942836e+03
1.676675e+02 3.777728e+03
1.700047e+02 3.620486e+03
1.723745e+02 3.469952e+03
1.747773e+02 3.326892e+03
1.772136e+02 3.189422e+03
1.796838e+02 3.055431e+03
1.821885e+02 2.926943e+03
1.847281e+02 2.799121e+03
1.873032e+02 2.681847e+03
1.899141e+02 2.567844e+03
1.925614e+02 2.458880e+03
1.952456e+02 2.357721e+03
1.979672e+02 2.255711e+03
2.007267e+02 2.157238e+03
2.035248e+02 2.064562e+03
2.063618e+02 1.978480e+03
2.092383e+02 1.894514e+03
2.121550e+02 1.812697e+03
2.151123e+02 1.735225e+03
2.181109e+02 1.658798e+03
2.211512e+02 1.585905e+03
2.242340e+02 1.516666e+03
2.273597e+02 1.450873e+03
2.305289e+02 1.387923e+03
2.337424e+02 1.328341e+03
2.370006e+02 1.271654e+03
2.403043e+02 1.215417e+03
2.436540e+02 1.161250e+03
2.470504e+02 1.110544e+03
2.504942e+02 1.061816e+03
2.539859e+02 1.015128e+03
2.575263e+02 9.707920e+02
2.611161e+02 9.286099e+02
2.647559e+02 8.877501e+02
2.684465e+02 8.495990e+02
2.721885e+02 8.127420e+02
2.759826e+02 7.769853e+02
2.798297e+02 7.423539e+02
2.837304e+02 7.098953e+02
2.876854e+02 6.783550e+02
2.916956e+02 6.483029e+02
2.957617e+02 6.200555e+02
2.998844e+02 5.925380e+02
3.040646e+02 5.662189e+02
3.083031e+02 5.413299e+02
3.126007e+02 5.171314e+02
3.169582e+02 4.943684e+02
3.213764e+02 4.717715e+02
3.258562e+02 4.502876e+02
3.303985e+02 4.300764e+02
3.350041e+02 4.109791e+02
3.396739e+02 3.924829e+02
3.444087e+02 3.746365e+02
3.492096e+02 3.582036e+02
3.540774e+02 3.421486e+02
3.590130e+02 3.264224e+02
3.640175e+02 3.115988e+02
3.690917e+02 2.982496e+02
3.742366e+02 2.841247e+02
3.794533e+02 2.707293e+02
3.847427e+02 2.579609e+02
3.901058e+02 2.457321e+02
3.955436e+02 2.339895e+02
4.010573e+02 2.228776e+02
4.066478e+02 2.121251e+02
4.123163e+02 2.020195e+02
4.180637e+02 1.926391e+02
4.238913e+02 1.834837e+02
4.298001e+02 1.744173e+02
4.357913e+02 1.660655e+02
4.418660e+02 1.584817e+02
4.480254e+02 1.509104e+02
4.542706e+02 1.434532e+02
4.606029e+02 1.362735e+02
4.670234e+02 1.296027e+02
4.735335e+02 1.231680e+02
4.801343e+02 1.173453e+02
4.868271e+02 1.114295e+02
4.936132e+02 1.057188e+02
5.004939e+02 1.005930e+02
5.074705e+02 9.567863e+01
5.145444e+02 9.077761e+01
5.217169e+02 8.611918e+01
5.289893e+02 8.183573e+01
5.363631e+02 7.772124e+01
5.438397e+02 7.385585e+01
5.514206e+02 7.014429e+01
5.591071e+02 6.665672e+01
5.669007e+02 6.328740e+01
5.748030e+02 6.002777e+01
5.828155e+02 5.699545e+01
5.909396e+02 5.399476e+01
5.991770e+02 5.122555e+01
6.075292e+02 4.861888e+01
6.159978e+02 4.601727e+01
6.245845e+02 4.351377e+01
6.332908e+02 4.111654e+01
6.421186e+02 3.884200e+01
6.510694e+02 3.672353e+01
6.601449e+02 3.467075e+01
6.693470e+02 3.269829e+01
6.786773e+02 3.088159e+01
6.881377e+02 2.911856e+01
6.977300e+02 2.753229e+01
7.074559e+02 2.607692e+01
7.173175e+02 2.462291e+01
7.273165e+02 2.328274e+01
7.374549e+02 2.202358e+01
7.477346e+02 2.078644e+01
7.581576e+02 1.963746e+01
7.687260e+02 1.848306e+01
7.794416e+02 1.743345e+01
7.903066e+02 1.646406e+01
8.013230e+02 1.553543e+01
8.124930e+02 1.466437e+01
8.238187e+02 1.380368e+01
8.353023e+02 1.299078e+01
8.469460e+02 1.223752e+01
8.587519e+02 1.152261e+01
8.707225e+02 1.084641e+01
8.828599e+02 1.017218e+01
8.951665e+02 9.580629e+00
9.076446e+02 9.022652e+00
9.202967e+02 8.451482e+00
9.331251e+02 7.921502e+00
9.461324e+02 7.434816e+00
9.593209e+02 6.989566e+00
9.726934e+02 6.555047e+00
9.862522e+02 6.142372e+00
1.000000e+03 5.746250e+00
