# Energy(MeV) Phi16_Planare Phi84_Planare
1.934520e+01 1.570469e+06 1.998916e+06
1.961486e+01 1.511449e+06 1.925581e+06
1.988828e+01 1.454315e+06 1.855307e+06
2.016551e+01 1.398806e+06 1.786657e+06
2.044661e+01 1.346017e+06 1.720780e+06
2.073162e+01 1.295993e+06 1.655934e+06
2.102061e+01 1.247785e+06 1.593823e+06
2.131362e+01 1.201337e+06 1.534030e+06
2.161073e+01 1.156829e+06 1.478272e+06
2.191197e+01 1.111740e+06 1.423545e+06
2.221741e+01 1.068647e+06 1.371661e+06
2.252711e+01 1.028152e+06 1.319807e+06
2.284112e+01 9.901107e+05 1.270424e+06
2.315951e+01 9.534717e+05 1.223624e+06
2.348235e+01 9.173656e+05 1.177718e+06
2.380968e+01 8.833930e+05 1.134746e+06
2.414157e+01 8.504119e+05 1.093150e+06
2.447809e+01 8.182893e+05 1.052250e+06
2.481930e+01 7.867244e+05 1.011886e+06
2.516527e+01 7.577297e+05 9.730329e+05
2.551606e+01 7.281021e+05 9.364795e+05
2.587174e+01 7.009252e+05 9.033375e+05
2.623238e+01 6.741596e+05 8.700002e+05
2.659804e+01 6.487147e+05 8.374859e+05
2.696881e+01 6.244245e+05 8.069672e+05
2.734474e+01 6.011737e+05 7.767753e+05
2.772591e+01 5.782471e+05 7.476679e+05
2.811239e+01 5.568935e+05 7.195715e+05
2.850426e+01 5.359665e+05 6.927446e+05
2.890160e+01 5.156367e+05 6.668498e+05
2.930447e+01 4.957260e+05 6.420790e+05
2.971296e+01 4.770107e+05 6.186142e+05
3.012714e+01 4.586234e+05 5.958565e+05
3.054710e+01 4.419744e+05 5.735923e+05
3.097291e+01 4.251904e+05 5.519913e+05
3.140465e+01 4.088515e+05 5.312488e+05
3.184242e+01 3.923890e+05 5.117200e+05
3.228628e+01 3.774717e+05 4.935142e+05
3.273634e+01 3.632253e+05 4.748533e+05
3.319266e+01 3.492894e+05 4.570231e+05
3.365535e+01 3.361589e+05 4.401183e+05
3.412449e+01 3.233778e+05 4.238306e+05
3.460016e+01 3.107677e+05 4.081375e+05
3.508247e+01 2.992541e+05 3.930216e+05
3.557150e+01 2.881418e+05 3.784703e+05
3.606735e+01 2.772449e+05 3.644134e+05
3.657011e+01 2.668764e+05 3.508844e+05
3.707988e+01 2.565434e+05 3.378052e+05
3.759675e+01 2.468602e+05 3.253595e+05
3.812083e+01 2.374772e+05 3.133225e+05
3.865221e+01 2.284758e+05 3.016678e+05
3.919100e+01 2.198105e+05 2.903485e+05
3.973730e+01 2.109383e+05 2.795379e+05
4.029122e+01 2.029328e+05 2.687474e+05
4.085286e+01 1.952346e+05 2.585246e+05
4.142232e+01 1.876272e+05 2.488264e+05
4.199973e+01 1.801811e+05 2.396057e+05
4.258518e+01 1.730487e+05 2.306990e+05
4.317880e+01 1.662942e+05 2.221609e+05
4.378069e+01 1.599389e+05 2.138370e+05
4.439097e+01 1.537028e+05 2.058880e+05
4.500975e+01 1.475697e+05 1.982563e+05
4.563716e+01 1.416722e+05 1.908986e+05
