# Energy(MeV) Fluence(cm^-2*MeV^-1)
7.903066e+02 4.685120e+03
8.013230e+02 4.481732e+03
8.124930e+02 4.287173e+03
8.238187e+02 4.101060e+03
8.353023e+02 3.923027e+03
8.469460e+02 3.752723e+03
8.587519e+02 3.589811e+03
8.707225e+02 3.434227e+03
8.828599e+02 3.285484e+03
8.951665e+02 3.143183e+03
9.076446e+02 3.007046e+03
9.202967e+02 2.876806e+03
9.331251e+02 2.752206e+03
9.461324e+02 2.633003e+03
9.593209e+02 2.518963e+03
9.726934e+02 2.409862e+03
9.862522e+02 2.305487e+03
1.000000e+03 2.205633e+03
