# Energy(MeV) Fluence_Planare_Median(p/cm2)
4.013398e+02 1.666631e+02
4.093847e+02 1.549902e+02
4.175907e+02 1.443453e+02
4.259613e+02 1.344381e+02
4.344997e+02 1.245349e+02
4.432092e+02 1.157774e+02
4.520933e+02 1.072202e+02
4.611555e+02 9.910840e+01
4.703993e+02 9.175393e+01
4.798284e+02 8.530380e+01
4.894465e+02 7.904910e+01
4.992574e+02 7.322526e+01
5.092650e+02 6.765839e+01
5.194732e+02 6.275976e+01
5.298860e+02 5.798950e+01
5.405075e+02 5.372775e+01
5.513420e+02 4.959356e+01
5.623936e+02 4.572104e+01
5.736667e+02 4.209048e+01
5.851658e+02 3.882579e+01
5.968954e+02 3.580939e+01
6.088601e+02 3.306044e+01
6.210647e+02 3.038031e+01
6.335139e+02 2.799581e+01
6.462126e+02 2.588430e+01
6.591659e+02 2.383043e+01
6.723788e+02 2.196765e+01
6.858566e+02 2.014087e+01
6.996046e+02 1.847184e+01
7.136281e+02 1.696700e+01
7.279327e+02 1.561684e+01
7.425240e+02 1.438995e+01
7.574079e+02 1.322884e+01
7.725901e+02 1.214184e+01
7.880766e+02 1.111271e+01
8.038735e+02 1.018709e+01
8.199871e+02 9.308230e+00
8.364237e+02 8.540637e+00
8.531897e+02 7.899527e+00
8.702918e+02 7.224564e+00
8.877368e+02 6.565312e+00
9.055314e+02 5.982389e+00
9.236827e+02 5.452200e+00
9.421978e+02 4.953719e+00
9.610841e+02 4.478119e+00
9.803490e+02 4.045305e+00
1.000000e+03 3.675053e+00
