# Energy(MeV) Phi16_Planare Phi84_Planare
1.815779e+00 3.947142e+08 9.626218e+08
1.852176e+00 3.788101e+08 9.228906e+08
1.889303e+00 3.633459e+08 8.829429e+08
1.927174e+00 3.462249e+08 8.454447e+08
1.965804e+00 3.285021e+08 8.096585e+08
2.005209e+00 3.129754e+08 7.734398e+08
2.045403e+00 3.004957e+08 7.393657e+08
2.086403e+00 2.882922e+08 7.061649e+08
2.128224e+00 2.751298e+08 6.729946e+08
2.170885e+00 2.631066e+08 6.415799e+08
2.214400e+00 2.485498e+08 6.110315e+08
2.258787e+00 2.362530e+08 5.838587e+08
2.304064e+00 2.247973e+08 5.563713e+08
2.350249e+00 2.132919e+08 5.293299e+08
2.397360e+00 2.023750e+08 5.029078e+08
2.445415e+00 1.922802e+08 4.787107e+08
2.494433e+00 1.840649e+08 4.549223e+08
2.544434e+00 1.762843e+08 4.325814e+08
2.595437e+00 1.688686e+08 4.104802e+08
2.647462e+00 1.617102e+08 3.905157e+08
2.700530e+00 1.542728e+08 3.703340e+08
2.754662e+00 1.472717e+08 3.516840e+08
2.809879e+00 1.400940e+08 3.343094e+08
2.866203e+00 1.332544e+08 3.172433e+08
2.923656e+00 1.266261e+08 3.012265e+08
2.982260e+00 1.197411e+08 2.858299e+08
3.042039e+00 1.135672e+08 2.707908e+08
3.103017e+00 1.077222e+08 2.565139e+08
3.165216e+00 1.022680e+08 2.432230e+08
3.228663e+00 9.705112e+07 2.307445e+08
3.293381e+00 9.229692e+07 2.188810e+08
3.359397e+00 8.784394e+07 2.075677e+08
3.426736e+00 8.357535e+07 1.967056e+08
3.495424e+00 7.934020e+07 1.863385e+08
3.565490e+00 7.527141e+07 1.765359e+08
3.636960e+00 7.141104e+07 1.673103e+08
3.709862e+00 6.774841e+07 1.586083e+08
3.784226e+00 6.427342e+07 1.502766e+08
3.860081e+00 6.097645e+07 1.423814e+08
3.937456e+00 5.784839e+07 1.349136e+08
4.016382e+00 5.488059e+07 1.278115e+08
4.096890e+00 5.206485e+07 1.211148e+08
4.179012e+00 4.939338e+07 1.148348e+08
4.262780e+00 4.685881e+07 1.088042e+08
4.348227e+00 4.445411e+07 1.031394e+08
4.435387e+00 4.215429e+07 9.782161e+07
4.524294e+00 3.988812e+07 9.268385e+07
4.614983e+00 3.774367e+07 8.767417e+07
4.707490e+00 3.571442e+07 8.301496e+07
4.801851e+00 3.379416e+07 7.864698e+07
4.898104e+00 3.197706e+07 7.454834e+07
4.996286e+00 3.026917e+07 7.075327e+07
5.096436e+00 2.865481e+07 6.699857e+07
5.198594e+00 2.722269e+07 6.353583e+07
5.302799e+00 2.587990e+07 6.023437e+07
5.409093e+00 2.460833e+07 5.707691e+07
5.517518e+00 2.339905e+07 5.410283e+07
5.628116e+00 2.224900e+07 5.132260e+07
5.740932e+00 2.115529e+07 4.859433e+07
5.856008e+00 2.009417e+07 4.605486e+07
5.973391e+00 1.904928e+07 4.368624e+07
6.093127e+00 1.810101e+07 4.142311e+07
6.215264e+00 1.710898e+07 3.927171e+07
6.339848e+00 1.619489e+07 3.719514e+07
6.466930e+00 1.538329e+07 3.526884e+07
6.596559e+00 1.461760e+07 3.343765e+07
6.728787e+00 1.385310e+07 3.170312e+07
6.863665e+00 1.309820e+07 3.000458e+07
7.001246e+00 1.238439e+07 2.845104e+07
7.141586e+00 1.170944e+07 2.695055e+07
7.284738e+00 1.107664e+07 2.552335e+07
7.430760e+00 1.048058e+07 2.417227e+07
7.579709e+00 9.916584e+06 2.293142e+07
7.731644e+00 9.382932e+06 2.173573e+07
7.886624e+00 8.908047e+06 2.056735e+07
8.044711e+00 8.462882e+06 1.949650e+07
8.205967e+00 8.039898e+06 1.849057e+07
8.370455e+00 7.637980e+06 1.752148e+07
8.538240e+00 7.256080e+06 1.659359e+07
8.709388e+00 6.893205e+06 1.573932e+07
8.883967e+00 6.548409e+06 1.488348e+07
9.062045e+00 6.220792e+06 1.408148e+07
9.243693e+00 5.909502e+06 1.334527e+07
9.428983e+00 5.613727e+06 1.266006e+07
9.617986e+00 5.332694e+06 1.200981e+07
9.810778e+00 5.065672e+06 1.138585e+07
1.000743e+01 4.811963e+06 1.079467e+07
1.020803e+01 4.570906e+06 1.022630e+07
1.041265e+01 4.341872e+06 9.687000e+06
1.062137e+01 4.124261e+06 9.173419e+06
1.083428e+01 3.917507e+06 8.697861e+06
1.105145e+01 3.721014e+06 8.249911e+06
1.127297e+01 3.527356e+06 7.821683e+06
1.149894e+01 3.343741e+06 7.408399e+06
1.172944e+01 3.169650e+06 7.017247e+06
1.196455e+01 3.004589e+06 6.657037e+06
1.220438e+01 2.848091e+06 6.312134e+06
1.244902e+01 2.699713e+06 5.977086e+06
1.269856e+01 2.559035e+06 5.656676e+06
1.295310e+01 2.425658e+06 5.358025e+06
1.321274e+01 2.299205e+06 5.079006e+06
1.347759e+01 2.179316e+06 4.817790e+06
1.374775e+01 2.065652e+06 4.569462e+06
1.402332e+01 1.957890e+06 4.329495e+06
1.430442e+01 1.855726e+06 4.101680e+06
1.459115e+01 1.758868e+06 3.885804e+06
1.488362e+01 1.667043e+06 3.681014e+06
1.518197e+01 1.579988e+06 3.487628e+06
1.548629e+01 1.497459e+06 3.301899e+06
1.579671e+01 1.419219e+06 3.129252e+06
1.611335e+01 1.345046e+06 2.962317e+06
1.643634e+01 1.269884e+06 2.805918e+06
1.676581e+01 1.200977e+06 2.657428e+06
1.710188e+01 1.136836e+06 2.516831e+06
1.744468e+01 1.069733e+06 2.386220e+06
1.779436e+01 1.010535e+06 2.259401e+06
1.815105e+01 9.549972e+05 2.139119e+06
1.851488e+01 9.025066e+05 2.024955e+06
1.888601e+01 8.540717e+05 1.918381e+06
1.926458e+01 8.040833e+05 1.817972e+06
1.965074e+01 7.597849e+05 1.723971e+06
2.004464e+01 7.167441e+05 1.631461e+06
2.044643e+01 6.779149e+05 1.545132e+06
2.085628e+01 6.411118e+05 1.465060e+06
2.127434e+01 6.081829e+05 1.388261e+06
