# Energy(MeV) Fluence_4Pi(p/cm2)
3.396739e+02 0.000000e+00
3.444087e+02 0.000000e+00
3.492096e+02 0.000000e+00
3.540774e+02 0.000000e+00
3.590130e+02 0.000000e+00
3.640175e+02 0.000000e+00
3.690917e+02 0.000000e+00
3.742366e+02 0.000000e+00
3.794533e+02 0.000000e+00
3.847427e+02 0.000000e+00
3.901058e+02 0.000000e+00
3.955436e+02 0.000000e+00
4.010573e+02 0.000000e+00
4.066478e+02 0.000000e+00
4.123163e+02 0.000000e+00
4.180637e+02 0.000000e+00
4.238913e+02 0.000000e+00
4.298001e+02 0.000000e+00
4.357913e+02 0.000000e+00
4.418660e+02 0.000000e+00
4.480254e+02 0.000000e+00
4.542706e+02 0.000000e+00
4.606029e+02 0.000000e+00
4.670234e+02 0.000000e+00
4.735335e+02 0.000000e+00
4.801343e+02 0.000000e+00
4.868271e+02 0.000000e+00
4.936132e+02 0.000000e+00
5.004939e+02 0.000000e+00
5.074705e+02 0.000000e+00
5.145444e+02 0.000000e+00
5.217169e+02 0.000000e+00
5.289893e+02 0.000000e+00
5.363631e+02 0.000000e+00
5.438397e+02 0.000000e+00
5.514206e+02 0.000000e+00
5.591071e+02 0.000000e+00
5.669007e+02 0.000000e+00
5.748030e+02 0.000000e+00
5.828155e+02 0.000000e+00
5.909396e+02 0.000000e+00
5.991770e+02 0.000000e+00
6.075292e+02 0.000000e+00
6.159978e+02 0.000000e+00
6.245845e+02 0.000000e+00
6.332908e+02 0.000000e+00
6.421186e+02 0.000000e+00
6.510694e+02 0.000000e+00
6.601449e+02 0.000000e+00
6.693470e+02 0.000000e+00
6.786773e+02 0.000000e+00
6.881377e+02 0.000000e+00
6.977300e+02 0.000000e+00
7.074559e+02 0.000000e+00
7.173175e+02 0.000000e+00
7.273165e+02 0.000000e+00
7.374549e+02 0.000000e+00
7.477346e+02 0.000000e+00
7.581576e+02 0.000000e+00
7.687260e+02 0.000000e+00
7.794416e+02 0.000000e+00
7.903066e+02 0.000000e+00
8.013230e+02 0.000000e+00
8.124930e+02 0.000000e+00
8.238187e+02 0.000000e+00
8.353023e+02 0.000000e+00
8.469460e+02 0.000000e+00
8.587519e+02 0.000000e+00
8.707225e+02 0.000000e+00
8.828599e+02 0.000000e+00
8.951665e+02 0.000000e+00
9.076446e+02 0.000000e+00
9.202967e+02 0.000000e+00
9.331251e+02 0.000000e+00
9.461324e+02 0.000000e+00
9.593209e+02 0.000000e+00
9.726934e+02 0.000000e+00
9.862522e+02 0.000000e+00
1.000000e+03 0.000000e+00
