# E(MeV) Lo68 Hi68
5.169242e+01 1.256637e-29 4.745488e+05
5.241298e+01 1.256637e-29 4.567645e+05
5.314359e+01 1.256637e-29 4.391660e+05
5.388438e+01 1.256637e-29 4.226299e+05
5.463550e+01 1.256637e-29 4.066868e+05
5.539709e+01 1.256637e-29 3.912699e+05
5.616930e+01 1.256637e-29 3.761414e+05
5.695227e+01 1.256637e-29 3.615234e+05
5.774615e+01 1.256637e-29 3.478133e+05
5.855110e+01 1.256637e-29 3.349001e+05
5.936727e+01 1.256637e-29 3.224434e+05
6.019482e+01 1.256637e-29 3.101774e+05
6.103390e+01 1.256637e-29 2.980953e+05
6.188468e+01 1.256637e-29 2.864616e+05
6.274732e+01 1.256637e-29 2.754349e+05
6.362198e+01 1.256637e-29 2.651151e+05
6.450884e+01 1.256637e-29 2.548699e+05
6.540806e+01 1.256637e-29 2.451619e+05
6.631981e+01 1.256637e-29 2.359285e+05
6.724427e+01 1.256637e-29 2.271791e+05
6.818162e+01 1.256637e-29 2.187542e+05
6.913204e+01 1.256637e-29 2.106084e+05
7.009570e+01 1.256637e-29 2.027398e+05
7.107280e+01 1.256637e-29 1.951651e+05
7.206351e+01 1.256637e-29 1.878325e+05
7.306804e+01 1.256637e-29 1.806364e+05
7.408657e+01 1.256637e-29 1.736907e+05
7.511929e+01 1.256637e-29 1.671785e+05
7.616642e+01 1.256637e-29 1.608021e+05
7.722814e+01 1.256637e-29 1.546819e+05
7.830465e+01 1.256637e-29 1.487755e+05
7.939618e+01 1.256637e-29 1.431571e+05
8.050292e+01 1.256637e-29 1.376604e+05
8.162509e+01 1.256637e-29 1.323842e+05
8.276289e+01 1.256637e-29 1.274118e+05
8.391656e+01 1.256637e-29 1.226848e+05
8.508632e+01 1.256637e-29 1.180657e+05
8.627237e+01 1.256637e-29 1.135953e+05
8.747496e+01 1.256637e-29 1.092532e+05
8.869432e+01 1.256637e-29 1.050871e+05
8.993067e+01 1.256637e-29 1.010699e+05
9.118425e+01 1.256637e-29 9.720624e+04
9.245531e+01 1.256637e-29 9.352254e+04
9.374409e+01 1.256637e-29 8.991492e+04
9.505083e+01 1.256637e-29 8.647079e+04
9.637579e+01 1.256637e-29 8.315858e+04
9.771921e+01 1.256637e-29 7.997389e+04
9.908137e+01 1.256637e-29 7.691300e+04
1.004625e+02 1.256637e-29 7.397663e+04
1.018629e+02 1.256637e-29 7.114730e+04
1.032828e+02 1.256637e-29 6.841484e+04
1.047225e+02 1.256637e-29 6.579708e+04
1.061823e+02 1.256637e-29 6.329058e+04
1.076624e+02 1.256637e-29 6.089577e+04
1.091632e+02 1.256637e-29 5.860407e+04
1.106848e+02 1.256637e-29 5.640999e+04
1.122277e+02 1.256637e-29 5.431896e+04
1.137921e+02 1.256637e-29 5.228827e+04
1.153783e+02 1.256637e-29 5.028166e+04
1.169866e+02 1.256637e-29 4.837442e+04
1.186174e+02 1.256637e-29 4.653909e+04
1.202708e+02 1.256637e-29 4.478035e+04
1.219473e+02 1.256637e-29 4.308698e+04
1.236472e+02 1.256637e-29 4.143730e+04
1.253708e+02 1.256637e-29 3.984781e+04
1.271184e+02 1.256637e-29 3.832290e+04
1.288904e+02 1.256637e-29 3.685778e+04
1.306870e+02 1.256637e-29 3.546243e+04
1.325087e+02 1.256637e-29 3.412247e+04
1.343558e+02 1.256637e-29 3.283074e+04
1.362287e+02 1.256637e-29 3.158792e+04
1.381276e+02 1.256637e-29 3.037864e+04
