# Energy(MeV) Phi16_Spherical Phi84_Spherical
4.200529e+00 1.298984e+09 1.586432e+09
4.270555e+00 1.266880e+09 1.546572e+09
4.341748e+00 1.235412e+09 1.508671e+09
4.414129e+00 1.204249e+09 1.472445e+09
4.487716e+00 1.173821e+09 1.436022e+09
4.562530e+00 1.144166e+09 1.400259e+09
4.638591e+00 1.115214e+09 1.366040e+09
4.715920e+00 1.086877e+09 1.332051e+09
4.794538e+00 1.059148e+09 1.298553e+09
4.874467e+00 1.032393e+09 1.266030e+09
4.955728e+00 1.005891e+09 1.233063e+09
5.038344e+00 9.802400e+08 1.201641e+09
5.122337e+00 9.548992e+08 1.171590e+09
5.207731e+00 9.300979e+08 1.140615e+09
5.294548e+00 9.060171e+08 1.111112e+09
5.382812e+00 8.824552e+08 1.082890e+09
5.472548e+00 8.593165e+08 1.055930e+09
5.563780e+00 8.369805e+08 1.029233e+09
5.656532e+00 8.151406e+08 1.003066e+09
5.750831e+00 7.937262e+08 9.769175e+08
5.846702e+00 7.728547e+08 9.515231e+08
5.944171e+00 7.525577e+08 9.269234e+08
6.043265e+00 7.326657e+08 9.025257e+08
6.144012e+00 7.130825e+08 8.785697e+08
6.246437e+00 6.942505e+08 8.548180e+08
6.350570e+00 6.755860e+08 8.316643e+08
6.456439e+00 6.574397e+08 8.095647e+08
6.564073e+00 6.399866e+08 7.877852e+08
6.673502e+00 6.227260e+08 7.665332e+08
6.784754e+00 6.061634e+08 7.455043e+08
6.897862e+00 5.899724e+08 7.251255e+08
7.012854e+00 5.740752e+08 7.051169e+08
7.129764e+00 5.583500e+08 6.857156e+08
7.248623e+00 5.431717e+08 6.666179e+08
7.369464e+00 5.285976e+08 6.485633e+08
7.492318e+00 5.141721e+08 6.305549e+08
7.617221e+00 5.000200e+08 6.128304e+08
7.744207e+00 4.860930e+08 5.958492e+08
7.873309e+00 4.726909e+08 5.792187e+08
8.004563e+00 4.592227e+08 5.630714e+08
8.138006e+00 4.464872e+08 5.473699e+08
8.273673e+00 4.342201e+08 5.322940e+08
8.411601e+00 4.222085e+08 5.174082e+08
8.551830e+00 4.103002e+08 5.028463e+08
8.694395e+00 3.984558e+08 4.881376e+08
8.839338e+00 3.871327e+08 4.742611e+08
8.986697e+00 3.759909e+08 4.605556e+08
9.136512e+00 3.652757e+08 4.471178e+08
9.288825e+00 3.547248e+08 4.339346e+08
9.443677e+00 3.442353e+08 4.209204e+08
9.601111e+00 3.339599e+08 4.084028e+08
9.761169e+00 3.240827e+08 3.961537e+08
9.923896e+00 3.143665e+08 3.841618e+08
1.008933e+01 3.049500e+08 3.724318e+08
1.025753e+01 2.958694e+08 3.610122e+08
1.042853e+01 2.867843e+08 3.501515e+08
1.060239e+01 2.780827e+08 3.396106e+08
1.077914e+01 2.695435e+08 3.292708e+08
1.095883e+01 2.611195e+08 3.191964e+08
1.114153e+01 2.530409e+08 3.093039e+08
1.132726e+01 2.453821e+08 2.994515e+08
1.151610e+01 2.377949e+08 2.902613e+08
1.170808e+01 2.304716e+08 2.811285e+08
1.190326e+01 2.234803e+08 2.724934e+08
1.210170e+01 2.165537e+08 2.640324e+08
1.230345e+01 2.099553e+08 2.559015e+08
1.250855e+01 2.035053e+08 2.477007e+08
1.271708e+01 1.969875e+08 2.399485e+08
1.292909e+01 1.904695e+08 2.321333e+08
1.314462e+01 1.838370e+08 2.244462e+08
1.336375e+01 1.780505e+08 2.172536e+08
1.358654e+01 1.724023e+08 2.100820e+08
1.381304e+01 1.667522e+08 2.031799e+08
1.404331e+01 1.612241e+08 1.965096e+08
1.427743e+01 1.558401e+08 1.899018e+08
1.451544e+01 1.505836e+08 1.835339e+08
1.475743e+01 1.456224e+08 1.774659e+08
1.500344e+01 1.405922e+08 1.714942e+08
1.525356e+01 1.357919e+08 1.656321e+08
1.550785e+01 1.312028e+08 1.598868e+08
1.576638e+01 1.265458e+08 1.545253e+08
1.602922e+01 1.221451e+08 1.492630e+08
1.629644e+01 1.178701e+08 1.442148e+08
1.656811e+01 1.135996e+08 1.391683e+08
1.684432e+01 1.096176e+08 1.342369e+08
1.712513e+01 1.058234e+08 1.294425e+08
1.741061e+01 1.018810e+08 1.247560e+08
1.770086e+01 9.810246e+07 1.201601e+08
1.799595e+01 9.446061e+07 1.159077e+08
1.829596e+01 9.077543e+07 1.118260e+08
1.860097e+01 8.731173e+07 1.077621e+08
1.891106e+01 8.406737e+07 1.037525e+08
1.922632e+01 8.089974e+07 9.992207e+07
1.954684e+01 7.791816e+07 9.612929e+07
1.987270e+01 7.499876e+07 9.264759e+07
2.020400e+01 7.197186e+07 8.910871e+07
2.054081e+01 6.905513e+07 8.568896e+07
2.088324e+01 6.631034e+07 8.236813e+07
2.123138e+01 6.368987e+07 7.911838e+07
2.158533e+01 6.105302e+07 7.599953e+07
2.194517e+01 5.853030e+07 7.301203e+07
2.231102e+01 5.624521e+07 7.016019e+07
2.268296e+01 5.392398e+07 6.747142e+07
2.306110e+01 5.179336e+07 6.482186e+07
2.344555e+01 4.969760e+07 6.222600e+07
2.383641e+01 4.767828e+07 5.972468e+07
2.423378e+01 4.572946e+07 5.725479e+07
2.463777e+01 4.381745e+07 5.495166e+07
2.504851e+01 4.191734e+07 5.267940e+07
2.546608e+01 4.013057e+07 5.046313e+07
2.589062e+01 3.842832e+07 4.833255e+07
2.632224e+01 3.677655e+07 4.626960e+07
2.676105e+01 3.517764e+07 4.430775e+07
2.720718e+01 3.356605e+07 4.242284e+07
