# Energy(MeV) Fluence_Pi
1.579671e+01 2.515067e+06
1.611335e+01 2.386698e+06
1.643634e+01 2.261214e+06
1.676581e+01 2.142694e+06
1.710188e+01 2.028448e+06
1.744468e+01 1.920424e+06
1.779436e+01 1.820936e+06
1.815105e+01 1.727627e+06
1.851488e+01 1.635949e+06
1.888601e+01 1.549092e+06
1.926458e+01 1.467704e+06
1.965074e+01 1.391377e+06
2.004464e+01 1.319386e+06
2.044643e+01 1.251082e+06
2.085628e+01 1.187328e+06
2.127434e+01 1.125131e+06
2.170078e+01 1.066477e+06
2.213577e+01 1.010154e+06
2.257948e+01 9.578420e+05
2.303209e+01 9.076986e+05
2.349376e+01 8.604406e+05
2.396469e+01 8.157875e+05
2.444506e+01 7.716840e+05
2.493506e+01 7.305148e+05
2.543488e+01 6.915889e+05
2.594472e+01 6.548814e+05
2.646478e+01 6.200831e+05
2.699527e+01 5.870268e+05
2.753639e+01 5.558011e+05
2.808835e+01 5.263705e+05
2.865138e+01 4.980408e+05
2.922570e+01 4.716075e+05
2.981152e+01 4.466172e+05
3.040909e+01 4.229425e+05
3.101864e+01 4.008810e+05
3.164041e+01 3.800942e+05
3.227464e+01 3.598016e+05
3.292158e+01 3.407001e+05
3.358149e+01 3.224129e+05
3.425463e+01 3.051429e+05
3.494126e+01 2.886500e+05
3.564165e+01 2.732675e+05
3.635609e+01 2.583085e+05
3.708484e+01 2.446734e+05
3.782820e+01 2.318590e+05
3.858647e+01 2.196746e+05
3.935993e+01 2.080824e+05
4.014890e+01 1.969042e+05
4.095368e+01 1.865016e+05
4.177459e+01 1.764859e+05
4.261196e+01 1.672027e+05
4.346611e+01 1.583217e+05
4.433739e+01 1.497124e+05
4.522613e+01 1.416459e+05
4.613268e+01 1.339893e+05
4.705741e+01 1.269180e+05
4.800067e+01 1.201168e+05
4.896284e+01 1.136682e+05
4.994430e+01 1.075265e+05
5.094543e+01 1.015613e+05
5.196662e+01 9.589941e+04
5.300829e+01 9.067062e+04
5.407084e+01 8.564089e+04
5.515468e+01 8.095940e+04
5.626026e+01 7.664340e+04
5.738799e+01 7.249093e+04
5.853833e+01 6.855258e+04
5.971172e+01 6.486784e+04
6.090864e+01 6.137187e+04
6.212955e+01 5.804285e+04
6.337493e+01 5.483805e+04
6.464528e+01 5.178479e+04
6.594109e+01 4.896332e+04
6.726287e+01 4.627481e+04
6.861115e+01 4.375348e+04
6.998645e+01 4.135258e+04
7.138933e+01 3.903854e+04
7.282032e+01 3.679168e+04
7.428000e+01 3.464391e+04
7.576894e+01 3.270435e+04
7.728772e+01 3.089664e+04
7.883694e+01 2.918230e+04
8.041722e+01 2.756605e+04
8.202918e+01 2.603496e+04
8.367345e+01 2.454534e+04
8.535068e+01 2.317099e+04
8.706153e+01 2.186656e+04
8.880667e+01 2.062544e+04
9.058679e+01 1.946504e+04
9.240260e+01 1.832994e+04
9.425480e+01 1.729175e+04
9.614413e+01 1.631325e+04
9.807133e+01 1.538640e+04
1.000372e+02 1.451340e+04
1.020424e+02 1.367830e+04
1.040878e+02 1.290567e+04
1.061743e+02 1.217231e+04
1.083025e+02 1.147883e+04
1.104734e+02 1.082472e+04
1.126879e+02 1.022022e+04
1.149467e+02 9.647222e+03
1.172508e+02 9.056437e+03
1.196011e+02 8.517244e+03
1.219985e+02 8.033623e+03
1.244439e+02 7.554277e+03
1.269384e+02 7.099233e+03
1.294828e+02 6.672384e+03
1.320783e+02 6.285611e+03
1.347258e+02 5.904764e+03
1.374264e+02 5.553707e+03
1.401811e+02 5.225628e+03
1.429910e+02 4.917125e+03
1.458573e+02 4.617984e+03
1.487810e+02 4.336150e+03
1.517633e+02 4.082188e+03
1.548053e+02 3.845871e+03
1.579084e+02 3.620436e+03
1.610737e+02 3.402712e+03
1.643024e+02 3.198344e+03
1.675958e+02 3.005077e+03
1.709552e+02 2.818582e+03
1.743820e+02 2.648729e+03
1.778775e+02 2.490123e+03
1.814430e+02 2.336191e+03
1.850801e+02 2.192924e+03
1.887900e+02 2.060454e+03
1.925743e+02 1.933895e+03
1.964344e+02 1.806253e+03
2.003719e+02 1.696004e+03
2.043883e+02 1.587716e+03
2.084853e+02 1.492286e+03
2.126644e+02 1.391347e+03
2.169272e+02 1.303148e+03
2.212755e+02 1.220709e+03
2.257109e+02 1.146237e+03
2.302353e+02 1.076424e+03
2.348503e+02 1.005455e+03
2.395579e+02 9.437745e+02
2.443598e+02 8.802844e+02
2.492580e+02 8.226144e+02
2.542544e+02 7.698653e+02
2.593509e+02 7.234877e+02
2.645495e+02 6.791504e+02
2.698524e+02 6.371863e+02
2.752616e+02 5.943284e+02
2.807792e+02 5.519297e+02
2.864074e+02 5.158241e+02
2.921484e+02 4.797352e+02
2.980045e+02 4.491756e+02
3.039780e+02 4.196396e+02
3.100712e+02 3.902519e+02
3.162865e+02 3.645451e+02
3.226265e+02 3.416739e+02
3.290935e+02 3.182513e+02
3.356901e+02 2.972649e+02
3.424190e+02 2.777558e+02
3.492828e+02 2.583909e+02
3.562841e+02 2.403088e+02
3.634258e+02 2.237740e+02
3.707107e+02 2.077721e+02
3.781415e+02 1.927598e+02
3.857213e+02 1.786538e+02
3.934531e+02 1.655985e+02
4.013398e+02 1.540884e+02
4.093847e+02 1.429533e+02
4.175907e+02 1.325395e+02
4.259613e+02 1.225696e+02
4.344997e+02 1.132111e+02
4.432092e+02 1.047654e+02
4.520933e+02 9.687581e+01
4.611555e+02 8.942027e+01
4.703993e+02 8.267926e+01
4.798284e+02 7.612380e+01
4.894465e+02 7.008093e+01
4.992574e+02 6.467339e+01
5.092650e+02 5.981609e+01
5.194732e+02 5.513417e+01
5.298860e+02 5.080285e+01
5.405075e+02 4.694071e+01
5.513420e+02 4.326154e+01
5.623936e+02 3.980270e+01
5.736667e+02 3.667885e+01
5.851658e+02 3.356855e+01
5.968954e+02 3.064690e+01
6.088601e+02 2.809748e+01
6.210647e+02 2.573082e+01
6.335139e+02 2.365616e+01
6.462126e+02 2.169621e+01
6.591659e+02 1.982270e+01
6.723788e+02 1.817342e+01
6.858566e+02 1.659415e+01
6.996046e+02 1.516372e+01
7.136281e+02 1.388710e+01
7.279327e+02 1.277157e+01
7.425240e+02 1.170145e+01
7.574079e+02 1.074753e+01
7.725901e+02 9.858652e+00
7.880766e+02 9.031923e+00
8.038735e+02 8.230635e+00
8.199871e+02 7.458723e+00
8.364237e+02 6.740364e+00
8.531897e+02 6.113419e+00
8.702918e+02 5.593025e+00
8.877368e+02 5.061620e+00
9.055314e+02 4.575699e+00
9.236827e+02 4.165878e+00
9.421978e+02 3.793495e+00
9.610841e+02 3.413364e+00
9.803490e+02 3.060610e+00
1.000000e+03 2.728726e+00
