# Energy(MeV) Fluence_4Pi
1.517633e+02 1.632875e+04
1.548053e+02 1.538349e+04
1.579084e+02 1.448175e+04
1.610737e+02 1.361085e+04
1.643024e+02 1.279338e+04
1.675958e+02 1.202031e+04
1.709552e+02 1.127433e+04
1.743820e+02 1.059492e+04
1.778775e+02 9.960491e+03
1.814430e+02 9.344765e+03
1.850801e+02 8.771697e+03
1.887900e+02 8.241816e+03
1.925743e+02 7.735578e+03
1.964344e+02 7.225013e+03
2.003719e+02 6.784018e+03
2.043883e+02 6.350865e+03
2.084853e+02 5.969142e+03
2.126644e+02 5.565387e+03
2.169272e+02 5.212591e+03
2.212755e+02 4.882834e+03
2.257109e+02 4.584949e+03
2.302353e+02 4.305698e+03
2.348503e+02 4.021819e+03
2.395579e+02 3.775098e+03
2.443598e+02 3.521138e+03
2.492580e+02 3.290458e+03
2.542544e+02 3.079461e+03
2.593509e+02 2.893951e+03
2.645495e+02 2.716602e+03
2.698524e+02 2.548745e+03
2.752616e+02 2.377313e+03
2.807792e+02 2.207719e+03
2.864074e+02 2.063296e+03
2.921484e+02 1.918941e+03
2.980045e+02 1.796702e+03
3.039780e+02 1.678558e+03
3.100712e+02 1.561008e+03
3.162865e+02 1.458180e+03
3.226265e+02 1.366696e+03
3.290935e+02 1.273005e+03
3.356901e+02 1.189059e+03
3.424190e+02 1.111023e+03
3.492828e+02 1.033564e+03
3.562841e+02 9.612351e+02
3.634258e+02 8.950958e+02
3.707107e+02 8.310886e+02
3.781415e+02 7.710391e+02
3.857213e+02 7.146154e+02
3.934531e+02 6.623942e+02
4.013398e+02 6.163537e+02
4.093847e+02 5.718132e+02
4.175907e+02 5.301579e+02
4.259613e+02 4.902784e+02
4.344997e+02 4.528445e+02
4.432092e+02 4.190614e+02
4.520933e+02 3.875032e+02
4.611555e+02 3.576811e+02
4.703993e+02 3.307170e+02
4.798284e+02 3.044952e+02
4.894465e+02 2.803237e+02
4.992574e+02 2.586936e+02
5.092650e+02 2.392643e+02
5.194732e+02 2.205367e+02
5.298860e+02 2.032114e+02
5.405075e+02 1.877629e+02
5.513420e+02 1.730462e+02
5.623936e+02 1.592108e+02
5.736667e+02 1.467154e+02
5.851658e+02 1.342742e+02
5.968954e+02 1.225876e+02
6.088601e+02 1.123899e+02
6.210647e+02 1.029233e+02
6.335139e+02 9.462462e+01
6.462126e+02 8.678485e+01
6.591659e+02 7.929081e+01
6.723788e+02 7.269369e+01
6.858566e+02 6.637660e+01
6.996046e+02 6.065490e+01
7.136281e+02 5.554841e+01
7.279327e+02 5.108627e+01
7.425240e+02 4.680581e+01
7.574079e+02 4.299011e+01
7.725901e+02 3.943461e+01
7.880766e+02 3.612769e+01
8.038735e+02 3.292254e+01
8.199871e+02 2.983489e+01
8.364237e+02 2.696145e+01
8.531897e+02 2.445368e+01
8.702918e+02 2.237210e+01
8.877368e+02 2.024648e+01
9.055314e+02 1.830279e+01
9.236827e+02 1.666351e+01
9.421978e+02 1.517398e+01
9.610841e+02 1.365345e+01
9.803490e+02 1.224244e+01
1.000000e+03 1.091490e+01
