# Energy(MeV) Fluence_Sferica(4Pi)
2.330492e+02 8.081067e+04
2.360196e+02 7.722640e+04
2.390278e+02 7.378871e+04
2.420744e+02 7.050285e+04
2.451599e+02 6.734704e+04
2.482846e+02 6.433321e+04
2.514492e+02 6.144589e+04
2.546542e+02 5.869811e+04
2.578999e+02 5.610642e+04
2.611871e+02 5.356903e+04
2.645161e+02 5.115808e+04
2.678876e+02 4.887430e+04
2.713020e+02 4.667540e+04
2.747600e+02 4.456460e+04
2.782620e+02 4.254622e+04
2.818087e+02 4.062023e+04
2.854006e+02 3.879028e+04
2.890383e+02 3.705116e+04
2.927223e+02 3.539291e+04
2.964533e+02 3.381298e+04
3.002318e+02 3.229172e+04
3.040585e+02 3.085155e+04
3.079340e+02 2.946996e+04
3.118588e+02 2.815314e+04
3.158337e+02 2.688726e+04
3.198593e+02 2.568268e+04
3.239362e+02 2.453019e+04
3.280650e+02 2.343491e+04
3.322464e+02 2.238174e+04
3.364812e+02 2.137831e+04
3.407699e+02 2.042363e+04
3.451133e+02 1.950266e+04
3.495121e+02 1.861644e+04
3.539669e+02 1.777565e+04
3.584785e+02 1.697590e+04
3.630476e+02 1.621400e+04
3.676749e+02 1.548005e+04
3.723612e+02 1.477968e+04
3.771073e+02 1.411676e+04
3.819138e+02 1.348358e+04
3.867816e+02 1.287879e+04
3.917114e+02 1.229699e+04
3.967041e+02 1.174056e+04
4.017604e+02 1.121199e+04
4.068812e+02 1.070616e+04
4.120672e+02 1.022274e+04
4.173194e+02 9.764042e+03
4.226384e+02 9.325306e+03
4.280253e+02 8.909310e+03
4.334808e+02 8.509571e+03
4.390059e+02 8.125165e+03
4.446014e+02 7.759699e+03
4.502682e+02 7.412173e+03
4.560072e+02 7.079097e+03
4.618194e+02 6.762903e+03
4.677057e+02 6.459715e+03
4.736670e+02 6.171443e+03
4.797042e+02 5.895983e+03
4.858185e+02 5.632008e+03
4.920106e+02 5.379460e+03
4.982817e+02 5.136991e+03
5.046327e+02 4.905450e+03
5.110646e+02 4.684333e+03
5.175786e+02 4.472581e+03
5.241755e+02 4.271229e+03
5.308566e+02 4.078971e+03
5.376228e+02 3.896762e+03
5.444752e+02 3.722739e+03
5.514150e+02 3.554270e+03
5.584432e+02 3.395778e+03
5.655610e+02 3.243767e+03
5.727696e+02 3.098651e+03
5.800700e+02 2.961146e+03
5.874635e+02 2.828348e+03
5.949511e+02 2.700976e+03
6.025343e+02 2.580209e+03
6.102141e+02 2.465720e+03
6.179917e+02 2.355321e+03
6.258686e+02 2.248939e+03
6.338458e+02 2.148293e+03
6.419246e+02 2.051257e+03
6.501065e+02 1.958505e+03
6.583926e+02 1.869946e+03
6.667844e+02 1.785392e+03
6.752831e+02 1.704661e+03
6.838901e+02 1.627581e+03
6.926068e+02 1.553986e+03
7.014347e+02 1.483956e+03
7.103750e+02 1.417088e+03
7.194293e+02 1.353328e+03
7.285991e+02 1.292493e+03
7.378856e+02 1.234404e+03
7.472906e+02 1.178674e+03
7.568154e+02 1.125730e+03
7.664616e+02 1.075107e+03
7.762308e+02 1.026831e+03
7.861245e+02 9.804182e+02
7.961443e+02 9.362330e+02
8.062918e+02 8.939787e+02
8.165687e+02 8.536963e+02
8.269765e+02 8.152850e+02
8.375170e+02 7.786798e+02
8.481918e+02 7.437274e+02
8.590027e+02 7.103431e+02
8.699514e+02 6.784723e+02
8.810396e+02 6.480315e+02
8.922692e+02 6.189565e+02
9.036419e+02 5.910623e+02
9.151595e+02 5.646062e+02
9.268240e+02 5.393340e+02
9.386371e+02 5.152942e+02
9.506008e+02 4.922200e+02
9.627170e+02 4.701746e+02
9.749876e+02 4.489948e+02
9.874146e+02 4.287813e+02
1.000000e+03 4.095255e+02
