# Energy(MeV) Fluence_Planar
7.086058e+01 2.582312e+06
7.176376e+01 2.478469e+06
7.267845e+01 2.378854e+06
7.360479e+01 2.282974e+06
7.454294e+01 2.190387e+06
7.549305e+01 2.101744e+06
7.645527e+01 2.016813e+06
7.742976e+01 1.935247e+06
7.841666e+01 1.856768e+06
7.941615e+01 1.781238e+06
8.042837e+01 1.708442e+06
8.145350e+01 1.639234e+06
8.249169e+01 1.572758e+06
8.354311e+01 1.509353e+06
8.460794e+01 1.448312e+06
8.568633e+01 1.389950e+06
8.677847e+01 1.333300e+06
8.788454e+01 1.279156e+06
8.900470e+01 1.226875e+06
9.013913e+01 1.176584e+06
9.128803e+01 1.128742e+06
9.245157e+01 1.082958e+06
9.362994e+01 1.039376e+06
9.482333e+01 9.972629e+05
9.603193e+01 9.568489e+05
9.725594e+01 9.177991e+05
9.849554e+01 8.805059e+05
9.975095e+01 8.450097e+05
1.010224e+02 8.108713e+05
1.023100e+02 7.780303e+05
1.036140e+02 7.464544e+05
1.049346e+02 7.161032e+05
1.062721e+02 6.869866e+05
1.076266e+02 6.589865e+05
1.089984e+02 6.325240e+05
1.103877e+02 6.069808e+05
1.117947e+02 5.823068e+05
1.132196e+02 5.587397e+05
1.146627e+02 5.360986e+05
1.161241e+02 5.143521e+05
1.176042e+02 4.937033e+05
1.191032e+02 4.736745e+05
1.206213e+02 4.543467e+05
1.221587e+02 4.359605e+05
1.237157e+02 4.182558e+05
1.252925e+02 4.012085e+05
1.268895e+02 3.850958e+05
1.285068e+02 3.695360e+05
1.301447e+02 3.546059e+05
1.318035e+02 3.401583e+05
1.334835e+02 3.262674e+05
1.351848e+02 3.130421e+05
1.369079e+02 3.004398e+05
1.386529e+02 2.882004e+05
1.404201e+02 2.766106e+05
1.422099e+02 2.653695e+05
1.440225e+02 2.546575e+05
1.458582e+02 2.441896e+05
1.477172e+02 2.342196e+05
1.496000e+02 2.246807e+05
1.515068e+02 2.155012e+05
1.534379e+02 2.067888e+05
1.553935e+02 1.983660e+05
1.573742e+02 1.903314e+05
1.593800e+02 1.826520e+05
1.614115e+02 1.752084e+05
1.634688e+02 1.681337e+05
1.655523e+02 1.613471e+05
1.676624e+02 1.548056e+05
1.697994e+02 1.485093e+05
1.719636e+02 1.424940e+05
1.741555e+02 1.367143e+05
1.763752e+02 1.311960e+05
1.786233e+02 1.258294e+05
1.809000e+02 1.207312e+05
1.832057e+02 1.158065e+05
1.855408e+02 1.110865e+05
1.879056e+02 1.066067e+05
1.903007e+02 1.022901e+05
1.927262e+02 9.810504e+04
1.951826e+02 9.409654e+04
1.976704e+02 9.023250e+04
2.001899e+02 8.657814e+04
2.027415e+02 8.309221e+04
2.053256e+02 7.974150e+04
2.079426e+02 7.652766e+04
2.105930e+02 7.344283e+04
2.132772e+02 7.047910e+04
2.159956e+02 6.764205e+04
2.187486e+02 6.488649e+04
2.215367e+02 6.225225e+04
2.243604e+02 5.974689e+04
2.272201e+02 5.734405e+04
2.301162e+02 5.501120e+04
2.330492e+02 5.280893e+04
2.360196e+02 5.067958e+04
2.390278e+02 4.860676e+04
2.420744e+02 4.663431e+04
2.451599e+02 4.474681e+04
2.482846e+02 4.291825e+04
2.514492e+02 4.115708e+04
2.546542e+02 3.949721e+04
2.578999e+02 3.791622e+04
2.611871e+02 3.638042e+04
