# E(MeV) Fluence_4Pi
1.370550e+01 inf
1.386447e+01 inf
1.402528e+01 inf
1.418796e+01 inf
1.435252e+01 inf
1.451900e+01 inf
1.468740e+01 inf
1.485776e+01 inf
1.503009e+01 inf
1.520442e+01 inf
1.538078e+01 inf
1.555918e+01 inf
1.573965e+01 inf
1.592221e+01 inf
1.610689e+01 inf
1.629371e+01 inf
1.648270e+01 inf
1.667388e+01 inf
1.686728e+01 inf
1.706292e+01 inf
1.726083e+01 inf
1.746104e+01 inf
1.766357e+01 inf
1.786845e+01 inf
1.807570e+01 inf
1.828536e+01 inf
1.849745e+01 inf
1.871200e+01 inf
1.892904e+01 inf
1.914859e+01 inf
1.937070e+01 inf
1.959538e+01 inf
1.982266e+01 inf
2.005258e+01 inf
2.028517e+01 inf
2.052045e+01 inf
2.075847e+01 inf
2.099924e+01 inf
2.124281e+01 inf
2.148921e+01 inf
2.173846e+01 inf
2.199060e+01 inf
2.224567e+01 inf
2.250369e+01 inf
2.276471e+01 inf
2.302875e+01 inf
2.329586e+01 inf
2.356607e+01 inf
2.383941e+01 inf
2.411592e+01 inf
2.439564e+01 inf
2.467860e+01 inf
2.496485e+01 inf
2.525441e+01 inf
2.554733e+01 inf
2.584365e+01 inf
2.614341e+01 inf
2.644665e+01 inf
2.675340e+01 inf
2.706371e+01 inf
2.737762e+01 inf
2.769517e+01 inf
2.801640e+01 inf
2.834136e+01 inf
2.867009e+01 inf
2.900263e+01 inf
2.933903e+01 inf
2.967933e+01 inf
3.002358e+01 inf
3.037182e+01 inf
3.072410e+01 inf
3.108046e+01 inf
3.144096e+01 inf
3.180564e+01 inf
3.217455e+01 inf
3.254774e+01 inf
3.292526e+01 inf
3.330716e+01 inf
3.369348e+01 inf
3.408429e+01 inf
3.447963e+01 inf
3.487956e+01 inf
3.528412e+01 inf
3.569338e+01 inf
3.610738e+01 inf
3.652619e+01 inf
3.694985e+01 inf
3.737843e+01 inf
3.781198e+01 inf
3.825055e+01 inf
3.869422e+01 inf
3.914303e+01 inf
3.959704e+01 inf
4.005633e+01 inf
4.052094e+01 inf
4.099093e+01 inf
4.146638e+01 inf
4.194735e+01 inf
4.243389e+01 inf
4.292608e+01 inf
4.342397e+01 inf
4.392764e+01 inf
4.443715e+01 inf
4.495258e+01 inf
4.547398e+01 inf
4.600143e+01 inf
4.653499e+01 inf
4.707475e+01 inf
4.762076e+01 inf
4.817311e+01 inf
4.873186e+01 inf
4.929710e+01 inf
4.986889e+01 inf
5.044732e+01 inf
5.103245e+01 inf
5.162437e+01 inf
5.222315e+01 inf
5.282889e+01 inf
5.344164e+01 inf
5.406151e+01 inf
5.468856e+01 inf
5.532289e+01 inf
5.596457e+01 inf
5.661370e+01 inf
5.727036e+01 inf
5.793463e+01 inf
5.860661e+01 inf
5.928638e+01 inf
5.997404e+01 inf
6.066967e+01 inf
6.137337e+01 inf
6.208523e+01 inf
6.280535e+01 inf
6.353383e+01 inf
6.427075e+01 inf
6.501622e+01 inf
6.577033e+01 inf
6.653320e+01 inf
6.730491e+01 inf
6.808557e+01 inf
6.887529e+01 inf
6.967417e+01 inf
7.048231e+01 inf
7.129983e+01 inf
7.212683e+01 inf
7.296342e+01 inf
7.380971e+01 inf
7.466583e+01 inf
7.553187e+01 inf
7.640795e+01 inf
7.729420e+01 inf
7.819073e+01 inf
7.909765e+01 inf
8.001510e+01 inf
8.094319e+01 inf
8.188204e+01 inf
8.283178e+01 inf
8.379254e+01 inf
8.476444e+01 inf
8.574761e+01 inf
8.674219e+01 inf
8.774830e+01 inf
8.876609e+01 inf
8.979568e+01 inf
9.083721e+01 inf
9.189082e+01 inf
9.295665e+01 inf
9.403485e+01 inf
9.512555e+01 inf
9.622890e+01 inf
9.734505e+01 inf
9.847414e+01 inf
9.961633e+01 inf
1.007718e+02 inf
1.019406e+02 inf
1.031230e+02 inf
1.043191e+02 inf
1.055291e+02 inf
1.067531e+02 inf
1.079914e+02 inf
1.092439e+02 inf
1.105110e+02 inf
1.117928e+02 inf
1.130895e+02 inf
1.144012e+02 inf
1.157282e+02 inf
1.170705e+02 inf
1.184284e+02 inf
1.198020e+02 inf
1.211916e+02 inf
1.225973e+02 inf
1.240193e+02 inf
1.254578e+02 inf
1.269129e+02 inf
1.283850e+02 inf
1.298741e+02 inf
1.313805e+02 inf
1.329044e+02 inf
1.344459e+02 inf
1.360053e+02 inf
1.375828e+02 inf
1.391787e+02 inf
1.407930e+02 inf
1.424260e+02 inf
1.440780e+02 inf
1.457491e+02 inf
1.474397e+02 inf
1.491498e+02 inf
1.508798e+02 inf
1.526298e+02 inf
1.544002e+02 inf
1.561910e+02 inf
1.580027e+02 inf
1.598353e+02 inf
1.616892e+02 inf
1.635647e+02 inf
1.654618e+02 inf
1.673810e+02 inf
1.693224e+02 inf
1.712864e+02 inf
1.732731e+02 inf
1.752829e+02 inf
1.773160e+02 inf
1.793727e+02 inf
1.814532e+02 inf
1.835578e+02 inf
1.856869e+02 inf
1.878407e+02 inf
1.900194e+02 inf
1.922234e+02 inf
1.944530e+02 inf
1.967085e+02 inf
1.989901e+02 inf
2.012981e+02 inf
2.036330e+02 inf
2.059949e+02 inf
2.083842e+02 inf
2.108012e+02 inf
2.132463e+02 inf
2.157197e+02 inf
2.182218e+02 inf
2.207529e+02 inf
2.233134e+02 inf
2.259036e+02 inf
2.285239e+02 inf
2.311745e+02 inf
2.338559e+02 inf
2.365683e+02 inf
2.393123e+02 inf
2.420880e+02 inf
2.448960e+02 inf
2.477365e+02 inf
2.506100e+02 inf
2.535168e+02 inf
2.564573e+02 inf
2.594319e+02 inf
2.624410e+02 inf
2.654850e+02 inf
2.685644e+02 inf
2.716794e+02 inf
2.748306e+02 inf
2.780183e+02 inf
2.812431e+02 inf
2.845052e+02 inf
2.878051e+02 inf
2.911433e+02 inf
2.945203e+02 inf
2.979364e+02 inf
3.013921e+02 inf
3.048879e+02 inf
3.084243e+02 inf
3.120017e+02 inf
3.156206e+02 inf
3.192814e+02 inf
3.229847e+02 inf
3.267310e+02 inf
3.305207e+02 inf
3.343544e+02 inf
3.382325e+02 inf
3.421556e+02 inf
3.461243e+02 inf
3.501389e+02 inf
3.542002e+02 inf
3.583085e+02 inf
3.624645e+02 inf
3.666687e+02 inf
3.709216e+02 inf
3.752239e+02 inf
3.795761e+02 inf
3.839787e+02 inf
3.884325e+02 inf
3.929379e+02 inf
3.974955e+02 inf
4.021060e+02 inf
4.067700e+02 inf
4.114881e+02 inf
4.162609e+02 inf
4.210891e+02 inf
4.259732e+02 inf
4.309140e+02 inf
4.359122e+02 inf
4.409683e+02 inf
4.460830e+02 inf
4.512571e+02 inf
4.564912e+02 inf
4.617860e+02 inf
4.671422e+02 inf
4.725605e+02 inf
4.780417e+02 inf
4.835865e+02 inf
4.891955e+02 inf
4.948696e+02 inf
5.006096e+02 inf
5.064161e+02 inf
5.122900e+02 inf
5.182320e+02 inf
5.242429e+02 inf
5.303235e+02 inf
5.364747e+02 inf
5.426972e+02 inf
5.489919e+02 inf
5.553596e+02 inf
5.618012e+02 inf
5.683174e+02 inf
5.749093e+02 inf
5.815776e+02 inf
5.883233e+02 inf
5.951472e+02 inf
6.020502e+02 inf
6.090333e+02 inf
6.160975e+02 inf
6.232435e+02 inf
6.304724e+02 inf
6.377852e+02 inf
6.451828e+02 inf
6.526662e+02 inf
6.602365e+02 inf
6.678945e+02 inf
6.756413e+02 inf
6.834780e+02 inf
6.914056e+02 inf
6.994251e+02 inf
7.075377e+02 inf
7.157444e+02 inf
7.240462e+02 inf
7.324443e+02 inf
7.409399e+02 inf
7.495340e+02 inf
7.582277e+02 inf
7.670223e+02 inf
7.759190e+02 inf
7.849188e+02 inf
7.940229e+02 inf
8.032327e+02 inf
8.125494e+02 inf
8.219740e+02 inf
8.315080e+02 inf
8.411526e+02 inf
8.509090e+02 inf
8.607786e+02 inf
8.707627e+02 inf
8.808626e+02 inf
8.910797e+02 inf
9.014152e+02 inf
9.118706e+02 inf
9.224473e+02 inf
9.331467e+02 inf
9.439702e+02 inf
9.549192e+02 inf
9.659952e+02 inf
9.771997e+02 inf
9.885341e+02 inf
1.000000e+03 inf
