# E(MeV) Lo_CL68 Hi_CL68
1.929638e+00 0.000000e+00 nan
1.952019e+00 0.000000e+00 nan
1.974661e+00 0.000000e+00 nan
1.997565e+00 0.000000e+00 nan
2.020734e+00 0.000000e+00 nan
2.044172e+00 0.000000e+00 nan
2.067883e+00 0.000000e+00 nan
2.091868e+00 0.000000e+00 nan
2.116131e+00 0.000000e+00 nan
2.140676e+00 0.000000e+00 nan
2.165505e+00 0.000000e+00 nan
2.190623e+00 0.000000e+00 nan
2.216032e+00 0.000000e+00 nan
2.241735e+00 0.000000e+00 nan
2.267737e+00 0.000000e+00 nan
2.294040e+00 0.000000e+00 nan
2.320648e+00 0.000000e+00 nan
2.347565e+00 0.000000e+00 nan
2.374795e+00 0.000000e+00 nan
2.402340e+00 0.000000e+00 nan
2.430204e+00 0.000000e+00 nan
2.458392e+00 0.000000e+00 nan
2.486906e+00 0.000000e+00 nan
2.515752e+00 0.000000e+00 nan
2.544932e+00 0.000000e+00 nan
2.574450e+00 0.000000e+00 nan
2.604311e+00 0.000000e+00 nan
2.634518e+00 0.000000e+00 nan
2.665075e+00 0.000000e+00 nan
2.695987e+00 0.000000e+00 nan
2.727258e+00 0.000000e+00 nan
2.758891e+00 0.000000e+00 nan
2.790891e+00 0.000000e+00 nan
2.823262e+00 0.000000e+00 nan
2.856009e+00 0.000000e+00 nan
2.889136e+00 0.000000e+00 nan
2.922647e+00 0.000000e+00 nan
2.956546e+00 0.000000e+00 nan
2.990839e+00 0.000000e+00 nan
3.025529e+00 0.000000e+00 nan
3.060622e+00 0.000000e+00 nan
3.096122e+00 0.000000e+00 nan
3.132033e+00 0.000000e+00 nan
3.168361e+00 0.000000e+00 nan
3.205111e+00 0.000000e+00 nan
3.242287e+00 0.000000e+00 nan
3.279894e+00 0.000000e+00 nan
3.317937e+00 0.000000e+00 nan
3.356421e+00 0.000000e+00 nan
3.395352e+00 0.000000e+00 nan
3.434734e+00 0.000000e+00 nan
3.474573e+00 0.000000e+00 nan
3.514875e+00 0.000000e+00 nan
3.555643e+00 0.000000e+00 nan
3.596885e+00 0.000000e+00 nan
3.638605e+00 0.000000e+00 nan
3.680809e+00 0.000000e+00 nan
3.723502e+00 0.000000e+00 nan
3.766690e+00 0.000000e+00 nan
3.810380e+00 0.000000e+00 nan
3.854576e+00 0.000000e+00 nan
3.899285e+00 0.000000e+00 nan
3.944512e+00 0.000000e+00 nan
3.990264e+00 0.000000e+00 nan
4.036547e+00 0.000000e+00 nan
4.083367e+00 0.000000e+00 nan
4.130729e+00 0.000000e+00 nan
4.178641e+00 0.000000e+00 nan
4.227109e+00 0.000000e+00 nan
4.276138e+00 0.000000e+00 nan
4.325737e+00 0.000000e+00 nan
4.375911e+00 0.000000e+00 nan
4.426666e+00 0.000000e+00 nan
4.478011e+00 0.000000e+00 nan
4.529951e+00 0.000000e+00 nan
4.582493e+00 0.000000e+00 nan
4.635645e+00 0.000000e+00 nan
4.689414e+00 0.000000e+00 nan
4.743806e+00 0.000000e+00 nan
4.798828e+00 0.000000e+00 nan
4.854490e+00 0.000000e+00 nan
4.910796e+00 0.000000e+00 nan
4.967756e+00 0.000000e+00 nan
5.025377e+00 0.000000e+00 nan
5.083665e+00 0.000000e+00 nan
5.142630e+00 0.000000e+00 nan
5.202279e+00 0.000000e+00 nan
5.262620e+00 0.000000e+00 nan
5.323660e+00 0.000000e+00 nan
5.385409e+00 0.000000e+00 nan
5.447874e+00 0.000000e+00 nan
5.511063e+00 0.000000e+00 nan
5.574985e+00 0.000000e+00 nan
5.639649e+00 0.000000e+00 nan
5.705063e+00 0.000000e+00 nan
5.771235e+00 0.000000e+00 nan
5.838175e+00 0.000000e+00 nan
5.905892e+00 0.000000e+00 nan
5.974393e+00 0.000000e+00 nan
6.043690e+00 0.000000e+00 nan
6.113790e+00 0.000000e+00 nan
6.184703e+00 0.000000e+00 nan
6.256439e+00 0.000000e+00 nan
6.329007e+00 nan nan
6.402416e+00 nan nan
6.476677e+00 nan nan
6.551800e+00 nan nan
6.627793e+00 nan nan
6.704668e+00 nan nan
6.782435e+00 nan nan
6.861104e+00 nan nan
6.940685e+00 nan nan
7.021189e+00 nan nan
7.102627e+00 nan nan
7.185010e+00 nan nan
7.268348e+00 nan nan
7.352653e+00 nan nan
7.437936e+00 nan nan
7.524208e+00 nan nan
7.611480e+00 nan nan
7.699765e+00 nan nan
7.789074e+00 nan nan
7.879418e+00 nan nan
7.970811e+00 nan nan
8.063263e+00 nan nan
8.156788e+00 nan nan
8.251398e+00 nan nan
8.347105e+00 nan nan
8.443923e+00 nan nan
8.541863e+00 nan nan
8.640939e+00 nan nan
8.741164e+00 nan nan
8.842552e+00 nan nan
8.945116e+00 nan nan
9.048869e+00 nan nan
9.153826e+00 nan nan
9.260001e+00 nan nan
9.367406e+00 nan nan
9.476058e+00 nan nan
9.585970e+00 nan nan
9.697157e+00 nan nan
9.809633e+00 nan nan
9.923414e+00 nan nan
1.003851e+01 nan nan
1.015495e+01 nan nan
1.027274e+01 nan nan
1.039189e+01 nan nan
1.051242e+01 nan nan
1.063436e+01 nan nan
1.075770e+01 nan nan
1.088248e+01 nan nan
1.100870e+01 nan nan
1.113639e+01 nan nan
1.126556e+01 nan nan
1.139623e+01 nan nan
1.152842e+01 nan nan
1.166213e+01 nan nan
1.179740e+01 nan nan
1.193424e+01 nan nan
1.207266e+01 nan nan
1.221269e+01 nan nan
1.235434e+01 nan nan
1.249764e+01 nan nan
1.264260e+01 nan nan
1.278924e+01 nan nan
1.293758e+01 nan nan
1.308764e+01 nan nan
1.323945e+01 nan nan
1.339301e+01 nan nan
1.354835e+01 nan nan
1.370550e+01 nan nan
1.386447e+01 nan nan
1.402528e+01 nan nan
1.418796e+01 nan nan
1.435252e+01 nan nan
1.451900e+01 nan nan
1.468740e+01 nan nan
1.485776e+01 nan nan
1.503009e+01 nan nan
1.520442e+01 nan nan
1.538078e+01 nan nan
1.555918e+01 nan nan
1.573965e+01 nan nan
1.592221e+01 nan nan
1.610689e+01 nan nan
1.629371e+01 nan nan
1.648270e+01 nan nan
1.667388e+01 nan nan
1.686728e+01 nan nan
1.706292e+01 nan nan
1.726083e+01 nan nan
1.746104e+01 nan nan
1.766357e+01 nan nan
1.786845e+01 nan nan
1.807570e+01 nan nan
