# Energy(MeV) Sferica_4Pi_Fluence(cm^-2*MeV^-1)
6.913204e+01 7.155257e+06
7.009570e+01 6.922016e+06
7.107280e+01 6.695515e+06
7.206351e+01 6.480672e+06
7.306804e+01 6.272729e+06
7.408657e+01 6.070020e+06
7.511929e+01 5.871726e+06
7.616642e+01 5.671657e+06
7.722814e+01 5.480155e+06
7.830465e+01 5.297239e+06
7.939618e+01 5.130186e+06
8.050292e+01 4.971236e+06
8.162509e+01 4.817221e+06
8.276289e+01 4.667989e+06
8.391656e+01 4.519438e+06
8.508632e+01 4.365663e+06
8.627237e+01 4.212922e+06
8.747496e+01 4.070582e+06
8.869432e+01 3.943282e+06
8.993067e+01 3.819076e+06
9.118425e+01 3.692343e+06
9.245531e+01 3.567329e+06
9.374409e+01 3.446936e+06
9.505083e+01 3.328282e+06
9.637579e+01 3.220875e+06
9.771921e+01 3.117329e+06
9.908137e+01 3.015575e+06
1.004625e+02 2.913288e+06
1.018629e+02 2.810880e+06
1.032828e+02 2.713232e+06
1.047225e+02 2.625454e+06
1.061823e+02 2.543886e+06
1.076624e+02 2.467208e+06
1.091632e+02 2.388484e+06
1.106848e+02 2.311179e+06
1.122277e+02 2.237885e+06
1.137921e+02 2.165777e+06
1.153783e+02 2.093930e+06
1.169866e+02 2.023596e+06
1.186174e+02 1.953726e+06
1.202708e+02 1.887761e+06
1.219473e+02 1.824023e+06
1.236472e+02 1.763818e+06
1.253708e+02 1.707192e+06
1.271184e+02 1.649439e+06
1.288904e+02 1.594430e+06
1.306870e+02 1.541653e+06
1.325087e+02 1.490625e+06
1.343558e+02 1.441893e+06
1.362287e+02 1.395915e+06
1.381276e+02 1.350324e+06
1.400531e+02 1.305453e+06
1.420053e+02 1.262077e+06
1.439848e+02 1.221321e+06
1.459919e+02 1.182455e+06
1.480269e+02 1.144613e+06
1.500903e+02 1.107939e+06
1.521825e+02 1.072440e+06
1.543038e+02 1.038079e+06
1.564548e+02 1.004818e+06
1.586357e+02 9.726234e+05
1.608469e+02 9.414601e+05
1.630891e+02 9.102351e+05
1.653624e+02 8.797485e+05
1.676675e+02 8.502851e+05
1.700047e+02 8.226718e+05
1.723745e+02 7.969072e+05
1.747773e+02 7.719499e+05
1.772136e+02 7.477745e+05
1.796838e+02 7.246168e+05
1.821885e+02 7.015800e+05
1.847281e+02 6.780459e+05
1.873032e+02 6.557192e+05
1.899141e+02 6.340990e+05
1.925614e+02 6.120284e+05
1.952456e+02 5.907268e+05
1.979672e+02 5.704700e+05
2.007267e+02 5.520860e+05
2.035248e+02 5.342420e+05
2.063618e+02 5.159785e+05
2.092383e+02 4.979417e+05
2.121550e+02 4.804136e+05
2.151123e+02 4.644719e+05
2.181109e+02 4.488511e+05
2.211512e+02 4.331089e+05
2.242340e+02 4.183323e+05
2.273597e+02 4.045474e+05
2.305289e+02 3.916773e+05
2.337424e+02 3.786925e+05
2.370006e+02 3.663246e+05
2.403043e+02 3.547593e+05
2.436540e+02 3.428538e+05
2.470504e+02 3.313481e+05
2.504942e+02 3.198840e+05
2.539859e+02 3.087452e+05
2.575263e+02 2.979944e+05
2.611161e+02 2.878472e+05
2.647559e+02 2.780536e+05
2.684465e+02 2.686660e+05
2.721885e+02 2.599249e+05
2.759826e+02 2.510998e+05
2.798297e+02 2.424691e+05
2.837304e+02 2.341351e+05
2.876854e+02 2.260876e+05
2.916956e+02 2.187108e+05
2.957617e+02 2.116481e+05
2.998844e+02 2.043123e+05
3.040646e+02 1.973332e+05
3.083031e+02 1.911960e+05
