# Energy(MeV) Fluence_Sferica(4Pi)
6.908819e+01 6.723324e+06
6.996877e+01 6.421710e+06
7.086058e+01 6.133626e+06
7.176376e+01 5.858467e+06
7.267845e+01 5.595651e+06
7.360479e+01 5.344625e+06
7.454294e+01 5.104861e+06
7.549305e+01 4.875852e+06
7.645527e+01 4.657117e+06
7.742976e+01 4.448195e+06
7.841666e+01 4.248645e+06
7.941615e+01 4.058047e+06
8.042837e+01 3.876000e+06
8.145350e+01 3.702119e+06
8.249169e+01 3.536039e+06
8.354311e+01 3.377409e+06
8.460794e+01 3.225896e+06
8.568633e+01 3.081179e+06
8.677847e+01 2.942955e+06
8.788454e+01 2.810932e+06
8.900470e+01 2.684831e+06
9.013913e+01 2.564387e+06
9.128803e+01 2.449346e+06
9.245157e+01 2.339467e+06
9.362994e+01 2.234516e+06
9.482333e+01 2.134274e+06
9.603193e+01 2.038529e+06
9.725594e+01 1.947078e+06
9.849554e+01 1.859731e+06
9.975095e+01 1.776302e+06
1.010224e+02 1.696615e+06
1.023100e+02 1.620504e+06
1.036140e+02 1.547807e+06
1.049346e+02 1.478371e+06
1.062721e+02 1.412050e+06
1.076266e+02 1.348704e+06
1.089984e+02 1.288200e+06
1.103877e+02 1.230410e+06
1.117947e+02 1.175213e+06
1.132196e+02 1.122492e+06
1.146627e+02 1.072136e+06
1.161241e+02 1.024039e+06
1.176042e+02 9.780997e+05
1.191032e+02 9.342213e+05
1.206213e+02 8.923113e+05
1.221587e+02 8.522815e+05
1.237157e+02 8.140474e+05
1.252925e+02 7.775286e+05
1.268895e+02 7.426480e+05
1.285068e+02 7.093321e+05
1.301447e+02 6.775109e+05
1.318035e+02 6.471172e+05
1.334835e+02 6.180870e+05
1.351848e+02 5.903590e+05
1.369079e+02 5.638750e+05
1.386529e+02 5.385791e+05
1.404201e+02 5.144180e+05
1.422099e+02 4.913408e+05
1.440225e+02 4.692988e+05
1.458582e+02 4.482457e+05
1.477172e+02 4.281370e+05
1.496000e+02 4.089304e+05
1.515068e+02 3.905854e+05
1.534379e+02 3.730634e+05
1.553935e+02 3.563275e+05
1.573742e+02 3.403423e+05
1.593800e+02 3.250743e+05
1.614115e+02 3.104912e+05
1.634688e+02 2.965623e+05
1.655523e+02 2.832582e+05
1.676624e+02 2.705510e+05
1.697994e+02 2.584139e+05
1.719636e+02 2.468212e+05
1.741555e+02 2.357486e+05
1.763752e+02 2.251727e+05
1.786233e+02 2.150713e+05
1.809000e+02 2.054230e+05
1.832057e+02 1.962075e+05
1.855408e+02 1.874055e+05
1.879056e+02 1.789983e+05
1.903007e+02 1.709683e+05
1.927262e+02 1.632985e+05
1.951826e+02 1.559728e+05
1.976704e+02 1.489757e+05
2.001899e+02 1.422926e+05
2.027415e+02 1.359092e+05
2.053256e+02 1.298122e+05
2.079426e+02 1.239887e+05
2.105930e+02 1.184265e+05
2.132772e+02 1.131138e+05
2.159956e+02 1.080394e+05
2.187486e+02 1.031926e+05
2.215367e+02 9.856333e+04
2.243604e+02 9.414170e+04
2.272201e+02 8.991842e+04
2.301162e+02 8.588460e+04
2.330492e+02 8.203175e+04
2.360196e+02 7.835173e+04
2.390278e+02 7.483681e+04
2.420744e+02 7.147957e+04
2.451599e+02 6.827293e+04
2.482846e+02 6.521015e+04
2.514492e+02 6.228477e+04
2.546542e+02 5.949062e+04
2.578999e+02 5.682182e+04
2.611871e+02 5.427274e+04
