# Energy(MeV) Fluence_16th Fluence_84th
2.531026e+01 5.208802e+05 9.084106e+05
2.616262e+01 4.746890e+05 8.307606e+05
2.704369e+01 4.326450e+05 7.596698e+05
2.795443e+01 3.951720e+05 6.939782e+05
2.889585e+01 3.603571e+05 6.343914e+05
2.986896e+01 3.305021e+05 5.795732e+05
3.087485e+01 3.009074e+05 5.306777e+05
3.191461e+01 2.743120e+05 4.851845e+05
3.298939e+01 2.511471e+05 4.444906e+05
3.410036e+01 2.295646e+05 4.060831e+05
3.524875e+01 2.088509e+05 3.712473e+05
3.643581e+01 1.897764e+05 3.397400e+05
3.766285e+01 1.734249e+05 3.102676e+05
3.893121e+01 1.581744e+05 2.839468e+05
4.024228e+01 1.435618e+05 2.595957e+05
4.159751e+01 1.307256e+05 2.370522e+05
4.299837e+01 1.194482e+05 2.166360e+05
4.444641e+01 1.090354e+05 1.989786e+05
4.594322e+01 9.952023e+04 1.823808e+05
4.749044e+01 9.004752e+04 1.668665e+05
4.908976e+01 8.155303e+04 1.524617e+05
5.074294e+01 7.432277e+04 1.392800e+05
5.245179e+01 6.762324e+04 1.272545e+05
5.421819e+01 6.160036e+04 1.161454e+05
5.604408e+01 5.611425e+04 1.060928e+05
5.793146e+01 5.118645e+04 9.712394e+04
5.988240e+01 4.660732e+04 8.866047e+04
6.189904e+01 4.265250e+04 8.092399e+04
6.398359e+01 3.877428e+04 7.383905e+04
6.613834e+01 3.537996e+04 6.740862e+04
6.836566e+01 3.227829e+04 6.160728e+04
7.066799e+01 2.949098e+04 5.649113e+04
7.304785e+01 2.693008e+04 5.157797e+04
7.550786e+01 2.453290e+04 4.707012e+04
7.805072e+01 2.234611e+04 4.295025e+04
8.067920e+01 2.034998e+04 3.920010e+04
8.339621e+01 1.855418e+04 3.576549e+04
8.620472e+01 1.692808e+04 3.254812e+04
8.910781e+01 1.540471e+04 2.975701e+04
9.210866e+01 1.402343e+04 2.716182e+04
9.521057e+01 1.271477e+04 2.477322e+04
9.841695e+01 1.157143e+04 2.260737e+04
1.017313e+02 1.052949e+04 2.061437e+04
1.051573e+02 9.583579e+03 1.877636e+04
1.086986e+02 8.724653e+03 1.710964e+04
1.123592e+02 7.931780e+03 1.559266e+04
1.161431e+02 7.185101e+03 1.418105e+04
1.200544e+02 6.536571e+03 1.289781e+04
1.240975e+02 5.943881e+03 1.178798e+04
1.282767e+02 5.408968e+03 1.075235e+04
1.325966e+02 4.892641e+03 9.795110e+03
1.370620e+02 4.435296e+03 8.901164e+03
1.416778e+02 3.998048e+03 8.116705e+03
1.464490e+02 3.638868e+03 7.389686e+03
1.513809e+02 3.254332e+03 6.732014e+03
1.564789e+02 2.932905e+03 6.136452e+03
