# Energy(MeV) Fluence_Total
1.781852e+02 1.092708e+05
1.799604e+02 1.058666e+05
1.817533e+02 1.025681e+05
1.835641e+02 9.937203e+04
1.853929e+02 9.627519e+04
1.872399e+02 9.327451e+04
1.891053e+02 9.036703e+04
1.909893e+02 8.749431e+04
1.928921e+02 8.463549e+04
1.948138e+02 8.186997e+04
1.967547e+02 7.919471e+04
1.987149e+02 7.660678e+04
2.006946e+02 7.410330e+04
2.026941e+02 7.168154e+04
2.047134e+02 6.933882e+04
2.067529e+02 6.699421e+04
2.088128e+02 6.468348e+04
2.108931e+02 6.245220e+04
2.129942e+02 6.029765e+04
2.151162e+02 5.834661e+04
2.172593e+02 5.647316e+04
2.194238e+02 5.466006e+04
2.216098e+02 5.290533e+04
2.238177e+02 5.108839e+04
2.260475e+02 4.929077e+04
2.282995e+02 4.765321e+04
2.305740e+02 4.615070e+04
2.328712e+02 4.468433e+04
2.351912e+02 4.321103e+04
2.375343e+02 4.178616e+04
2.399008e+02 4.040815e+04
2.422909e+02 3.911149e+04
2.447047e+02 3.786008e+04
2.471427e+02 3.664854e+04
2.496049e+02 3.550648e+04
2.520916e+02 3.442944e+04
2.546031e+02 3.339411e+04
2.571397e+02 3.245834e+04
2.597015e+02 3.154866e+04
2.622888e+02 3.070132e+04
2.649019e+02 2.982459e+04
2.675410e+02 2.892358e+04
2.702065e+02 2.803493e+04
2.728985e+02 2.722925e+04
2.756173e+02 2.645401e+04
2.783631e+02 2.566205e+04
